Date,HomeTeam,AwayTeam,"
                    'HG',  # Home Goals
                    'AG',  # Away Goals
                    'HP',  # Home Possession
                    'AP',  # Away Possession
                    'HTS',  # Home Total Shots
                    'ATS',  # Away Total Shots
                    'HSI',  # Home Shots On Goal
                    'ASI',  # Away Shots On Goal
                    'HSO',  # Home Shots Off Goal
                    'ASO',  # Away Shots Off Goal
                    'HBS',  # Home Blocked Shots
                    'ABS',  # Away Blocked Shots
                    'HFK',  # Home Free Kicks
                    'AFK',  # Away Free Kicks
                    'HC',  # Home Corner Kicks
                    'AC',  # Away Corner Kicks
                    'HOFF',  # Home Offsides
                    'AOFF',  # Away Offsides
                    'HTI',  # Home Throw Ins
                    'ATI',  # Away Throw Ins
                    'HGS',  # Home Goalkeeper Saves
                    'AGS',  # Away Goalkeeper Saves
                    'HF',  # Home Fouls
                    'AF',  # Away Fouls
                    'HRC',  # Home Red Cards
                    'ARC',  # Away Red Cards
                    'HYC',  # Home Yellow Cards
                    'AYC',  # Away Yellow Cards
                    'HTP',  # Home Total Passes
                    'ATP',  # Away Total Passes
                    'HPC',  # Home Completed Passes
                    'APC',  # Away Completed Passes
                    'HT',  # Home Tackles
                    'AT',  # Away Tackles
                    'HA',  # Home Attacks
                    'AA',  # Away Attacks
                    'HDA',  # Home Dangerous Attacks
                    'ADA',  # Away Dangerous Attacks
                    'Resultado'
                    ",
06.06.2023 13:45,Arminia Bielefeld,Wehen,1,2
02.06.2023 13:45,Wehen,Arminia Bielefeld,4,0
28.05.2023 08:30,Greuther Fürth,Darmstadt,4,0
28.05.2023 08:30,Hannover,Kiel,1,5
28.05.2023 08:30,Kaiserslautern,Fortuna Düsseldorf,0,3
28.05.2023 08:30,Magdeburgo,Arminia Bielefeld,4,0
28.05.2023 08:30,Paderborn,Núremberg,0,1
28.05.2023 08:30,Regensburg,Heidenheim,2,3
28.05.2023 08:30,Rostock,Braunschweig,2,1
28.05.2023 08:30,Sandhausen,Hamburgo,0,1
28.05.2023 08:30,St. Pauli,Karlsruher,1,1
21.05.2023 06:30,Fortuna Düsseldorf,Hannover,3,3
21.05.2023 06:30,Karlsruher,Kaiserslautern,2,0
21.05.2023 06:30,Núremberg,Rostock,0,0
20.05.2023 13:30,Hamburgo,Greuther Fürth,2,1
20.05.2023 06:00,Arminia Bielefeld,Paderborn,2,2
20.05.2023 06:00,Braunschweig,Regensburg,1,2
20.05.2023 06:00,Heidenheim,Sandhausen,1,0
19.05.2023 11:30,Darmstadt,Magdeburgo,1,0
19.05.2023 11:30,Kiel,St. Pauli,3,4
14.05.2023 06:30,Hannover,Darmstadt,2,1
14.05.2023 06:30,Paderborn,Heidenheim,3,2
14.05.2023 06:30,Regensburg,Hamburgo,1,5
13.05.2023 13:30,St. Pauli,Fortuna Düsseldorf,0,0
13.05.2023 06:00,Greuther Fürth,Braunschweig,2,2
13.05.2023 06:00,Kaiserslautern,Arminia Bielefeld,1,2
13.05.2023 06:00,Kiel,Karlsruher,2,1
12.05.2023 11:30,Magdeburgo,Núremberg,2,2
12.05.2023 11:30,Sandhausen,Rostock,1,2
07.05.2023 06:30,Braunschweig,Sandhausen,2,1
07.05.2023 06:30,Heidenheim,Magdeburgo,0,0
07.05.2023 06:30,Núremberg,Kaiserslautern,3,3
06.05.2023 13:30,Darmstadt,St. Pauli,0,3
06.05.2023 06:00,Fortuna Düsseldorf,Kiel,3,0
06.05.2023 06:00,Karlsruher,Hannover,2,1
06.05.2023 06:00,Rostock,Regensburg,2,0
05.05.2023 11:30,Arminia Bielefeld,Greuther Fürth,1,1
05.05.2023 11:30,Hamburgo,Paderborn,2,2
30.04.2023 06:30,Fortuna Düsseldorf,Karlsruher,3,2
30.04.2023 06:30,Kiel,Darmstadt,0,3
30.04.2023 06:30,Sandhausen,Regensburg,2,1
