Date,HomeTeam,AwayTeam,HG,AG,HxG,AxG,HP,AP,HTS,ATS,HSI,ASI,HSO,ASO,HBS,ABS,HFK,AFK,HC,AC,HOFF,AOFF,HTI,ATI,HGS,AGS,HF,AF,HRC,ARC,HYC,AYC,HTP,ATP,HPC,APC,HT,AT,HA,AA,HDA,ADA,Resultado
05.06.2023 13:45,Hamburgo,Stuttgart,1,3,1.38,2.24,63%,37%,12,9,5,4,7,5,,,21,21,5,3,5,4,21,20,1,4,15,18,,,5,6,519,291,436,212,,,119,94,58,26,-2
01.06.2023 13:45,Stuttgart,Hamburgo,3,0,,,50%,50%,16,7,9,2,7,5,,,10,14,7,3,3,1,22,15,2,6,11,9,0,1,1,2,455,415,396,349,,,104,75,44,32,3
27.05.2023 08:30,Bochum,Bayer Leverkusen,3,0,1.35,0.69,52%,48%,10,11,5,2,5,9,,,14,12,2,5,1,2,16,32,2,2,12,12,0,1,5,5,326,326,254,222,,,115,84,55,38,3
27.05.2023 08:30,Borussia Dortmund,Mainz,2,2,2.82,1.59,64%,36%,30,10,12,4,18,6,,,14,7,6,3,1,0,23,18,2,10,5,14,,,1,1,647,227,589,161,,,165,64,119,44,0
27.05.2023 08:30,Borussia M'gladbach,Augsburgo,2,0,2.93,0.89,66%,34%,17,9,7,3,10,6,,,22,9,4,4,4,2,10,17,3,5,5,19,0,1,0,1,789,254,726,196,,,124,48,63,30,2
27.05.2023 08:30,Colonia,Bayern Múnich,1,2,1.78,0.91,46%,54%,9,11,3,3,6,8,,,10,11,7,3,0,2,30,22,1,2,11,8,,,3,0,406,489,333,406,,,108,113,54,31,-1
27.05.2023 08:30,Eintracht Frankfurt,Friburgo,2,1,3.27,1.11,58%,42%,14,13,8,7,6,6,,,14,14,3,6,1,2,23,15,6,6,13,10,,,4,2,526,353,442,268,,,119,85,49,32,1
27.05.2023 08:30,RB Leipzig,Schalke,4,2,3.39,1.74,53%,47%,19,16,12,4,7,12,,,11,16,4,5,2,0,15,22,2,8,13,11,,,2,2,397,348,314,275,,,80,113,38,56,2
27.05.2023 08:30,Stuttgart,Hoffenheim,1,1,2.58,0.82,57%,43%,19,8,4,2,15,6,,,13,12,9,2,1,2,25,16,1,3,12,10,,,,,562,409,483,327,,,131,76,57,21,0
27.05.2023 08:30,Unión Berlín,Werder Bremen,1,0,1.29,0.43,49%,51%,16,7,4,4,12,3,,,11,12,15,1,3,1,26,11,4,3,9,10,,,1,3,357,441,261,344,,,116,101,90,23,1
27.05.2023 08:30,Wolfsburgo,Hertha BSC,1,2,2.52,1.89,61%,39%,19,9,9,5,10,4,,,19,11,7,3,2,1,29,12,3,8,9,18,,,1,5,569,308,484,240,,,149,60,76,17,-1
21.05.2023 12:30,Bayer Leverkusen,Borussia M'gladbach,2,2,2.64,1.58,46%,54%,13,8,6,4,7,4,,,16,14,2,3,1,1,13,13,2,4,12,15,1,0,3,3,549,632,478,569,,,98,105,65,27,0
21.05.2023 10:30,Augsburgo,Borussia Dortmund,0,3,0.52,4.55,42%,58%,4,28,1,10,3,18,,,10,14,3,8,2,1,18,16,7,1,12,9,1,0,3,3,297,545,241,491,,,59,128,22,69,-3
21.05.2023 08:30,Mainz,Stuttgart,1,4,1.56,1.59,48%,52%,9,8,6,6,3,2,,,11,19,6,3,1,0,26,13,2,5,18,11,,,3,1,421,465,333,395,,,91,95,36,23,-3
20.05.2023 11:30,Bayern Múnich,RB Leipzig,1,3,1.66,2.42,58%,42%,17,16,4,8,13,8,,,5,6,7,2,3,0,9,7,5,3,8,11,,,1,1,568,380,494,304,,,117,86,66,37,-2
20.05.2023 08:30,Hertha BSC,Bochum,1,1,1.47,1.42,51%,49%,14,17,4,6,10,11,,,8,9,9,5,1,1,5,12,5,3,7,10,,,1,1,295,297,198,202,,,90,115,37,53,0
