Date,HomeTeam,AwayTeam,"
                    'HG',  # Home Goals
                    'AG',  # Away Goals
                    'HP',  # Home Possession
                    'AP',  # Away Possession
                    'HTS',  # Home Total Shots
                    'ATS',  # Away Total Shots
                    'HSI',  # Home Shots On Goal
                    'ASI',  # Away Shots On Goal
                    'HSO',  # Home Shots Off Goal
                    'ASO',  # Away Shots Off Goal
                    'HBS',  # Home Blocked Shots
                    'ABS',  # Away Blocked Shots
                    'HFK',  # Home Free Kicks
                    'AFK',  # Away Free Kicks
                    'HC',  # Home Corner Kicks
                    'AC',  # Away Corner Kicks
                    'HOFF',  # Home Offsides
                    'AOFF',  # Away Offsides
                    'HTI',  # Home Throw Ins
                    'ATI',  # Away Throw Ins
                    'HGS',  # Home Goalkeeper Saves
                    'AGS',  # Away Goalkeeper Saves
                    'HF',  # Home Fouls
                    'AF',  # Away Fouls
                    'HRC',  # Home Red Cards
                    'ARC',  # Away Red Cards
                    'HYC',  # Home Yellow Cards
                    'AYC',  # Away Yellow Cards
                    'HTP',  # Home Total Passes
                    'ATP',  # Away Total Passes
                    'HPC',  # Home Completed Passes
                    'APC',  # Away Completed Passes
                    'HT',  # Home Tackles
                    'AT',  # Away Tackles
                    'HA',  # Home Attacks
                    'AA',  # Away Attacks
                    'HDA',  # Home Dangerous Attacks
                    'ADA',  # Away Dangerous Attacks
                    'Resultado'
                    ",
05.06.2023 13:45,Hamburgo,Stuttgart,1,3
01.06.2023 13:45,Stuttgart,Hamburgo,3,0
27.05.2023 08:30,Bochum,Bayer Leverkusen,3,0
27.05.2023 08:30,Borussia Dortmund,Mainz,2,2
27.05.2023 08:30,Borussia M'gladbach,Augsburgo,2,0
27.05.2023 08:30,Colonia,Bayern Múnich,1,2
27.05.2023 08:30,Eintracht Frankfurt,Friburgo,2,1
27.05.2023 08:30,RB Leipzig,Schalke,4,2
27.05.2023 08:30,Stuttgart,Hoffenheim,1,1
27.05.2023 08:30,Union Berlín,Werder Bremen,1,0
27.05.2023 08:30,Wolfsburgo,Hertha BSC,1,2
21.05.2023 12:30,Bayer Leverkusen,Borussia M'gladbach,2,2
21.05.2023 10:30,Augsburgo,Borussia Dortmund,0,3
21.05.2023 08:30,Mainz,Stuttgart,1,4
20.05.2023 11:30,Bayern Múnich,RB Leipzig,1,3
20.05.2023 08:30,Hertha BSC,Bochum,1,1
20.05.2023 08:30,Hoffenheim,Union Berlín,4,2
20.05.2023 08:30,Schalke,Eintracht Frankfurt,2,2
20.05.2023 08:30,Werder Bremen,Colonia,1,1
19.05.2023 13:30,Friburgo,Wolfsburgo,2,0
14.05.2023 10:30,RB Leipzig,Werder Bremen,2,1
14.05.2023 08:30,Stuttgart,Bayer Leverkusen,1,1
13.05.2023 11:30,Borussia Dortmund,Borussia M'gladbach,5,2
13.05.2023 08:30,Bayern Múnich,Schalke,6,0
13.05.2023 08:30,Bochum,Augsburgo,3,2
13.05.2023 08:30,Eintracht Frankfurt,Mainz,3,0
13.05.2023 08:30,Union Berlín,Friburgo,4,2
13.05.2023 08:30,Wolfsburgo,Hoffenheim,2,1
12.05.2023 13:30,Colonia,Hertha BSC,5,2
07.05.2023 10:30,Borussia Dortmund,Wolfsburgo,6,0
06.05.2023 11:30,Werder Bremen,Bayern Múnich,1,2
06.05.2023 08:30,Augsburgo,Union Berlín,1,0
06.05.2023 08:30,Borussia M'gladbach,Bochum,2,0
06.05.2023 08:30,Friburgo,RB Leipzig,0,1
06.05.2023 08:30,Hertha BSC,Stuttgart,2,1
06.05.2023 08:30,Hoffenheim,Eintracht Frankfurt,3,1
05.05.2023 13:30,Bayer Leverkusen,Colonia,1,2
05.05.2023 13:30,Mainz,Schalke,2,3
30.04.2023 10:30,Wolfsburgo,Mainz,3,0
30.04.2023 08:30,Bayern Múnich,Hertha BSC,2,0
29.04.2023 11:30,Schalke,Werder Bremen,2,1
29.04.2023 08:30,Colonia,Friburgo,0,1
29.04.2023 08:30,Eintracht Frankfurt,Augsburgo,1,1
29.04.2023 08:30,RB Leipzig,Hoffenheim,1,0
29.04.2023 08:30,Stuttgart,Borussia M'gladbach,2,1
29.04.2023 08:30,Union Berlín,Bayer Leverkusen,0,0
28.04.2023 13:30,Bochum,Borussia Dortmund,1,1
23.04.2023 12:30,Borussia M'gladbach,Union Berlín,0,1
23.04.2023 10:30,Bayer Leverkusen,RB Leipzig,2,0
23.04.2023 08:30,Friburgo,Schalke,4,0
22.04.2023 11:30,Borussia Dortmund,Eintracht Frankfurt,4,0
22.04.2023 08:30,Bochum,Wolfsburgo,1,5
22.04.2023 08:30,Hertha BSC,Werder Bremen,2,4
22.04.2023 08:30,Hoffenheim,Colonia,1,3
22.04.2023 08:30,Mainz,Bayern Múnich,3,1
21.04.2023 13:30,Augsburgo,Stuttgart,1,1
16.04.2023 12:30,Wolfsburgo,Bayer Leverkusen,0,0
16.04.2023 10:30,Union Berlín,Bochum,1,1
16.04.2023 08:30,Werder Bremen,Friburgo,1,2
15.04.2023 11:30,Eintracht Frankfurt,Borussia M'gladbach,1,1
15.04.2023 08:30,Bayern Múnich,Hoffenheim,1,1
15.04.2023 08:30,Colonia,Mainz,1,1
15.04.2023 08:30,RB Leipzig,Augsburgo,3,2
15.04.2023 08:30,Stuttgart,Borussia Dortmund,3,3
14.04.2023 13:30,Schalke,Hertha BSC,5,2
09.04.2023 12:30,Hoffenheim,Schalke,2,0
09.04.2023 10:30,Bochum,Stuttgart,2,3
09.04.2023 08:30,Borussia M'gladbach,Wolfsburgo,2,0
08.04.2023 11:30,Hertha BSC,RB Leipzig,0,1
08.04.2023 08:30,Augsburgo,Colonia,1,3
08.04.2023 08:30,Bayer Leverkusen,Eintracht Frankfurt,3,1
08.04.2023 08:30,Borussia Dortmund,Union Berlín,2,1
08.04.2023 08:30,Friburgo,Bayern Múnich,0,1
08.04.2023 08:30,Mainz,Werder Bremen,2,2
02.04.2023 10:30,Werder Bremen,Hoffenheim,1,2
02.04.2023 08:30,Colonia,Borussia M'gladbach,0,0
01.04.2023 11:30,Bayern Múnich,Borussia Dortmund,4,2
01.04.2023 08:30,Friburgo,Hertha BSC,1,1
01.04.2023 08:30,RB Leipzig,Mainz,0,3
01.04.2023 08:30,Schalke,Bayer Leverkusen,0,3
01.04.2023 08:30,Union Berlín,Stuttgart,3,0
01.04.2023 08:30,Wolfsburgo,Augsburgo,2,2
31.03.2023 13:30,Eintracht Frankfurt,Bochum,1,1
19.03.2023 13:30,Mainz,Friburgo,1,1
19.03.2023 11:30,Bayer Leverkusen,Bayern Múnich,2,1
19.03.2023 09:30,Union Berlín,Eintracht Frankfurt,2,0
18.03.2023 12:30,Borussia Dortmund,Colonia,6,1
18.03.2023 09:30,Augsburgo,Schalke,1,1
18.03.2023 09:30,Bochum,RB Leipzig,1,0
18.03.2023 09:30,Hoffenheim,Hertha BSC,3,1
18.03.2023 09:30,Stuttgart,Wolfsburgo,0,1
17.03.2023 14:30,Borussia M'gladbach,Werder Bremen,2,2
12.03.2023 13:30,Wolfsburgo,Union Berlín,1,1
12.03.2023 11:30,Werder Bremen,Bayer Leverkusen,2,3
12.03.2023 09:30,Friburgo,Hoffenheim,2,1
11.03.2023 12:30,Schalke,Borussia Dortmund,2,2
11.03.2023 09:30,Bayern Múnich,Augsburgo,5,3
11.03.2023 09:30,Eintracht Frankfurt,Stuttgart,1,1
11.03.2023 09:30,Hertha BSC,Mainz,1,1
11.03.2023 09:30,RB Leipzig,Borussia M'gladbach,3,0
10.03.2023 14:30,Colonia,Bochum,0,2
05.03.2023 11:30,Wolfsburgo,Eintracht Frankfurt,2,2
05.03.2023 09:30,Bayer Leverkusen,Hertha BSC,4,1
04.03.2023 12:30,Stuttgart,Bayern Múnich,1,2
04.03.2023 09:30,Augsburgo,Werder Bremen,2,1
04.03.2023 09:30,Bochum,Schalke,0,2
04.03.2023 09:30,Borussia M'gladbach,Friburgo,0,0
04.03.2023 09:30,Mainz,Hoffenheim,1,0
04.03.2023 09:30,Union Berlín,Colonia,0,0
03.03.2023 14:30,Borussia Dortmund,RB Leipzig,2,1
26.02.2023 11:30,Bayern Múnich,Union Berlín,3,0
26.02.2023 09:30,Friburgo,Bayer Leverkusen,1,1
25.02.2023 12:30,Schalke,Stuttgart,2,1
25.02.2023 09:30,Colonia,Wolfsburgo,0,2
25.02.2023 09:30,Hertha BSC,Augsburgo,2,0
25.02.2023 09:30,Hoffenheim,Borussia Dortmund,0,1
25.02.2023 09:30,RB Leipzig,Eintracht Frankfurt,2,1
25.02.2023 09:30,Werder Bremen,Bochum,3,0
24.02.2023 14:30,Mainz,Borussia M'gladbach,4,0
19.02.2023 13:30,Bayer Leverkusen,Mainz,2,3
19.02.2023 11:30,Borussia Dortmund,Hertha BSC,4,1
19.02.2023 09:30,Union Berlín,Schalke,0,0
18.02.2023 12:30,Eintracht Frankfurt,Werder Bremen,2,0
18.02.2023 09:30,Bochum,Friburgo,0,2
18.02.2023 09:30,Borussia M'gladbach,Bayern Múnich,3,2
18.02.2023 09:30,Stuttgart,Colonia,3,0
18.02.2023 09:30,Wolfsburgo,RB Leipzig,0,3
17.02.2023 14:30,Augsburgo,Hoffenheim,1,0
12.02.2023 11:30,Colonia,Eintracht Frankfurt,3,0
