Date,HomeTeam,AwayTeam,HG,AG,HxG,AxG,HP,AP,HTS,ATS,HSI,ASI,HSO,ASO,HBS,ABS,HFK,AFK,HC,AC,HOFF,AOFF,HTI,ATI,HGS,AGS,HF,AF,HRC,ARC,HYC,AYC,HTP,ATP,HPC,APC,HT,AT,HA,AA,HDA,ADA,HDC,ADC,HDistancia Cubierta (km),ADistancia Cubierta (km),Resultado,,,
17.12.2023 13:30,Bayern Múnich,Stuttgart,3,0,2.87,0.18,42%,58%,17,5,8,2,9,3,,,8,12,6,2,4,0,24,23,2,5,7,8,,,0,3,405,712,352,648,,,99,126,52,47,,,,,,,121,121
17.12.2023 11:30,Bayer Leverkusen,Eintracht Frankfurt,3,0,2.85,0.23,57%,43%,14,4,6,2,8,2,,,15,10,5,5,5,1,23,13,2,3,4,13,,,1,1,722,461,643,387,,,124,91,54,27,,,,,,,122,121
17.12.2023 09:30,Friburgo,Colonia,2,0,4.59,1.04,51%,49%,23,7,7,1,16,6,,,14,13,5,2,0,3,26,15,1,5,13,10,0,1,1,4,506,486,415,384,,,151,84,63,21,,,,,,,124,121
16.12.2023 12:30,RB Leipzig,Hoffenheim,3,1,3.57,1.02,56%,44%,23,10,11,4,12,6,,,8,12,9,2,2,0,13,14,3,8,11,9,,,3,2,505,393,439,334,,,117,75,61,39,,,,,,,117,119
16.12.2023 09:30,Augsburgo,Borussia Dortmund,1,1,2.42,3.11,43%,57%,20,24,4,6,16,18,,,3,14,4,7,1,1,16,16,5,3,13,4,,,2,1,318,583,254,519,,,96,124,55,56,,,,,,,123,118
16.12.2023 09:30,Bochum,Union Berlin,3,0,3.49,1.04,49%,51%,21,10,7,2,14,8,,,14,16,6,4,2,2,17,19,2,4,12,13,,,2,2,383,406,291,313,,,100,88,46,39,,,,,,,120,116
16.12.2023 09:30,Darmstadt,Wolfsburgo,0,1,0.71,0.78,62%,38%,14,11,4,3,10,8,,,10,15,7,7,0,0,15,24,2,4,16,10,0,1,2,0,575,307,506,236,,,133,75,51,32,,,,,,,118,113
16.12.2023 09:30,Mainz,Heidenheim,0,1,1.43,0.41,63%,37%,16,5,4,2,12,3,,,21,9,8,1,1,1,38,21,1,4,9,20,,,3,3,474,210,365,130,,,155,108,66,22,,,,,,,118,120
15.12.2023 14:30,Borussia M'gladbach,Werder Bremen,2,2,1.26,2.05,50%,50%,15,10,4,5,11,5,,,10,13,4,3,4,1,13,16,3,2,10,12,,,4,2,545,527,469,440,,,93,115,44,39,,,,,,,120,121
10.12.2023 11:30,Colonia,Mainz,0,0,0.51,2.14,55%,45%,7,13,3,5,4,8,,,10,10,1,7,0,1,27,22,5,3,10,10,,,2,4,495,432,416,350,,,100,99,20,36,,,,,,,124,122
10.12.2023 09:30,Stuttgart,Bayer Leverkusen,1,1,3.10,3.22,55%,45%,22,20,12,6,10,14,,,10,8,8,8,0,3,16,20,5,11,8,7,,,1,1,583,517,519,445,,,122,126,36,59,,,,,,,122,121
09.12.2023 12:30,Borussia Dortmund,RB Leipzig,2,3,2.05,2.70,56%,44%,18,24,6,8,12,16,,,14,7,6,6,1,4,16,15,5,4,6,11,1,0,1,3,547,465,470,386,,,129,97,46,67,,,,,,,110,122
09.12.2023 09:30,Eintracht Frankfurt,Bayern Múnich,5,1,1.61,1.97,38%,62%,14,17,6,6,8,11,,,8,9,1,9,0,2,14,9,5,1,8,7,,,1,2,377,678,298,610,,,59,151,31,65,,,,,,,121,111
09.12.2023 09:30,Heidenheim,Darmstadt,3,2,1.88,1.25,48%,52%,16,20,7,7,9,13,,,13,18,8,3,1,1,25,24,5,4,17,13,,,2,2,325,418,211,318,,,83,101,60,38,,,,,,,116,115
09.12.2023 09:30,Union Berlin,Borussia M'gladbach,3,1,2.83,1.17,44%,56%,16,13,6,4,10,9,,,8,11,6,7,3,1,14,22,3,3,9,8,,,1,3,349,589,272,501,,,90,123,52,51,,,,,,,123,118
