Date,HomeTeam,AwayTeam,HG,AG,HP,AP,HTS,ATS,HSI,ASI,HSO,ASO,HBS,ABS,HFK,AFK,HC,AC,HOFF,AOFF,HTI,ATI,HGS,AGS,HF,AF,HRC,ARC,HYC,AYC,HTP,ATP,HPC,APC,HT,AT,HA,AA,HDA,ADA,Resultado
07.01.2023 03:45,Melbourne City,Western United,2.25,1.75,52.25%,48.0%,16.0,10.0,6.75,3.5,6.5,4.0,2.75,2.5,11.0,11.75,5.5,3.75,1.75,2.0,19.0,20.75,2.0,4.75,16.25,10.5,0.25,0.5,2.5,2.75,498.5,437.0,406.5,349.0,18.25,11.25,111.25,94.75,48.75,39.5,
07.01.2023 23:00,Macarthur FC,Newcastle Jets,1.25,0.6,41.25%,51.6%,10.0,8.8,4.0,3.0,3.0,3.6,3.0,2.2,16.0,16.8,3.5,3.6,2.5,0.8,23.25,19.6,4.75,3.6,11.0,13.2,0.25,0.0,1.5,3.0,323.75,478.6,236.75,398.6,20.5,18.4,103.25,105.6,43.5,45.8,
10.01.2023 06:30,Perth Glory,Brisbane Roar,1.333333333333333,1,46.666666666666664%,43.5%,12.0,12.75,5.333333333333333,3.25,4.666666666666667,5.0,2.0,4.5,13.333333333333334,12.0,7.0,6.75,0.3333333333333333,3.25,18.333333333333332,18.5,3.6666666666666665,3.75,13.0,10.5,0.0,0.0,2.3333333333333335,1.25,405.0,446.25,329.0,357.75,20.666666666666668,25.75,106.0,99.5,51.0,45.25,
13.01.2023 03:45,Macarthur FC,Central Coast Mariners,1.25,1.666666666666667,41.25%,47.0%,10.0,11.333333333333334,4.0,5.333333333333333,3.0,3.3333333333333335,3.0,2.6666666666666665,16.0,12.666666666666666,3.5,4.666666666666667,2.5,1.6666666666666667,23.25,19.0,4.75,2.6666666666666665,11.0,13.0,0.25,0.0,1.5,3.0,323.75,414.6666666666667,236.75,335.6666666666667,20.5,16.666666666666668,103.25,104.0,43.5,45.0,
14.01.2023 01:00,Brisbane Roar,Wellington Phoenix,0.8333333333333334,1.333333333333333,44.5%,55.333333333333336%,10.666666666666666,13.666666666666666,3.5,5.333333333333333,4.333333333333333,3.6666666666666665,2.8333333333333335,4.666666666666667,13.833333333333334,16.333333333333332,4.666666666666667,4.333333333333333,1.8333333333333333,1.3333333333333333,19.166666666666668,22.0,2.5,2.0,12.333333333333334,12.666666666666666,0.16666666666666666,0.0,1.1666666666666667,3.3333333333333335,400.5,581.3333333333334,314.3333333333333,503.6666666666667,15.666666666666666,16.0,90.5,100.0,48.5,38.333333333333336,
14.01.2023 03:45,Adelaide United,Melbourne Victory,1.75,0.8333333333333334,51.25%,54.0%,15.0,16.166666666666668,4.75,4.333333333333333,7.0,6.0,3.25,5.833333333333333,10.25,13.5,6.75,6.5,1.25,0.8333333333333334,19.25,23.0,2.5,2.1666666666666665,14.0,14.166666666666666,0.0,0.0,3.25,1.5,462.5,486.1666666666667,384.0,399.3333333333333,19.75,15.333333333333334,105.0,107.0,51.5,51.666666666666664,
14.01.2023 06:30,Perth Glory,Sydney FC,1.333333333333333,2,46.666666666666664%,55.6%,12.0,17.4,5.333333333333333,7.0,4.666666666666667,5.6,2.0,4.8,13.333333333333334,11.6,7.0,6.4,0.3333333333333333,2.8,18.333333333333332,19.8,3.6666666666666665,3.6,13.0,12.4,0.0,0.2,2.3333333333333335,2.2,405.0,539.4,329.0,453.8,20.666666666666668,22.4,106.0,96.8,51.0,48.4,
14.01.2023 23:00,WS Wanderers,Melbourne City,1.6,2,49.6%,51.8%,11.4,12.2,4.2,5.4,3.8,3.0,3.4,3.8,12.0,10.2,3.8,5.2,1.8,2.4,20.6,20.4,2.4,4.2,14.2,15.8,0.0,0.4,2.8,3.0,468.0,517.0,383.2,433.4,20.8,19.2,100.8,115.4,43.6,42.8,
15.01.2023 01:00,Western United,Newcastle Jets,1.166666666666667,0.6,49.0%,51.6%,13.5,8.8,5.166666666666667,3.0,4.166666666666667,3.6,4.166666666666667,2.2,12.166666666666666,16.8,5.666666666666667,3.6,1.8333333333333333,0.8,20.0,19.6,3.0,3.6,10.666666666666666,13.2,0.16666666666666666,0.0,2.0,3.0,499.8333333333333,478.6,407.3333333333333,398.6,15.833333333333334,18.4,117.0,105.6,58.333333333333336,45.8,
20.01.2023 03:45,Adelaide United,Macarthur FC,1.75,1.333333333333333,51.25%,44.666666666666664%,15.0,13.166666666666666,4.75,3.8333333333333335,7.0,6.333333333333333,3.25,3.0,10.25,13.833333333333334,6.75,4.5,1.25,0.3333333333333333,19.25,22.833333333333332,2.5,4.5,14.0,13.833333333333334,0.0,0.0,3.25,3.3333333333333335,462.5,366.8333333333333,384.0,286.4,19.75,18.0,105.0,108.83333333333333,51.5,47.5,
