Date,HomeTeam,AwayTeam,HG,AG,HP,AP,HTS,ATS,HSI,ASI,HSO,ASO,HBS,ABS,HFK,AFK,HC,AC,HOFF,AOFF,HTI,ATI,HGS,AGS,HF,AF,HRC,ARC,HYC,AYC,HTP,ATP,HPC,APC,HT,AT,HA,AA,HDA,ADA,Resultado
06.01.2023 06:30,Perth Glory,WS Wanderers,1,0,51%,49%,12,11,5,5,6,3,1,3,16,16,12,5,0,2,18,23,5,4,16,13,,,3,3,405,389,340,322,29,23,103,100,49,34,1
06.01.2023 03:45,Melbourne Victory,Brisbane Roar,0,1,53%,47%,11,10,6,1,3,8,2,1,10,11,2,6,0,2,12,23,0,6,17,11,,,3,2,577,508,505,424,18,24,125,89,50,42,-1
02.01.2023 03:45,Adelaide United,Perth Glory,2,0,48%,52%,15,12,4,1,4,6,7,5,11,11,10,6,0,0,20,23,1,2,10,11,,,1,3,429,468,360,404,15,27,90,107,38,56,2
01.01.2023 21:00,Wellington Phoenix,Melbourne City,1,3,51%,49%,20,13,7,6,7,3,6,4,17,11,9,4,3,3,21,5,3,6,7,14,,,1,3,554,533,473,455,17,22,119,115,59,41,-2
01.01.2023 01:00,WS Wanderers,Macarthur FC,4,0,45%,55%,17,13,8,1,5,7,4,5,12,10,3,6,0,0,15,18,1,4,15,16,,,4,2,385,456,309,378,11,19,87,111,47,53,4
31.12.2022 23:00,Newcastle Jets,Sydney FC,0,2,59%,41%,12,14,4,8,3,3,5,3,11,10,5,3,2,1,29,19,6,4,9,15,,,0,2,608,429,528,341,16,27,168,67,66,24,-2
31.12.2022 03:00,Central Coast Mariners,Melbourne Victory,2,1,50%,50%,10,16,4,6,4,5,2,5,12,12,5,10,2,1,12,19,5,2,10,10,,,1,2,439,430,359,315,10,24,102,110,28,55,1
30.12.2022 03:45,Western United,Brisbane Roar,1,1,54%,46%,10,16,4,3,4,6,2,7,12,7,6,8,0,6,19,15,2,3,7,7,,,1,0,615,517,532,443,20,29,128,106,56,52,0
27.12.2022 04:15,Adelaide United,Newcastle Jets,0,1,58%,42%,15,9,3,5,10,3,2,1,7,21,5,4,2,0,19,17,4,3,19,7,,,3,2,520,382,434,308,20,9,117,76,66,24,-1
27.12.2022 01:30,Melbourne City,Central Coast Mariners,1,0,57%,43%,16,6,7,4,7,2,2,0,12,15,2,2,5,3,20,20,4,6,10,10,,,2,4,516,380,424,300,15,16,116,91,51,40,1
26.12.2022 02:00,Western United,Melbourne Victory,1,0,39%,61%,9,16,2,4,3,7,4,5,13,13,5,6,2,0,23,18,4,1,11,12,1,0,2,1,412,619,313,538,15,13,91,126,27,69,1
24.12.2022 01:00,Sydney FC,Macarthur FC,0,3,57%,43%,12,23,4,6,6,11,2,6,10,11,7,7,1,0,22,15,3,4,11,10,1,0,1,2,538,393,465,318,18,11,103,102,51,46,-3
23.12.2022 06:30,Perth Glory,Wellington Phoenix,1,1,52%,48%,11,7,4,5,4,0,3,2,13,15,5,2,1,0,19,25,4,3,15,14,,,3,4,481,451,404,363,14,15,132,89,67,30,0
23.12.2022 03:45,Brisbane Roar,WS Wanderers,1,1,48%,52%,9,14,1,4,7,5,1,5,20,18,5,3,3,1,15,20,3,0,15,20,,,0,3,417,443,329,366,11,13,91,127,42,49,0
21.12.2022 03:00,Central Coast Mariners,Newcastle Jets,3,0,40%,60%,19,12,12,3,3,6,4,3,13,17,9,4,3,2,14,14,3,9,16,13,,,4,2,327,500,236,405,20,17,99,133,80,89,3
18.12.2022 01:00,Macarthur FC,Perth Glory,1,0,52%,48%,8,7,3,1,4,4,1,2,15,15,4,6,3,1,26,32,1,2,13,15,,,2,0,415,371,324,294,25,20,87,89,37,46,1
17.12.2022 23:00,Western United,WS Wanderers,1,0,40%,60%,7,9,4,4,3,5,0,0,15,14,1,4,2,0,9,24,4,3,13,16,,,2,2,443,660,349,579,19,16,110,149,37,58,1
17.12.2022 01:00,Central Coast Mariners,Sydney FC,2,1,41%,59%,9,20,4,6,3,7,2,7,11,14,4,11,3,3,16,23,5,2,12,9,,,4,2,376,533,295,451,16,24,90,93,41,37,1
