Date,HomeTeam,AwayTeam,"
                    'HG',  # Home Goals
                    'AG',  # Away Goals
                    'HP',  # Home Possession
                    'AP',  # Away Possession
                    'HTS',  # Home Total Shots
                    'ATS',  # Away Total Shots
                    'HSI',  # Home Shots On Goal
                    'ASI',  # Away Shots On Goal
                    'HSO',  # Home Shots Off Goal
                    'ASO',  # Away Shots Off Goal
                    'HBS',  # Home Blocked Shots
                    'ABS',  # Away Blocked Shots
                    'HFK',  # Home Free Kicks
                    'AFK',  # Away Free Kicks
                    'HC',  # Home Corner Kicks
                    'AC',  # Away Corner Kicks
                    'HOFF',  # Home Offsides
                    'AOFF',  # Away Offsides
                    'HTI',  # Home Throw Ins
                    'ATI',  # Away Throw Ins
                    'HGS',  # Home Goalkeeper Saves
                    'AGS',  # Away Goalkeeper Saves
                    'HF',  # Home Fouls
                    'AF',  # Away Fouls
                    'HRC',  # Home Red Cards
                    'ARC',  # Away Red Cards
                    'HYC',  # Home Yellow Cards
                    'AYC',  # Away Yellow Cards
                    'HTP',  # Home Total Passes
                    'ATP',  # Away Total Passes
                    'HPC',  # Home Completed Passes
                    'APC',  # Away Completed Passes
                    'HT',  # Home Tackles
                    'AT',  # Away Tackles
                    'HA',  # Home Attacks
                    'AA',  # Away Attacks
                    'HDA',  # Home Dangerous Attacks
                    'ADA',  # Away Dangerous Attacks
                    'Resultado'
                    ",
11.06.2023 10:00,Austria Vie,,na,-
08.06.2023 10:00,A. Lustenau,Austria Viena,1,1
05.06.2023 12:00,Wolfsberger,,1,2
03.06.2023 10:00,A. Klagenfurt,Rapid Viena,2,1
03.06.2023 10:00,Austria Viena,Salzburgo,1,1
03.06.2023 10:00,Sturm Graz,LASK,2,0
02.06.2023 12:30,A. Lustenau,Hartberg,5,1
02.06.2023 12:30,Ried,Wolfsberger,1,2
02.06.2023 12:30,Tirol,Altach,1,1
28.05.2023 10:00,LASK,Austria Viena,3,1
28.05.2023 10:00,Rapid Viena,Sturm Graz,3,2
28.05.2023 10:00,Salzburgo,A. Klagenfurt,3,2
27.05.2023 10:00,Altach,A. Lustenau,1,1
27.05.2023 10:00,Hartberg,Ried,2,0
27.05.2023 10:00,Wolfsberger,Tirol,2,0
21.05.2023 10:00,Salzburgo,Sturm Graz,2,1
21.05.2023 07:30,A. Klagenfurt,Austria Viena,1,1
21.05.2023 07:30,Rapid Viena,LASK,1,1
20.05.2023 10:00,A. Lustenau,Tirol,2,4
20.05.2023 10:00,Hartberg,Wolfsberger,0,2
19.05.2023 12:30,Ried,Altach,0,1
14.05.2023 10:00,Austria Viena,Rapid Viena,3,1
14.05.2023 07:30,LASK,Salzburgo,0,1
14.05.2023 07:30,Sturm Graz,A. Klagenfurt,4,1
13.05.2023 10:00,Altach,Hartberg,0,1
13.05.2023 10:00,Wolfsberger,A. Lustenau,2,2
12.05.2023 12:30,Tirol,Ried,1,1
07.05.2023 10:00,Salzburgo,Rapid Viena,2,1
07.05.2023 07:30,A. Klagenfurt,LASK,1,1
07.05.2023 07:30,Austria Viena,Sturm Graz,1,2
06.05.2023 10:00,A. Lustenau,Ried,2,2
06.05.2023 10:00,Hartberg,Tirol,5,0
05.05.2023 12:30,Wolfsberger,Altach,0,0
30.04.2023 10:00,LASK,A. Klagenfurt,4,0
29.04.2023 10:00,Ried,A. Lustenau,4,4
29.04.2023 10:00,Tirol,Hartberg,1,1
28.04.2023 12:30,Altach,Wolfsberger,0,2
26.04.2023 13:30,Rapid Viena,Salzburgo,1,1
26.04.2023 11:30,Sturm Graz,Austria Viena,3,2
23.04.2023 10:00,Sturm Graz,Salzburgo,0,2
23.04.2023 07:30,Austria Viena,A. Klagenfurt,1,2
23.04.2023 07:30,LASK,Rapid Viena,3,1
22.04.2023 10:00,Altach,Ried,1,1
22.04.2023 10:00,Tirol,A. Lustenau,0,2
21.04.2023 12:30,Wolfsberger,Hartberg,2,2
16.04.2023 10:00,Rapid Viena,Austria Viena,3,3
16.04.2023 07:30,A. Klagenfurt,Sturm Graz,0,2
16.04.2023 07:30,Salzburgo,LASK,0,0
15.04.2023 10:00,A. Lustenau,Wolfsberger,1,3
15.04.2023 10:00,Hartberg,Altach,2,2
14.04.2023 12:30,Ried,Tirol,1,1
09.04.2023 10:00,LASK,Sturm Graz,2,1
09.04.2023 07:30,Rapid Viena,A. Klagenfurt,3,1
09.04.2023 07:30,Salzburgo,Austria Viena,3,3
08.04.2023 10:00,A. Lustenau,Altach,1,0
08.04.2023 10:00,Ried,Hartberg,1,3
07.04.2023 12:30,Tirol,Wolfsberger,4,0
02.04.2023 10:00,Sturm Graz,Rapid Viena,3,1
02.04.2023 07:30,A. Klagenfurt,Salzburgo,0,3
02.04.2023 07:30,Austria Viena,LASK,2,2
01.04.2023 10:00,Altach,Tirol,1,0
01.04.2023 10:00,Wolfsberger,Ried,1,0
31.03.2023 12:30,Hartberg,A. Lustenau,0,1
19.03.2023 11:00,A. Lustenau,A. Klagenfurt,4,2
19.03.2023 11:00,Austria Viena,Rapid Viena,2,0
19.03.2023 11:00,Hartberg,LASK,2,2
19.03.2023 11:00,Ried,Wolfsberger,0,0
19.03.2023 11:00,Salzburgo,Altach,1,1
19.03.2023 11:00,Tirol,Sturm Graz,0,2
12.03.2023 11:00,A. Klagenfurt,Hartberg,1,0
12.03.2023 11:00,Altach,Ried,1,2
12.03.2023 11:00,LASK,Salzburgo,0,2
12.03.2023 11:00,Rapid Viena,Tirol,2,0
12.03.2023 11:00,Sturm Graz,Austria Viena,3,1
12.03.2023 11:00,Wolfsberger,A. Lustenau,0,1
05.03.2023 11:00,Rapid Viena,Salzburgo,2,4
05.03.2023 08:30,A. Klagenfurt,Altach,3,0
05.03.2023 08:30,Tirol,LASK,2,3
04.03.2023 11:00,A. Lustenau,Sturm Graz,0,2
04.03.2023 11:00,Hartberg,Wolfsberger,2,1
04.03.2023 11:00,Ried,Austria Viena,1,3
26.02.2023 11:00,Salzburgo,Ried,2,0
26.02.2023 08:30,Altach,Tirol,0,0
26.02.2023 08:30,Wolfsberger,Rapid Viena,1,2
25.02.2023 11:00,Austria Viena,Hartberg,3,0
25.02.2023 11:00,Sturm Graz,A. Klagenfurt,1,2
24.02.2023 14:30,LASK,A. Lustenau,1,0
19.02.2023 11:00,Rapid Viena,Altach,3,0
19.02.2023 08:30,A. Lustenau,Austria Viena,1,0
19.02.2023 08:30,Tirol,Salzburgo,1,3
18.02.2023 11:00,A. Klagenfurt,Wolfsberger,0,3
18.02.2023 11:00,Hartberg,Sturm Graz,1,2
18.02.2023 11:00,Ried,LASK,1,1
12.02.2023 11:00,Austria Viena,A. Klagenfurt,3,1
12.02.2023 08:30,Altach,LASK,0,1
12.02.2023 08:30,Ried,Hartberg,0,1
11.02.2023 11:00,Salzburgo,A. Lustenau,4,0
11.02.2023 11:00,Wolfsberger,Tirol,1,2
10.02.2023 14:30,Sturm Graz,Rapid Viena,1,0
13.11.2022 11:00,LASK,Sturm Graz,1,1
13.11.2022 08:30,A. Klagenfurt,Salzburgo,0,1
13.11.2022 08:30,Austria Viena,Wolfsberger,0,1
12.11.2022 11:00,A. Lustenau,Altach,3,0
12.11.2022 11:00,Hartberg,Rapid Viena,1,2
12.11.2022 11:00,Tirol,Ried,2,0
06.11.2022 11:00,Rapid Viena,LASK,1,0
06.11.2022 08:30,Altach,Sturm Graz,1,1
06.11.2022 08:30,Tirol,Austria Viena,0,0
05.11.2022 11:00,Hartberg,A. Lustenau,1,1
05.11.2022 11:00,Ried,A. Klagenfurt,2,2
05.11.2022 11:00,Wolfsberger,Salzburgo,1,2
30.10.2022 11:00,Sturm Graz,Ried,2,1
30.10.2022 08:30,Austria Viena,Altach,2,1
30.10.2022 08:30,LASK,Wolfsberger,4,1
29.10.2022 10:00,A. Klagenfurt,Tirol,2,3
29.10.2022 10:00,A. Lustenau,Rapid Viena,3,3
29.10.2022 10:00,Salzburgo,Hartberg,1,0
26.10.2022 09:00,Rapid Viena,Hartberg,5,1
23.10.2022 10:00,LASK,Austria Viena,2,2
23.10.2022 07:30,A. Lustenau,Ried,0,0
23.10.2022 07:30,Wolfsberger,Altach,2,3
22.10.2022 10:00,Hartberg,Tirol,1,5
22.10.2022 10:00,Rapid Viena,A. Klagenfurt,0,1
22.10.2022 10:00,Salzburgo,Sturm Graz,0,0
16.10.2022 10:00,Austria Viena,Salzburgo,1,3
16.10.2022 07:30,Altach,Hartberg,1,0
16.10.2022 07:30,Sturm Graz,Wolfsberger,3,2
15.10.2022 10:00,A. Klagenfurt,LASK,1,3
15.10.2022 10:00,Ried,Rapid Viena,1,0
15.10.2022 10:00,Tirol,A. Lustenau,3,2
09.10.2022 10:00,Rapid Viena,Austria Viena,1,2
09.10.2022 07:30,Sturm Graz,Tirol,2,1
09.10.2022 07:30,Wolfsberger,Ried,1,2
08.10.2022 10:00,A. Klagenfurt,A. Lustenau,2,1
08.10.2022 10:00,Altach,Salzburgo,2,3
08.10.2022 10:00,LASK,Hartberg,0,3
02.10.2022 10:00,Austria Viena,Sturm Graz,0,3
02.10.2022 07:30,Hartberg,A. Klagenfurt,2,3
02.10.2022 07:30,Ried,Altach,2,3
01.10.2022 10:00,A. Lustenau,Wolfsberger,1,3
01.10.2022 10:00,Salzburgo,LASK,1,1
01.10.2022 10:00,Tirol,Rapid Viena,0,5
18.09.2022 10:00,Salzburgo,Rapid Viena,1,1
18.09.2022 07:30,Austria Viena,Ried,3,0
18.09.2022 07:30,Sturm Graz,A. Lustenau,2,0
17.09.2022 10:00,Altach,A. Klagenfurt,1,4
17.09.2022 10:00,LASK,Tirol,1,4
17.09.2022 10:00,Wolfsberger,Hartberg,3,1
11.09.2022 10:00,A. Klagenfurt,Sturm Graz,0,2
11.09.2022 07:30,A. Lustenau,LASK,1,1
11.09.2022 07:30,Hartberg,Austria Viena,0,3
10.09.2022 10:00,Rapid Viena,Wolfsberger,1,3
10.09.2022 10:00,Ried,Salzburgo,0,3
10.09.2022 10:00,Tirol,Altach,0,0
04.09.2022 10:00,LASK,Ried,1,1
04.09.2022 07:30,Altach,Rapid Viena,0,1
04.09.2022 07:30,Wolfsberger,A. Klagenfurt,3,4
03.09.2022 10:00,Austria Viena,A. Lustenau,2,2
03.09.2022 10:00,Salzburgo,Tirol,2,0
03.09.2022 10:00,Sturm Graz,Hartberg,0,0
28.08.2022 10:00,A. Klagenfurt,Austria Viena,3,3
28.08.2022 10:00,Rapid Viena,Sturm Graz,1,2
28.08.2022 10:00,Tirol,Wolfsberger,1,3
27.08.2022 12:30,LASK,Altach,4,1
27.08.2022 10:00,A. Lustenau,Salzburgo,0,6
27.08.2022 10:00,Hartberg,Ried,2,0
21.08.2022 10:00,Ried,Tirol,1,2
21.08.2022 10:00,Wolfsberger,Austria Viena,1,2
20.08.2022 12:30,Sturm Graz,LASK,0,1
20.08.2022 10:00,Altach,A. Lustenau,1,2
20.08.2022 10:00,Salzburgo,A. Klagenfurt,2,0
14.08.2022 10:00,A. Lustenau,Hartberg,4,1
14.08.2022 10:00,LASK,Rapid Viena,2,1
14.08.2022 10:00,Salzburgo,Wolfsberger,2,1
13.08.2022 12:30,Sturm Graz,Altach,4,0
13.08.2022 10:00,A. Klagenfurt,Ried,1,0
13.08.2022 10:00,Austria Viena,Tirol,2,1
07.08.2022 10:00,Altach,Austria Viena,3,2
07.08.2022 10:00,Rapid Viena,A. Lustenau,1,1
07.08.2022 10:00,Tirol,A. Klagenfurt,2,2
06.08.2022 12:30,Hartberg,Salzburgo,0,2
06.08.2022 10:00,Ried,Sturm Graz,1,1
06.08.2022 10:00,Wolfsberger,LASK,1,5
31.07.2022 10:00,A. Klagenfurt,Rapid Viena,0,1
31.07.2022 10:00,Austria Viena,LASK,1,1
31.07.2022 10:00,Tirol,Hartberg,2,1
30.07.2022 12:30,Sturm Graz,Salzburgo,2,1
30.07.2022 10:00,Altach,Wolfsberger,2,2
30.07.2022 10:00,Ried,A. Lustenau,1,0
24.07.2022 10:00,A. Lustenau,Tirol,2,1
24.07.2022 10:00,Hartberg,Altach,2,1
24.07.2022 10:00,Rapid Viena,Ried,1,0
23.07.2022 12:30,Wolfsberger,Sturm Graz,1,1
23.07.2022 10:00,LASK,A. Klagenfurt,3,1
22.07.2022 13:30,Salzburgo,Austria Viena,3,0
