Date,HomeTeam,AwayTeam,HG,AG,HP,AP,HTS,ATS,HSI,ASI,HSO,ASO,HBS,ABS,HFK,AFK,HC,AC,HOFF,AOFF,HTI,ATI,HGS,AGS,HF,AF,HRC,ARC,HYC,AYC,HTP,ATP,HPC,APC,HT,AT,HA,AA,HDA,ADA,Resultado
13.05.2023 13:45,Beveren,Club Brujas Sub-23,4,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13.05.2023 13:45,RWDM,Anderlecht Sub-23,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13.05.2023 09:00,Beerschot VA,Lierse K.,1,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12.05.2023 13:00,Deinze,Dender,3,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12.05.2023 13:00,Lommel SK,St. Lieja Sub-23,6,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12.05.2023 13:00,Virton,Genk Sub-23,3,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
07.05.2023 09:00,Lierse K.,Beveren,2,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
06.05.2023 13:00,Club Brujas Sub-23,RWDM,1,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
06.05.2023 13:00,Dender,Lommel SK,2,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
06.05.2023 09:00,Genk Sub-23,Deinze,0,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
05.05.2023 13:00,Anderlecht Sub-23,Beerschot VA,0,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
05.05.2023 13:00,St. Lieja Sub-23,Virton,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
22.04.2023 13:00,Beveren,Beerschot VA,3,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
22.04.2023 13:00,Lierse K.,RWDM,0,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
22.04.2023 09:00,Deinze,Virton,3,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
21.04.2023 13:00,Club Brujas Sub-23,Anderlecht Sub-23,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
21.04.2023 13:00,Dender,St. Lieja Sub-23,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
21.04.2023 13:00,Genk Sub-23,Lommel SK,2,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
16.04.2023 12:15,Virton,Dender,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
16.04.2023 09:00,RWDM,Beveren,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
15.04.2023 13:00,Anderlecht Sub-23,Lierse K.,2,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
15.04.2023 09:00,St. Lieja Sub-23,Genk Sub-23,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14.04.2023 13:00,Beerschot VA,Club Brujas Sub-23,4,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14.04.2023 13:00,Lommel SK,Deinze,4,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
09.04.2023 12:15,RWDM,Beerschot VA,4,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
09.04.2023 09:00,Virton,Lommel SK,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
08.04.2023 13:00,Beveren,Anderlecht Sub-23,4,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
08.04.2023 09:00,Club Brujas Sub-23,Lierse K.,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
07.04.2023 13:00,Genk Sub-23,Dender,0,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
07.04.2023 13:00,St. Lieja Sub-23,Deinze,1,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
02.04.2023 12:15,Beerschot VA,RWDM,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
02.04.2023 09:00,Lommel SK,Virton,1,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
01.04.2023 13:00,Lierse K.,Club Brujas Sub-23,1,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
01.04.2023 09:00,Deinze,St. Lieja Sub-23,5,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
31.03.2023 13:00,Anderlecht Sub-23,Beveren,0,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
31.03.2023 13:00,Dender,Genk Sub-23,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
19.03.2023 13:15,St. Lieja Sub-23,Dender,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
19.03.2023 10:00,Club Brujas Sub-23,Beerschot VA,2,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18.03.2023 14:00,Anderlecht Sub-23,RWDM,0,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18.03.2023 10:00,Deinze,Lommel SK,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
17.03.2023 14:00,Beveren,Lierse K.,2,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
17.03.2023 14:00,Genk Sub-23,Virton,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12.03.2023 13:15,Lommel SK,Genk Sub-23,2,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12.03.2023 10:00,RWDM,Club Brujas Sub-23,3,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11.03.2023 14:00,Lierse K.,Anderlecht Sub-23,2,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11.03.2023 10:00,Virton,St. Lieja Sub-23,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10.03.2023 14:00,Beerschot VA,Beveren,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10.03.2023 14:00,Dender,Deinze,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
05.03.2023 13:15,Genk Sub-23,St. Lieja Sub-23,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
05.03.2023 10:00,Lierse K.,Beerschot VA,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
04.03.2023 14:00,Beveren,RWDM,2,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
04.03.2023 10:00,Virton,Deinze,1,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
03.03.2023 14:00,Anderlecht Sub-23,Club Brujas Sub-23,1,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
03.03.2023 14:00,Lommel SK,Dender,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
26.02.2023 13:15,RWDM,Lierse K.,3,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
26.02.2023 10:00,Beerschot VA,Anderlecht Sub-23,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
25.02.2023 14:00,Club Brujas Sub-23,Beveren,3,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
25.02.2023 10:00,Deinze,Genk Sub-23,1,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
24.02.2023 14:00,Dender,Virton,2,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
24.02.2023 14:00,St. Lieja Sub-23,Lommel SK,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
19.02.2023 10:00,Genk Sub-23,St. Lieja Sub-23,2,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12.02.2023 13:15,Beerschot VA,RWDM,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12.02.2023 10:00,Virton,Genk Sub-23,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11.02.2023 14:45,Deinze,Anderlecht Sub-23,2,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11.02.2023 14:45,Lommel SK,Lierse K.,0,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11.02.2023 14:45,St. Lieja Sub-23,Club Brujas Sub-23,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11.02.2023 10:00,Beveren,Dender,5,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
05.02.2023 13:15,Dender,Deinze,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
05.02.2023 10:00,Club Brujas Sub-23,Virton,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
04.02.2023 14:00,Lierse K.,Beerschot VA,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
04.02.2023 10:00,RWDM,St. Lieja Sub-23,3,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
03.02.2023 14:00,Anderlecht Sub-23,Lommel SK,2,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
03.02.2023 14:00,Genk Sub-23,Beveren,2,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
01.02.2023 12:30,Club Brujas Sub-23,Lierse K.,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
29.01.2023 14:00,St. Lieja Sub-23,Beveren,2,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
29.01.2023 10:00,Lierse K.,RWDM,1,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
28.01.2023 14:00,Lommel SK,Dender,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
28.01.2023 10:00,Virton,Anderlecht Sub-23,1,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
27.01.2023 14:00,Beerschot VA,Genk Sub-23,3,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
27.01.2023 14:00,Deinze,Club Brujas Sub-23,2,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
24.01.2023 14:00,Dender,Genk Sub-23,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
22.01.2023 14:00,Anderlecht Sub-23,Lierse K.,3,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
22.01.2023 10:00,Beveren,Beerschot VA,2,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
21.01.2023 14:00,Dender,Virton,3,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
21.01.2023 10:00,RWDM,Deinze,2,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20.01.2023 14:00,Club Brujas Sub-23,Lommel SK,2,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
15.01.2023 10:00,Deinze,Beerschot VA,3,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18.12.2022 07:30,Anderlecht Sub-23,RWDM,1,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
17.12.2022 12:00,St. Lieja Sub-23,Lommel SK,0,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
17.12.2022 10:00,Virton,Beveren,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11.12.2022 14:30,Lommel SK,Deinze,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11.12.2022 11:00,Beerschot VA,St. Lieja Sub-23,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11.12.2022 07:30,RWDM,Virton,3,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10.12.2022 14:00,Lierse K.,Dender,2,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
09.12.2022 14:00,Beveren,Anderlecht Sub-23,4,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
09.12.2022 14:00,Genk Sub-23,Club Brujas Sub-23,1,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
04.12.2022 12:00,Deinze,Beveren,1,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
04.12.2022 07:30,Dender,Beerschot VA,2,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
03.12.2022 14:00,RWDM,Club Brujas Sub-23,0,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
03.12.2022 10:00,Virton,Lommel SK,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
02.12.2022 14:00,Anderlecht Sub-23,Genk Sub-23,2,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
02.12.2022 14:00,St. Lieja Sub-23,Lierse K.,2,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
27.11.2022 14:00,Lierse K.,Virton,2,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
27.11.2022 10:30,Beveren,Lommel SK,2,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
26.11.2022 14:00,Anderlecht Sub-23,Beerschot VA,1,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
26.11.2022 10:00,St. Lieja Sub-23,Deinze,1,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
25.11.2022 14:00,Club Brujas Sub-23,Dender,4,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
25.11.2022 14:00,Genk Sub-23,RWDM,2,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20.11.2022 14:00,Dender,Anderlecht Sub-23,2,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20.11.2022 10:00,Deinze,Lierse K.,2,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
19.11.2022 14:00,Beveren,RWDM,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
19.11.2022 10:00,Beerschot VA,Club Brujas Sub-23,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18.11.2022 14:00,Lommel SK,Genk Sub-23,2,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18.11.2022 14:00,Virton,St. Lieja Sub-23,0,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13.11.2022 14:00,RWDM,Lommel SK,5,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13.11.2022 10:00,Lierse K.,Beveren,1,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12.11.2022 14:00,Beerschot VA,Virton,3,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12.11.2022 10:00,Genk Sub-23,Deinze,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11.11.2022 14:00,Club Brujas Sub-23,Anderlecht Sub-23,2,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11.11.2022 14:00,St. Lieja Sub-23,Dender,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
06.11.2022 14:00,Lierse K.,Genk Sub-23,4,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
06.11.2022 10:00,Lommel SK,Beerschot VA,1,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
05.11.2022 14:00,Beveren,Club Brujas Sub-23,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
05.11.2022 10:00,Virton,Deinze,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
04.11.2022 14:00,Anderlecht Sub-23,St. Lieja Sub-23,3,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
04.11.2022 14:00,Dender,RWDM,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
30.10.2022 14:00,Beveren,Genk Sub-23,3,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
