Date,HomeTeam,AwayTeam,HG,AG,HP,AP,HTS,ATS,HSI,ASI,HSO,ASO,HBS,ABS,HFK,AFK,HC,AC,HOFF,AOFF,HTI,ATI,HGS,AGS,HF,AF,HRC,ARC,HYC,AYC,HTP,ATP,HPC,APC,HT,AT,HA,AA,HDA,ADA,Resultado
27.08.2023 11:30,Anderlecht,Charleroi,2,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
27.08.2023 09:00,St. Truiden,Círculo Brujas,0,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
26.08.2023 13:45,Kortrijk,St. Lieja,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
26.08.2023 11:15,Eupen,Leuven,3,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
26.08.2023 09:00,Westerlo,KV Mechelen,2,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20.08.2023 12:15,Kortrijk,Eupen,1,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20.08.2023 11:30,Club Brujas,RWDM,7,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20.08.2023 09:00,Genk,Charleroi,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20.08.2023 09:00,Gent,St. Truiden,2,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20.08.2023 06:30,Anderlecht,Westerlo,2,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
19.08.2023 13:45,KV Mechelen,Royale Union SG,4,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
19.08.2023 09:00,St. Lieja,Círculo Brujas,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18.08.2023 13:45,Leuven,Antwerp,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13.08.2023 12:15,Westerlo,Gent,1,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13.08.2023 11:30,Charleroi,St. Lieja,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13.08.2023 09:00,Círculo Brujas,Genk,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13.08.2023 09:00,Eupen,Club Brujas,0,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13.08.2023 06:30,St. Truiden,Anderlecht,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12.08.2023 11:15,Royale Union SG,Leuven,5,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12.08.2023 09:00,RWDM,KV Mechelen,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11.08.2023 13:45,Antwerp,Kortrijk,6,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
06.08.2023 12:15,Kortrijk,St. Truiden,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
06.08.2023 11:30,Westerlo,Club Brujas,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
06.08.2023 09:00,KV Mechelen,Gent,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
06.08.2023 06:30,Anderlecht,Antwerp,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
05.08.2023 13:45,Leuven,RWDM,1,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
05.08.2023 11:15,Círculo Brujas,Charleroi,2,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
05.08.2023 09:00,Genk,Eupen,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
04.08.2023 13:45,St. Lieja,Royale Union SG,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
30.07.2023 12:15,St. Truiden,St. Lieja,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
30.07.2023 11:30,Club Brujas,KV Mechelen,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
30.07.2023 09:00,Gent,Kortrijk,3,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
30.07.2023 06:30,Antwerp,Círculo Brujas,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
29.07.2023 13:45,RWDM,Genk,0,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
29.07.2023 11:15,Charleroi,Leuven,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
29.07.2023 09:00,Eupen,Westerlo,2,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
28.07.2023 13:45,Royale Union SG,Anderlecht,2,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
