St. Truiden,1.25,45.875,11.8125,4.1875,4.6875,2.9375,12.3125,4.1875,1.8125,23.5625,1.9375,11.625,0.25,1.3125,398.125,296.125,15.9375,115.625,43.9375
St. Lieja,1.9375,52.8125,12.625,4.75,4.875,3.0,12.125,6.125,1.8125,19.9375,2.8125,11.875,0.25,1.9375,428.4375,343.875,18.1875,106.9375,50.0
Antwerp,2.1875,58.75,14.25,4.625,5.4375,4.1875,11.4375,5.125,2.8125,20.9375,2.0,11.1875,0.0,1.5625,532.875,443.1875,18.625,120.9375,52.1875
Anderlecht,1.5625,54.9375,14.8125,5.3125,5.4375,4.0625,12.0625,6.6875,2.375,18.9375,2.625,10.5625,0.125,1.8125,495.0625,412.0,17.4375,104.1875,53.0625
Gent,1.6875,56.0,15.625,5.1875,7.0,3.4375,10.875,6.8125,1.6875,23.8125,2.5,10.3125,0.0,1.5,500.5,398.875,19.125,126.875,53.6875
Charleroi,1.375,52.75,13.3125,4.6875,5.4375,3.1875,10.5,4.25,1.625,21.9375,2.3125,11.75,0.0625,1.75,476.625,374.75,18.4375,111.0625,53.8125
Kortrijk,0.875,49.125,12.5,4.125,5.4375,2.9375,13.875,4.6875,2.1875,25.625,3.8125,11.6875,0.1875,2.375,381.0,280.8125,17.75,98.5625,43.875
Leuven,1.625,53.1875,13.1875,5.6875,4.75,2.75,13.4375,5.25,1.5,20.875,2.6875,9.625,0.0,1.8125,439.1875,354.9375,18.5625,96.5,52.4375
Club Brujas,2.0625,57.75,17.25,7.0,6.3125,3.9375,13.125,7.0625,2.0,23.733333333333334,2.375,9.3125,0.0,1.625,514.25,426.125,17.0625,131.0,58.4375
Royale Union SG,1.9375,51.75,14.5,5.625,5.4375,3.4375,10.25,6.25,1.6875,25.125,2.25,11.125,0.0625,2.0625,467.25,374.6875,17.5625,116.4375,53.75
KV Mechelen,1.75,53.3125,13.25,5.5,4.875,2.875,10.5625,6.75,2.5625,25.75,2.25,10.125,0.1875,1.3125,442.375,342.25,15.9375,98.5,50.875
Eupen,1.3125,48.125,12.875,4.375,4.8125,3.6875,12.0625,5.25,2.75,22.4375,2.9375,13.3125,0.25,2.25,394.0,296.4375,15.9375,103.9375,46.125
Genk,2.4375,55.5625,15.875,6.5625,5.375,3.9375,11.875,7.0,2.375,18.25,2.1875,11.1875,0.0625,1.875,488.4375,400.3125,17.8125,121.6875,57.625
Oostende,1.125,44.1875,13.375,5.375,4.75,3.25,15.875,4.9375,2.25,25.875,2.75,12.4375,0.375,2.375,354.5,239.8125,20.5,116.1875,47.625
Seraing,0.4375,43.5625,9.1875,2.25,4.0,2.9375,12.125,3.875,2.0,24.6875,2.375,12.6875,0.375,2.8125,353.1875,254.4375,15.3125,95.8125,36.0
Westerlo,2.5,53.3125,12.8125,5.5,4.9375,2.375,10.4375,5.4375,2.5625,19.375,2.375,8.125,0.0,1.9375,471.875,384.9375,16.25,103.0625,48.25
Círculo Brujas,1.75,45.625,15.5625,5.5625,6.875,3.125,12.25,6.625,1.75,28.5625,2.5,12.1875,0.0,1.5625,331.5,206.75,17.75,118.5625,58.6875
Waregem,1.5625,47.4375,11.5,4.0,5.0,2.5,14.5625,4.8125,2.125,23.6875,2.4375,13.6875,0.1875,2.5625,396.625,298.375,20.9375,111.1875,44.1875
