Date,HomeTeam,AwayTeam,HG,AG,HP,AP,HTS,ATS,HSI,ASI,HSO,ASO,HBS,ABS,HFK,AFK,HC,AC,HOFF,AOFF,HTI,ATI,HGS,AGS,HF,AF,HRC,ARC,HYC,AYC,HTP,ATP,HPC,APC,HT,AT,HA,AA,HDA,ADA,Resultado
14.04.2023 13:45,St. Lieja,Charleroi,1.9375,1.3125,52.8125%,51.25%,12.625,10.0,4.75,3.9375,4.875,3.1875,3.0,2.875,12.125,9.4375,6.125,4.125,1.8125,1.5,19.9375,20.25,2.8125,4.25,11.875,11.375,0.25,0.125,1.9375,2.4375,428.4375,459.4375,343.875,359.25,18.1875,20.125,106.9375,108.9375,50.0,46.0625,
15.04.2023 09:00,Eupen,Waregem,1.3125,1.125,48.125%,45.5%,12.875,9.5,4.375,3.75,4.8125,3.4375,3.6875,2.3125,12.0625,11.875,5.25,5.0,2.75,2.75,22.4375,23.3125,2.9375,4.25,13.3125,13.625,0.25,0.25,2.25,2.3125,394.0,384.0,296.4375,286.6875,15.9375,19.0,103.9375,91.8125,46.125,42.0,
15.04.2023 11:15,Círculo Brujas,St. Truiden,1.75,1,45.625%,41.5%,15.5625,9.8125,5.5625,3.375,6.875,4.5,3.125,1.9375,12.25,13.3125,6.625,3.5,1.75,1.25,28.5625,22.0,2.5,3.375,12.1875,13.25,0.0,0.1875,1.5625,2.25,331.5,372.3125,206.75,276.0,17.75,17.5625,118.5625,99.8125,58.6875,35.6875,
15.04.2023 11:15,Oostende,Leuven,1.125,1.4375,44.1875%,48.5%,13.375,11.6875,5.375,4.125,4.75,4.9375,3.25,2.625,15.875,12.0625,4.9375,4.8125,2.25,1.625,25.875,18.9375,2.75,3.625,12.4375,11.6875,0.375,0.125,2.375,1.875,354.5,393.375,239.8125,309.1875,20.5,18.25,116.1875,75.1875,47.625,37.0,
15.04.2023 13:45,Westerlo,Club Brujas,2.5,1.3125,53.3125%,57.25%,12.8125,11.1875,5.5,3.75,4.9375,4.1875,2.375,3.25,10.4375,12.4375,5.4375,5.5,2.5625,1.75,19.375,21.5,2.375,3.0625,8.125,11.875,0.0,0.125,1.9375,2.375,471.875,510.875,384.9375,414.125,16.25,13.5,103.0625,114.8125,48.25,45.5,
16.04.2023 06:30,Genk,Anderlecht,2.4375,1.25,55.5625%,53.0%,15.875,9.6875,6.5625,3.4375,5.375,3.4375,3.9375,2.8125,11.875,13.4375,7.0,4.0,2.375,2.5,18.25,21.625,2.1875,3.6875,11.1875,11.25,0.0625,0.1875,1.875,2.0,488.4375,435.125,400.3125,339.25,17.8125,16.5625,121.6875,96.125,57.625,39.8125,
16.04.2023 09:00,KV Mechelen,Gent,1.75,2.1875,53.3125%,55.125%,13.25,12.0625,5.5,5.1875,4.875,4.5,2.875,2.375,10.5625,11.0,6.75,5.6875,2.5625,1.6875,25.75,21.866666666666667,2.25,2.3125,10.125,10.625,0.1875,0.1875,1.3125,1.3125,442.375,505.4375,342.25,402.4375,15.9375,17.0625,98.5,114.5,50.875,45.0,
16.04.2023 11:30,Antwerp,Kortrijk,2.1875,1.3125,58.75%,49.5%,14.25,9.9375,4.625,3.875,5.4375,3.75,4.1875,2.3125,11.4375,15.625,5.125,4.0625,2.8125,1.5,20.9375,21.8125,2.0,4.0625,11.1875,12.1875,0.0,0.1875,1.5625,2.375,532.875,396.0625,443.1875,292.25,18.625,19.4375,120.9375,103.375,52.1875,38.4375,
16.04.2023 12:15,Royale Union SG,Seraing,1.9375,1.1875,51.75%,38.1875%,14.5,6.3125,5.625,2.1875,5.4375,2.4375,3.4375,1.6875,10.25,14.0,6.25,2.9375,1.6875,1.3125,25.125,21.6875,2.25,3.9375,11.125,12.125,0.0625,0.125,2.0625,2.0625,467.25,332.8125,374.6875,237.1875,17.5625,15.4375,116.4375,87.625,53.75,25.5625,
23.04.2023 11:30,Anderlecht,KV Mechelen,1.5625,0.75,54.9375%,51.6875%,14.8125,9.375,5.3125,3.4375,5.4375,3.6875,4.0625,2.25,12.0625,10.3125,6.6875,4.5625,2.375,1.5,18.9375,21.4375,2.625,3.6875,10.5625,13.0625,0.125,0.125,1.8125,2.5,495.0625,443.5,412.0,351.9375,17.4375,16.625,104.1875,88.9375,53.0625,42.0,
