Date,HomeTeam,AwayTeam,HG,AG,HP,AP,HTS,ATS,HSI,ASI,HSO,ASO,HBS,ABS,HFK,AFK,HC,AC,HOFF,AOFF,HTI,ATI,HGS,AGS,HF,AF,HRC,ARC,HYC,AYC,HTP,ATP,HPC,APC,HT,AT,HA,AA,HDA,ADA,Resultado
01.09.2023 13:45,Leuven,Kortrijk,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
02.09.2023 09:00,Círculo Brujas,Westerlo,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
02.09.2023 11:15,KV Mechelen,Eupen,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
02.09.2023 13:45,St. Lieja,RWDM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
03.09.2023 06:30,Gent,Club Brujas,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
03.09.2023 09:00,Royale Union SG,Antwerp,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
03.09.2023 11:30,Genk,Anderlecht,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
03.09.2023 12:15,Charleroi,St. Truiden,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
15.09.2023 13:45,Westerlo,Antwerp,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
16.09.2023 09:00,RWDM,Círculo Brujas,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
16.09.2023 11:15,Royale Union SG,Genk,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
16.09.2023 13:45,Club Brujas,Charleroi,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
17.09.2023 06:30,Eupen,St. Lieja,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
17.09.2023 09:00,Kortrijk,Anderlecht,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
17.09.2023 11:30,Leuven,Gent,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
17.09.2023 12:15,St. Truiden,KV Mechelen,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
23.09.2023 09:00,Anderlecht,Club Brujas,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
23.09.2023 09:00,Antwerp,RWDM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
23.09.2023 09:00,Charleroi,Kortrijk,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
23.09.2023 09:00,Círculo Brujas,Royale Union SG,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
23.09.2023 09:00,Genk,St. Truiden,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
23.09.2023 09:00,Gent,Eupen,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
23.09.2023 09:00,KV Mechelen,Leuven,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
23.09.2023 09:00,St. Lieja,Westerlo,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
30.09.2023 09:00,Club Brujas,St. Truiden,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
30.09.2023 09:00,Eupen,Anderlecht,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
30.09.2023 09:00,Genk,Westerlo,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
30.09.2023 09:00,Kortrijk,Círculo Brujas,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
30.09.2023 09:00,KV Mechelen,Antwerp,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
30.09.2023 09:00,Leuven,St. Lieja,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
