Date,HomeTeam,AwayTeam,HG,AG,HP,AP,HTS,ATS,HSI,ASI,HSO,ASO,HBS,ABS,HFK,AFK,HC,AC,HOFF,AOFF,HTI,ATI,HGS,AGS,HF,AF,HRC,ARC,HYC,AYC,HTP,ATP,HPC,APC,HT,AT,HA,AA,HDA,ADA,Resultado
12.03.2023 13:15,Anderlecht,Círculo Brujas,2,0,61%,39%,18,7,9,2,7,3,2,2,15,9,5,4,2,1,22,26,2,7,7,17,0,1,0,2,466,291,356,176,11,15,65,127,48,58,2
12.03.2023 12:30,Genk,Royale Union SG,1,2,70%,30%,12,13,6,5,2,6,4,2,13,19,14,5,5,1,23,16,3,5,13,15,,,3,3,565,237,470,160,22,24,146,69,79,30,-1
12.03.2023 10:00,Waregem,Gent,2,6,39%,61%,11,12,4,8,7,3,0,1,14,13,4,1,2,3,25,18,2,2,14,11,,,1,1,335,545,224,420,15,13,107,125,40,43,-4
12.03.2023 07:30,Club Brujas,St. Lieja,2,0,43%,57%,13,17,4,4,6,5,3,8,8,14,6,6,2,2,17,17,4,2,11,10,,,1,1,359,497,276,401,13,12,94,80,41,41,2
11.03.2023 14:45,Seraing,Antwerp,0,2,39%,61%,8,18,1,5,3,5,4,8,12,14,4,5,0,3,24,17,3,1,15,12,1,0,3,1,367,578,257,477,19,19,109,122,21,41,-2
11.03.2023 12:15,Eupen,Oostende,4,4,67%,33%,29,14,10,9,9,3,10,2,12,9,9,2,1,3,33,16,5,6,9,10,0,1,0,3,518,250,406,130,10,23,139,111,81,30,0
11.03.2023 12:15,Westerlo,Kortrijk,3,1,47%,53%,9,19,7,6,1,8,1,5,9,10,7,7,3,2,17,17,5,4,9,10,,,3,2,389,432,286,344,24,17,82,126,33,85,2
11.03.2023 10:00,KV Mechelen,St. Truiden,1,0,58%,42%,8,7,4,1,2,4,2,2,15,11,8,4,0,1,43,22,1,3,10,16,,,1,2,502,371,374,256,16,20,115,104,55,31,1
10.03.2023 14:45,Charleroi,Leuven,0,1,65%,35%,25,9,5,2,15,5,5,2,14,9,7,4,3,3,24,17,1,5,8,11,,,1,4,520,294,426,210,22,16,149,47,83,31,-1
05.03.2023 13:15,Royale Union SG,Eupen,2,1,60%,40%,12,8,6,3,5,4,1,1,18,10,5,2,0,1,20,31,2,4,11,16,,,1,1,605,398,511,316,21,30,115,116,44,40,1
05.03.2023 12:30,Gent,Anderlecht,1,0,50%,50%,14,10,5,3,8,4,1,3,10,9,4,2,3,2,17,22,3,4,8,9,0,1,1,4,475,484,388,381,12,16,139,96,47,35,1
05.03.2023 10:00,Antwerp,KV Mechelen,5,0,57%,43%,16,11,10,5,2,2,4,4,9,6,6,3,0,2,22,23,5,5,9,11,,,1,2,542,412,452,311,11,10,101,63,48,31,5
05.03.2023 07:30,St. Truiden,Genk,2,2,43%,57%,10,9,4,5,6,2,0,2,12,18,2,2,2,2,26,28,3,2,17,11,,,3,1,337,440,221,316,18,13,128,106,34,39,0
04.03.2023 14:45,St. Lieja,Westerlo,2,0,59%,41%,23,7,5,0,10,3,8,4,15,9,7,1,0,4,10,14,0,3,12,11,1,0,0,2,602,416,515,337,15,22,147,76,60,32,2
04.03.2023 12:15,Círculo Brujas,Seraing,3,1,56%,44%,19,3,7,2,11,1,1,0,10,14,11,3,2,0,24,20,1,4,14,11,,,1,1,405,321,280,177,18,10,149,103,71,16,2
04.03.2023 12:15,Leuven,Waregem,4,2,40%,60%,13,12,8,4,5,6,0,2,10,10,3,5,0,3,18,28,2,4,11,10,,,2,1,309,451,224,354,20,20,82,118,48,48,2
04.03.2023 10:00,Kortrijk,Charleroi,0,1,51%,49%,18,11,3,6,8,3,7,2,17,10,4,2,1,1,38,23,5,3,7,12,,,0,4,419,414,308,298,24,23,106,117,41,42,-1
03.03.2023 14:45,Oostende,Club Brujas,3,0,31%,69%,13,11,6,3,6,5,1,3,17,15,0,5,4,3,22,25,3,3,12,16,,,2,2,248,555,123,428,23,11,115,120,39,47,3
26.02.2023 13:15,Charleroi,St. Truiden,1,0,53%,47%,17,11,7,2,6,6,4,3,11,19,3,2,3,0,26,29,2,6,15,13,,,0,2,446,398,327,285,22,18,129,123,39,45,1
26.02.2023 12:30,Anderlecht,St. Lieja,2,2,59%,41%,15,8,8,4,4,3,3,1,10,8,7,3,4,4,15,12,3,6,5,8,,,2,2,562,381,484,283,15,11,114,96,50,32,0
26.02.2023 10:00,Leuven,Antwerp,1,1,42%,58%,9,17,4,4,4,4,1,9,11,10,3,7,0,0,15,27,3,3,9,13,,,1,0,382,518,287,433,29,20,93,129,50,68,0
26.02.2023 07:30,Club Brujas,Gent,2,0,52%,48%,16,6,6,2,5,2,5,2,6,9,9,3,0,1,,,2,4,9,10,,,2,0,438,404,318,307,19,14,141,101,63,33,2
25.02.2023 14:45,Westerlo,Royale Union SG,4,2,37%,63%,9,20,6,8,3,6,0,6,9,12,4,6,3,1,14,28,6,2,9,9,,,2,2,344,558,252,476,20,13,85,141,32,89,2
25.02.2023 12:15,Eupen,Círculo Brujas,2,2,45%,55%,7,14,3,4,2,8,2,2,17,13,4,6,5,5,23,28,2,1,10,13,1,0,1,1,274,327,137,201,8,13,78,118,24,85,0
25.02.2023 12:15,Genk,Oostende,3,0,61%,39%,10,12,5,4,4,4,1,4,15,16,4,4,3,0,21,29,4,2,13,15,,,2,3,567,360,443,248,18,21,115,139,33,43,3
25.02.2023 10:00,Seraing,KV Mechelen,0,2,54%,46%,7,9,0,4,2,3,5,2,13,10,4,3,2,0,18,21,2,0,11,14,,,2,1,471,408,362,293,12,14,125,66,50,36,-2
24.02.2023 14:45,Waregem,Kortrijk,3,3,50%,50%,17,9,4,5,6,4,7,0,18,19,8,5,2,0,25,25,2,1,19,18,,,3,4,309,330,209,211,27,20,120,114,58,37,0
19.02.2023 13:15,St. Truiden,Westerlo,0,1,36%,64%,6,13,1,3,1,9,4,1,6,7,1,6,0,0,21,28,2,1,8,6,1,0,1,0,350,625,266,529,14,10,88,113,33,43,-1
19.02.2023 12:30,Kortrijk,Anderlecht,2,2,48%,52%,13,12,7,5,5,5,1,2,8,15,6,4,4,2,18,23,3,5,14,8,,,2,0,362,407,267,304,10,12,121,94,48,34,0
19.02.2023 10:00,Gent,Leuven,2,0,56%,44%,12,14,6,4,6,7,0,3,8,9,5,9,0,0,15,24,4,4,15,12,,,2,1,470,357,362,252,15,24,144,78,42,32,2
19.02.2023 07:30,Círculo Brujas,Club Brujas,2,2,42%,58%,28,7,10,5,13,0,5,2,8,6,17,4,1,1,26,28,3,8,10,12,,,2,2,235,376,113,254,23,9,102,88,76,16,0
18.02.2023 14:45,Royale Union SG,St. Lieja,2,4,61%,39%,15,9,6,6,4,2,5,1,6,9,3,0,2,1,23,13,2,4,12,11,,,2,5,546,354,430,245,25,31,169,89,65,40,-2
18.02.2023 12:15,Oostende,Charleroi,0,0,45%,55%,17,8,6,3,6,3,5,2,11,9,11,3,3,2,34,28,3,6,7,10,,,,,375,461,250,319,14,15,135,114,48,47,0
18.02.2023 12:15,Seraing,Waregem,1,1,51%,49%,6,12,2,3,2,5,2,4,15,17,4,7,0,2,33,30,2,1,18,16,1,1,3,3,351,330,267,231,11,29,118,95,28,57,0
18.02.2023 10:00,Antwerp,Eupen,2,0,70%,30%,17,4,2,0,10,1,5,3,4,11,7,4,3,1,17,23,0,0,11,11,0,1,3,3,654,286,574,192,20,17,159,64,75,23,2
17.02.2023 14:45,KV Mechelen,Genk,2,2,49%,51%,11,13,5,3,4,6,2,4,6,7,4,4,1,1,26,30,1,3,8,6,,,1,0,439,457,354,365,7,17,89,147,43,58,0
12.02.2023 13:15,Waregem,Oostende,1,1,49%,51%,8,5,2,3,5,1,1,1,18,13,3,4,2,0,39,20,2,1,11,17,,,0,1,376,415,238,271,29,15,146,133,60,98,0
