Date,HomeTeam,AwayTeam,HG,AG,HxG,AxG,HP,AP,HTS,ATS,HSI,ASI,HSO,ASO,HBS,ABS,HFK,AFK,HC,AC,HOFF,AOFF,HTI,ATI,HGS,AGS,HF,AF,HRC,ARC,HYC,AYC,HTP,ATP,HPC,APC,HT,AT,HA,AA,HDA,ADA,Resultado
12.08.2023 19:00,Botafogo,Internacional,2.222222222222222,0.6666666666666666,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13.08.2023 09:00,Atlético-MG,Bahia,1.25,0.4444444444444444,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13.08.2023 14:00,América-MG,Goiás,1.125,0.7777777777777778,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13.08.2023 14:00,Corinthians,Coritiba,1.428571428571429,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13.08.2023 14:00,Gremio,Fluminense,2,1.125,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13.08.2023 16:30,Flamengo,Sao Paulo,1.875,0.625,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13.08.2023 16:30,Fortaleza,Santos,1.111111111111111,0.375,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14.08.2023 17:00,Palmeiras,Cruzeiro,2,1.875,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14.08.2023 19:00,Bragantino,Vasco,1.555555555555556,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
15.08.2023 18:00,Athletico-PR,Cuiabá,1.888888888888889,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
19.08.2023 14:00,Sao Paulo,Botafogo,1.8,1.333333333333333,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
19.08.2023 16:30,Cuiabá,Palmeiras,1.333333333333333,1.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
19.08.2023 16:30,Fluminense,América-MG,1.5,1.111111111111111,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
19.08.2023 19:00,Cruzeiro,Corinthians,0.4,0.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20.08.2023 09:00,Vasco,Atlético-MG,0.5555555555555556,1.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20.08.2023 14:00,Bahia,Bragantino,1.555555555555556,1.333333333333333,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20.08.2023 14:00,Coritiba,Flamengo,0.8888888888888888,1.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20.08.2023 14:00,Santos,Gremio,1.6,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20.08.2023 16:30,Goiás,Athletico-PR,1.111111111111111,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
21.08.2023 18:00,Internacional,Fortaleza,1.111111111111111,0.7777777777777778,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
23.08.2023 15:00,América-MG,Sao Paulo,1.125,0.625,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
