Date,HomeTeam,AwayTeam,HG,AG,HxG,AxG,HP,AP,HTS,ATS,HSI,ASI,HSO,ASO,HBS,ABS,HFK,AFK,HC,AC,HOFF,AOFF,HTI,ATI,HGS,AGS,HF,AF,HRC,ARC,HYC,AYC,HTP,ATP,HPC,APC,HT,AT,HA,AA,HDA,ADA,Resultado
15.08.2023 18:00,Athletico-PR,Cuiabá,2,0,0.82,1.12,55%,45%,12,11,6,1,4,9,2,1,12,21,5,3,1,1,15,14,1,4,21,12,,,5,3,433,329,362,269,,,93,105,41,34,2
14.08.2023 19:00,Bragantino,Vasco,1,1,1.49,1.39,60%,40%,22,8,7,4,8,2,7,2,17,11,7,6,0,4,22,22,3,6,11,17,,,3,5,498,267,413,187,,,148,76,75,31,0
14.08.2023 17:00,Palmeiras,Cruzeiro,1,0,1.15,0.63,54%,46%,11,11,4,4,5,5,2,2,26,15,3,5,1,1,23,18,4,3,13,26,,,2,3,464,395,376,319,,,105,115,40,27,1
13.08.2023 16:30,Flamengo,Sao Paulo,1,1,1.49,0.83,47%,53%,17,7,4,1,9,3,4,3,17,15,8,2,3,5,21,13,0,3,13,14,,,2,6,590,494,519,430,,,129,99,83,25,0
13.08.2023 16:30,Fortaleza,Santos,4,0,2.87,0.53,53%,47%,25,8,10,3,12,3,3,2,21,17,10,6,1,3,19,19,3,6,19,20,,,2,1,399,308,323,240,,,96,74,56,33,4
13.08.2023 14:00,América-MG,Goiás,0,1,0.78,0.28,65%,35%,14,9,2,3,6,6,6,0,11,14,7,3,2,0,17,12,2,2,12,12,1,0,0,1,674,308,586,237,,,163,78,78,32,-1
13.08.2023 14:00,Corinthians,Coritiba,3,1,2.52,0.92,58%,42%,15,11,9,4,6,4,0,3,13,18,4,2,2,0,16,20,3,6,17,13,,,2,2,569,438,501,355,,,105,91,41,32,2
13.08.2023 14:00,Gremio,Fluminense,2,1,1.17,0.85,34%,66%,11,18,5,7,5,9,1,2,10,14,3,8,3,2,14,27,6,3,11,7,,,3,4,309,729,238,649,,,74,127,35,58,1
13.08.2023 09:00,Atlético-MG,Bahia,1,0,0.97,0.79,43%,57%,10,13,4,5,6,4,0,4,13,18,2,9,4,1,29,24,5,3,15,12,0,1,2,1,296,505,243,419,,,61,120,30,68,1
12.08.2023 19:00,Botafogo,Internacional,3,1,2.38,1.21,53%,47%,16,9,10,4,5,5,1,0,13,13,7,3,0,4,19,15,3,7,15,10,,,3,3,510,475,418,390,,,124,105,52,21,2
06.08.2023 18:00,Cuiabá,Flamengo,3,0,2.15,0.76,42%,58%,16,9,7,4,7,2,2,3,9,10,10,6,1,0,17,20,4,4,9,9,,,2,0,330,539,264,474,,,70,122,46,87,3
06.08.2023 16:30,Bahia,América-MG,3,1,1.49,0.62,61%,39%,23,6,7,5,13,1,3,0,20,13,7,2,2,3,18,12,4,4,20,19,0,1,4,5,491,260,417,187,,,119,73,62,20,2
06.08.2023 16:30,Coritiba,Bragantino,0,1,0.40,1.07,50%,50%,9,12,1,2,6,8,2,2,20,22,3,4,2,0,38,42,1,1,21,22,,,3,5,389,357,300,261,,,89,102,53,48,-1
06.08.2023 16:30,Cruzeiro,Botafogo,0,0,1.06,0.07,59%,41%,11,2,4,1,5,1,2,0,6,17,8,1,1,1,30,18,1,4,16,7,,,1,2,606,270,515,203,,,153,61,54,12,0
06.08.2023 14:00,Sao Paulo,Atlético-MG,0,2,0.94,2.06,62%,38%,16,8,2,2,10,6,4,0,16,20,8,3,6,1,27,12,0,2,15,17,,,6,5,620,290,546,220,,,152,65,79,23,-2
06.08.2023 14:00,Vasco,Gremio,1,0,1.60,1.34,51%,49%,10,11,4,4,6,3,0,4,18,18,5,7,1,2,17,31,4,3,19,17,,,1,1,486,430,408,340,,,115,123,38,66,1
05.08.2023 19:00,Fluminense,Palmeiras,2,1,2.49,0.91,49%,51%,10,16,5,5,3,6,2,5,23,21,0,8,3,3,16,14,4,3,18,21,1,0,6,2,428,382,364,294,,,53,106,19,63,1
05.08.2023 16:30,Goiás,Fortaleza,1,0,0.93,0.71,38%,62%,10,10,4,4,4,2,2,4,10,18,5,2,2,0,22,24,4,3,15,10,,,1,3,354,592,276,521,,,84,133,47,65,1
05.08.2023 16:30,Internacional,Corinthians,2,2,1.54,1.03,55%,45%,14,9,4,3,5,6,5,0,11,15,1,4,0,2,21,20,1,2,17,7,1,0,5,3,574,466,494,401,,,137,93,52,32,0
05.08.2023 14:00,Santos,Athletico-PR,1,1,,,60%,40%,6,3,2,2,2,1,2,0,30,16,3,3,2,2,15,13,1,1,19,26,,,3,2,598,316,514,256,,,116,80,57,22,0
30.07.2023 16:30,Goiás,Gremio,1,1,0.80,0.29,45%,55%,14,8,2,2,8,1,4,5,11,20,6,5,2,1,21,19,1,1,20,11,,,4,2,394,535,327,455,,,105,101,46,44,0
30.07.2023 14:00,América-MG,Palmeiras,1,4,1.29,0.84,48%,52%,13,13,7,7,4,1,2,5,20,13,5,4,1,7,19,12,3,6,13,12,,,2,1,409,449,331,364,,,123,97,59,37,-3
30.07.2023 14:00,Botafogo,Coritiba,4,1,1.02,1.17,53%,47%,14,9,7,5,5,4,2,0,12,14,7,3,0,1,13,16,4,3,14,12,,,1,3,531,427,462,367,,,117,94,51,28,3
30.07.2023 09:00,Sao Paulo,Bahia,0,0,1.82,0.57,60%,40%,15,11,10,2,3,9,2,0,15,22,10,5,6,0,34,12,2,10,13,14,,,0,4,,,,,,,157,98,69,22,0
29.07.2023 19:00,Atlético-MG,Flamengo,1,2,0.91,1.89,41%,59%,21,6,6,5,8,1,7,0,13,22,7,2,1,0,18,16,3,5,21,14,,,3,5,383,564,310,502,,,45,70,9,23,-1
29.07.2023 16:30,Corinthians,Vasco,3,1,1.15,1.45,54%,46%,13,22,7,5,3,13,3,4,12,13,0,6,0,0,14,19,4,4,12,11,,,2,0,649,518,584,456,,,108,114,48,55,2
29.07.2023 16:30,Fortaleza,Bragantino,0,3,0.90,2.57,49%,51%,11,21,2,11,4,6,5,4,22,21,2,9,5,1,25,18,8,2,16,24,,,2,3,364,436,288,344,,,127,115,36,54,-3
29.07.2023 14:00,Athletico-PR,Cruzeiro,3,3,3.33,2.03,49%,51%,13,10,6,5,6,5,1,0,24,17,7,5,1,1,26,24,2,3,15,22,,,1,4,393,374,318,292,,,80,93,32,56,0
29.07.2023 14:00,Fluminense,Santos,1,0,1.85,0.17,65%,35%,14,4,8,0,4,4,2,0,17,19,6,2,0,0,24,15,0,7,18,19,,,6,6,588,234,517,185,,,133,45,71,19,1
29.07.2023 14:00,Internacional,Cuiabá,1,2,1.16,0.87,67%,33%,15,11,4,5,5,4,6,2,10,16,7,5,2,1,23,12,3,3,14,11,1,0,5,2,732,342,651,256,,,133,100,65,28,-1
24.07.2023 17:00,Coritiba,Fluminense,2,0,1.83,1.11,32%,68%,8,15,5,4,3,8,0,3,7,15,7,11,0,1,24,34,4,3,16,6,,,2,1,244,660,176,581,,,48,159,32,93,2
