Date,HomeTeam,AwayTeam,HG,AG,HP,AP,HTS,ATS,HSI,ASI,HSO,ASO,HBS,ABS,HFK,AFK,HC,AC,HOFF,AOFF,HTI,ATI,HGS,AGS,HF,AF,HRC,ARC,HYC,AYC,HTP,ATP,HPC,APC,HT,AT,HA,AA,HDA,ADA,Resultado
29.08.2023 20:10,Dep. Pasto,Once Caldas,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
28.08.2023 20:30,Atl. Bucaramanga,Deportivo Cali,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
28.08.2023 18:15,Ind. Medellín,Boyacá Chicó,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
27.08.2023 20:20,Atl. Huila,Jaguares de Córdoba,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
27.08.2023 18:10,América de Cali,Ind. Santa Fe,2,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
27.08.2023 16:00,Millonarios,Atl. Nacional,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
26.08.2023 20:20,La Equidad,Tolima,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
26.08.2023 18:10,U. Magdalena,Alianza Petrolera,2,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
26.08.2023 16:00,Envigado,Junior,1,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
25.08.2023 20:30,Aguilas Doradas,Ind. Medellín,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
25.08.2023 18:15,Once Caldas,Atl. Bucaramanga,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
24.08.2023 20:30,Deportivo Cali,Millonarios,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
24.08.2023 18:20,Atl. Nacional,Dep. Pasto,2,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
24.08.2023 16:00,Boyacá Chicó,Atl. Huila,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
23.08.2023 20:30,Junior,América de Cali,4,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
23.08.2023 18:15,Ind. Santa Fe,Envigado,2,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
23.08.2023 16:45,Alianza Petrolera,La Equidad,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
22.08.2023 18:15,Jaguares de Córdoba,U. Magdalena,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
21.08.2023 19:00,Millonarios,Once Caldas,2,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
21.08.2023 16:00,Atl. Bucaramanga,Aguilas Doradas,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20.08.2023 20:20,Atl. Huila,Atl. Nacional,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
