Date,HomeTeam,AwayTeam,HG,AG,HP,AP,HTS,ATS,HSI,ASI,HSO,ASO,HBS,ABS,HFK,AFK,HC,AC,HOFF,AOFF,HTI,ATI,HGS,AGS,HF,AF,HRC,ARC,HYC,AYC,HTP,ATP,HPC,APC,HT,AT,HA,AA,HDA,ADA,Resultado
07.08.2023 17:15,Atl. Bucaramanga,Jaguares de Córdoba,1,0.5,60.0%,39.0%,18.0,8.0,6.0,1.5,9.0,5.5,3.0,1.0,0,0,4.0,2.0,3.0,0.5,0,0,1.0,3.0,8.0,8.0,1.0,0.0,3.0,1.0,477.0,311.5,385.0,214.5,17.0,15.0,122.0,90.0,30.0,32.0,
07.08.2023 19:30,Millonarios,Tolima,0,0,55.0%,66.0%,10.0,11.0,1.0,2.0,7.0,5.0,2.0,4.0,0,0,6.0,10.0,2.0,8.0,0,0,3.0,4.0,5.0,11.0,0.0,0.0,1.0,3.0,467.0,389.0,379.0,312.0,9.0,21.0,116.0,94.0,53.0,49.0,
10.08.2023 18:00,Alianza Petrolera,Envigado,1,0.5,54.0%,41.0%,14.0,3.0,5.0,0.5,5.0,1.5,4.0,1.0,0,0,4.0,3.5,1.0,1.0,0,0,1.0,2.5,12.0,12.5,0.0,0.0,2.0,2.5,518.0,257.0,465.0,166.0,14.0,14.0,113.0,73.5,40.0,31.0,
11.08.2023 18:20,Aguilas Doradas,Deportivo Cali,2,1,54.0%,49.5%,12.0,8.0,2.0,1.0,7.0,4.0,3.0,3.0,0,0,0.0,5.0,1.0,1.5,0,0,6.0,2.5,10.0,10.0,0.0,0.0,2.0,2.5,406.0,429.0,307.0,338.0,11.0,14.0,104.0,103.5,34.0,29.0,
11.08.2023 20:30,Tolima,Atl. Huila,2,0,60.5%,40.0%,14.5,9.0,5.5,1.0,5.0,6.0,4.0,2.0,0,0,6.0,2.0,3.5,0.0,0,0,2.0,5.0,13.0,11.0,0.0,0.0,2.5,1.0,410.5,312.0,326.0,235.0,14.5,20.0,100.0,81.0,48.5,37.0,
12.08.2023 16:10,Ind. Santa Fe,La Equidad,1,2,56.0%,40.5%,15.0,13.0,3.5,4.0,7.0,4.5,4.5,4.5,0,0,5.5,5.0,2.5,2.5,0,0,0.0,3.0,16.0,22.0,0.0,1.0,0.5,5.5,417.5,261.0,312.5,172.0,15.5,19.0,120.0,74.5,57.5,31.0,
12.08.2023 18:20,Junior,Dep. Pasto,0.5,1,55.5%,32.0%,11.0,9.0,4.0,3.0,4.0,3.0,3.0,3.0,0,0,4.5,4.0,0.5,2.0,0,0,2.5,2.0,10.5,12.0,0.5,0.0,2.5,3.0,488.0,246.0,416.0,165.0,16.5,15.0,120.5,61.0,37.5,28.0,
12.08.2023 20:30,Once Caldas,Pereira,2.5,0,48.0%,55.5%,11.0,11.0,4.0,4.0,5.0,4.5,2.0,2.5,0,0,5.0,6.5,1.5,1.0,0,0,1.5,1.0,12.5,9.0,0.5,0.0,3.0,2.5,356.0,396.5,257.5,309.5,10.5,8.0,80.0,85.5,42.5,31.5,
13.08.2023 16:00,América de Cali,Ind. Medellín,1,0,51.0%,55.0%,17.5,7.0,4.0,0.0,9.0,3.0,4.5,4.0,0,0,7.0,3.0,2.5,2.0,0,0,2.0,4.0,10.0,16.0,0.5,0.0,1.5,2.0,366.0,359.0,285.0,268.0,15.5,11.0,109.5,101.0,41.5,62.0,
13.08.2023 18:10,Jaguares de Córdoba,Millonarios,2,0,51.0%,51.0%,16.0,10.5,4.0,3.0,6.0,5.0,6.0,2.5,0,0,2.0,4.0,2.0,1.0,0,0,4.0,3.0,11.0,10.0,0.0,0.5,1.0,0.5,436.0,466.5,354.0,397.0,21.0,12.0,105.0,90.5,38.0,35.5,
