Date,HomeTeam,AwayTeam,HG,AG,HP,AP,HTS,ATS,HSI,ASI,HSO,ASO,HBS,ABS,HFK,AFK,HC,AC,HOFF,AOFF,HTI,ATI,HGS,AGS,HF,AF,HRC,ARC,HYC,AYC,HTP,ATP,HPC,APC,HT,AT,HA,AA,HDA,ADA,Resultado
29.08.2023 18:05,Patriotas,Quindío,1,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
29.08.2023 15:30,Cúcuta,Cortuluá,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
28.08.2023 15:30,Barranquilla,Bogotá,2,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
28.08.2023 15:00,Atletico F.C.,Real Soacha,1,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
28.08.2023 15:00,Tigres,Llaneros,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
27.08.2023 16:00,Orsomarso,Boca Juniors,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
26.08.2023 15:00,Real Santander,Real Cartagena,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
25.08.2023 16:00,Cúcuta,Fortaleza,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
25.08.2023 14:00,Bogotá,Llaneros,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
24.08.2023 19:30,Leones,Orsomarso,4,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
24.08.2023 15:30,Boca Juniors,Patriotas,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
24.08.2023 15:30,Real Soacha,Tigres,2,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
23.08.2023 19:30,Real Cartagena,Atletico F.C.,3,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
22.08.2023 20:00,Quindío,Real Santander,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
22.08.2023 16:00,Cortuluá,Barranquilla,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
21.08.2023 15:30,Tigres,Orsomarso,1,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20.08.2023 17:00,Llaneros,Real Soacha,3,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20.08.2023 16:00,Real Cartagena,Bogotá,3,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20.08.2023 15:30,Fortaleza,Boca Juniors,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
19.08.2023 15:30,Atletico F.C.,Cúcuta,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18.08.2023 20:05,Patriotas,Leones,1,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18.08.2023 18:00,Barranquilla,Quindío,4,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18.08.2023 15:45,Real Santander,Cortuluá,2,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
15.08.2023 19:40,Boca Juniors,Real Santander,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14.08.2023 16:00,Orsomarso,Llaneros,0,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13.08.2023 15:30,Bogotá,Patriotas,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12.08.2023 15:30,Cortuluá,Tigres,3,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12.08.2023 15:30,Cúcuta,Barranquilla,1,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12.08.2023 15:30,Leones,Atletico F.C.,1,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12.08.2023 15:00,Fortaleza,Quindío,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12.08.2023 14:00,Real Soacha,Real Cartagena,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
08.08.2023 20:05,Tigres,Cúcuta,2,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
08.08.2023 18:00,Quindío,Cortuluá,2,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
07.08.2023 15:00,Atletico F.C.,Bogotá,0,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
06.08.2023 15:00,Real Cartagena,Boca Juniors,3,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
06.08.2023 15:00,Real Soacha,Barranquilla,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
05.08.2023 15:30,Llaneros,Leones,4,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
