Date,HomeTeam,AwayTeam,"
                    'HG',  # Home Goals
                    'AG',  # Away Goals
                    'HP',  # Home Possession
                    'AP',  # Away Possession
                    'HTS',  # Home Total Shots
                    'ATS',  # Away Total Shots
                    'HSI',  # Home Shots On Goal
                    'ASI',  # Away Shots On Goal
                    'HSO',  # Home Shots Off Goal
                    'ASO',  # Away Shots Off Goal
                    'HBS',  # Home Blocked Shots
                    'ABS',  # Away Blocked Shots
                    'HFK',  # Home Free Kicks
                    'AFK',  # Away Free Kicks
                    'HC',  # Home Corner Kicks
                    'AC',  # Away Corner Kicks
                    'HOFF',  # Home Offsides
                    'AOFF',  # Away Offsides
                    'HTI',  # Home Throw Ins
                    'ATI',  # Away Throw Ins
                    'HGS',  # Home Goalkeeper Saves
                    'AGS',  # Away Goalkeeper Saves
                    'HF',  # Home Fouls
                    'AF',  # Away Fouls
                    'HRC',  # Home Red Cards
                    'ARC',  # Away Red Cards
                    'HYC',  # Home Yellow Cards
                    'AYC',  # Away Yellow Cards
                    'HTP',  # Home Total Passes
                    'ATP',  # Away Total Passes
                    'HPC',  # Home Completed Passes
                    'APC',  # Away Completed Passes
                    'HT',  # Home Tackles
                    'AT',  # Away Tackles
                    'HA',  # Home Attacks
                    'AA',  # Away Attacks
                    'HDA',  # Home Dangerous Attacks
                    'ADA',  # Away Dangerous Attacks
                    'Resultado'
                    ",
17.06.2023 10:30,Zrinski Jurjev,,ac,-
10.06.2023 10:30,Kustosija,Zrinski Jurjevac,2,1
03.06.2023 10:30,Croatia Zmijavci,Solin,3,0
03.06.2023 10:30,Kustosija,Dubrava,0,1
03.06.2023 10:30,Orijent,Dragovoljac,2,2
03.06.2023 09:00,Bijelo Brdo,Dugopolje,3,1
02.06.2023 10:30,Rudes,Vukovar 1991,1,2
02.06.2023 08:30,Jarun,Cibalia,2,1
28.05.2023 10:30,Solin,Jarun,2,2
28.05.2023 08:00,Cibalia,Rudes,1,1
27.05.2023 10:30,Dubrava,Croatia Zmijavci,1,0
27.05.2023 10:30,Vukovar 1991,Orijent,2,0
27.05.2023 07:30,Dugopolje,Kustosija,2,0
26.05.2023 09:00,Dragovoljac,Bijelo Brdo,0,2
22.05.2023 10:00,Kustosija,Dragovoljac,3,0
21.05.2023 10:30,Croatia Zmijavci,Dugopolje,1,2
21.05.2023 08:00,Jarun,Dubrava,1,0
20.05.2023 10:30,Rudes,Solin,1,2
20.05.2023 10:30,Vukovar 1991,Cibalia,1,1
20.05.2023 09:00,Orijent,Bijelo Brdo,0,1
15.05.2023 10:00,Solin,Vukovar 1991,2,5
13.05.2023 10:30,Bijelo Brdo,Kustosija,1,0
13.05.2023 10:30,Cibalia,Orijent,3,2
13.05.2023 08:00,Dubrava,Rudes,0,4
