Date,HomeTeam,AwayTeam,"
                    'HG',  # Home Goals
                    'AG',  # Away Goals
                    'HP',  # Home Possession
                    'AP',  # Away Possession
                    'HTS',  # Home Total Shots
                    'ATS',  # Away Total Shots
                    'HSI',  # Home Shots On Goal
                    'ASI',  # Away Shots On Goal
                    'HSO',  # Home Shots Off Goal
                    'ASO',  # Away Shots Off Goal
                    'HBS',  # Home Blocked Shots
                    'ABS',  # Away Blocked Shots
                    'HFK',  # Home Free Kicks
                    'AFK',  # Away Free Kicks
                    'HC',  # Home Corner Kicks
                    'AC',  # Away Corner Kicks
                    'HOFF',  # Home Offsides
                    'AOFF',  # Away Offsides
                    'HTI',  # Home Throw Ins
                    'ATI',  # Away Throw Ins
                    'HGS',  # Home Goalkeeper Saves
                    'AGS',  # Away Goalkeeper Saves
                    'HF',  # Home Fouls
                    'AF',  # Away Fouls
                    'HRC',  # Home Red Cards
                    'ARC',  # Away Red Cards
                    'HYC',  # Home Yellow Cards
                    'AYC',  # Away Yellow Cards
                    'HTP',  # Home Total Passes
                    'ATP',  # Away Total Passes
                    'HPC',  # Home Completed Passes
                    'APC',  # Away Completed Passes
                    'HT',  # Home Tackles
                    'AT',  # Away Tackles
                    'HA',  # Home Attacks
                    'AA',  # Away Attacks
                    'HDA',  # Home Dangerous Attacks
                    'ADA',  # Away Dangerous Attacks
                    'Resultado'
                    ",
04.06.2023 06:00,Hvidovre IF,Naestved,2,3
04.06.2023 06:00,Sonderjyske,Helsingor,3,2
04.06.2023 06:00,Vejle,Vendsyssel,4,3
02.06.2023 12:00,Hillerod,Hobro,0,0
02.06.2023 12:00,Koge,F. Amager,4,2
02.06.2023 12:00,Nykobing,Fredericia,1,5
28.05.2023 06:00,Helsingor,Vejle,1,1
28.05.2023 06:00,Naestved,Sonderjyske,3,3
27.05.2023 06:00,Vendsyssel,Hvidovre IF,2,3
26.05.2023 11:30,F. Amager,Nykobing,4,3
26.05.2023 11:30,Fredericia,Hillerod,4,0
26.05.2023 11:30,Hobro,Koge,0,2
21.05.2023 08:00,Vejle,Naestved,3,1
21.05.2023 07:00,Fredericia,F. Amager,0,0
20.05.2023 07:00,Vendsyssel,Helsingor,2,0
19.05.2023 12:00,Nykobing,Hobro,1,2
19.05.2023 11:00,Hillerod,Koge,1,0
18.05.2023 07:00,Hvidovre IF,Sonderjyske,1,2
14.05.2023 06:00,Naestved,Vendsyssel,2,3
13.05.2023 06:00,Koge,Fredericia,2,2
12.05.2023 12:00,Helsingor,Hvidovre IF,0,1
12.05.2023 12:00,Nykobing,Hillerod,5,2
11.05.2023 12:00,Hobro,F. Amager,1,2
11.05.2023 11:00,Sonderjyske,Vejle,1,1
07.05.2023 06:00,Naestved,Helsingor,2,1
06.05.2023 06:00,Vendsyssel,Sonderjyske,0,1
06.05.2023 06:00,Koge,Nykobing,3,1
05.05.2023 11:30,F. Amager,Hillerod,1,0
05.05.2023 11:30,Fredericia,Hobro,2,2
05.05.2023 11:00,Hvidovre IF,Vejle,0,1
30.04.2023 08:00,Vejle,Helsingor,2,1
30.04.2023 07:00,Vendsyssel,Naestved,2,1
29.04.2023 07:00,Hillerod,Fredericia,1,2
29.04.2023 06:00,Sonderjyske,Hvidovre IF,0,3
28.04.2023 11:30,F. Amager,Koge,0,1
28.04.2023 11:30,Hobro,Nykobing,3,1
25.04.2023 12:00,Helsingor,Naestved,4,2
23.04.2023 07:00,Hobro,Fredericia,0,1
23.04.2023 06:00,Koge,Hillerod,2,0
22.04.2023 06:00,Hvidovre IF,Vendsyssel,0,0
21.04.2023 12:00,Helsingor,Sonderjyske,4,5
21.04.2023 12:00,Nykobing,F. Amager,2,1
20.04.2023 11:00,Naestved,Vejle,1,1
16.04.2023 07:00,F. Amager,Hobro,1,1
16.04.2023 07:00,Fredericia,Koge,6,1
15.04.2023 07:00,Hillerod,Nykobing,2,0
14.04.2023 12:00,Sonderjyske,Vendsyssel,1,1
13.04.2023 11:00,Vejle,Hvidovre IF,0,0
10.04.2023 08:00,Sonderjyske,Naestved,1,0
10.04.2023 07:00,Vendsyssel,Vejle,0,0
10.04.2023 06:00,Hobro,Hillerod,2,1
09.04.2023 08:00,Nykobing,Koge,3,5
09.04.2023 06:00,Hvidovre IF,Helsingor,3,2
09.04.2023 06:00,F. Amager,Fredericia,1,3
02.04.2023 06:00,Naestved,Hvidovre IF,3,2
02.04.2023 06:00,Koge,Hobro,1,3
01.04.2023 08:30,Vejle,Sonderjyske,1,2
01.04.2023 06:00,Hillerod,F. Amager,1,0
31.03.2023 12:00,Helsingor,Vendsyssel,0,0
31.03.2023 11:30,Fredericia,Nykobing,2,0
18.03.2023 07:00,Fredericia,F. Amager,2,1
18.03.2023 07:00,Helsingor,Hobro,2,1
18.03.2023 07:00,Hvidovre IF,Vendsyssel,3,1
18.03.2023 07:00,Koge,Hillerod,0,1
18.03.2023 07:00,Naestved,Vejle,0,2
18.03.2023 07:00,Sonderjyske,Nykobing,1,1
12.03.2023 09:00,Vejle,Fredericia,3,1
12.03.2023 08:00,Vendsyssel,Sonderjyske,2,3
12.03.2023 07:00,Hobro,Hvidovre IF,2,2
11.03.2023 09:00,Nykobing,Koge,4,2
11.03.2023 07:00,F. Amager,Helsingor,0,1
11.03.2023 07:00,Hillerod,Naestved,2,0
05.03.2023 09:00,Vejle,Vendsyssel,1,0
05.03.2023 08:00,Hobro,Nykobing,2,1
05.03.2023 07:00,Naestved,F. Amager,2,3
04.03.2023 07:00,Hvidovre IF,Sonderjyske,2,1
03.03.2023 13:00,Helsingor,Hillerod,2,0
03.03.2023 12:30,Fredericia,Koge,3,0
25.02.2023 09:00,Nykobing,Helsingor,3,0
25.02.2023 07:00,Hillerod,Hvidovre IF,1,1
25.02.2023 07:00,Vendsyssel,Naestved,3,0
24.02.2023 13:00,Sonderjyske,Fredericia,4,0
24.02.2023 12:30,F. Amager,Hobro,2,1
24.02.2023 12:30,Koge,Vejle,0,0
19.02.2023 08:00,Fredericia,Hillerod,0,2
19.02.2023 08:00,Hobro,Vendsyssel,3,1
19.02.2023 07:00,Naestved,Sonderjyske,0,0
18.02.2023 07:00,Hvidovre IF,Nykobing,3,1
18.02.2023 07:00,Vejle,F. Amager,4,1
17.02.2023 13:00,Helsingor,Koge,1,4
11.02.2023 07:00,Hillerod,Hobro,2,2
14.11.2022 13:00,Sonderjyske,Vejle,0,1
13.11.2022 09:00,Koge,Hvidovre IF,1,3
13.11.2022 08:00,Fredericia,Helsingor,4,1
12.11.2022 11:00,F. Amager,Vendsyssel,2,3
12.11.2022 09:00,Nykobing,Naestved,1,1
06.11.2022 09:00,Vejle,Hillerod,2,3
06.11.2022 07:00,Naestved,Fredericia,5,0
05.11.2022 09:00,Vendsyssel,Nykobing,1,2
05.11.2022 07:00,Hvidovre IF,Helsingor,0,1
04.11.2022 13:00,Hobro,Koge,0,1
04.11.2022 12:30,F. Amager,Sonderjyske,1,0
30.10.2022 07:00,Hobro,Naestved,0,0
30.10.2022 07:00,Koge,Sonderjyske,1,4
29.10.2022 08:00,Nykobing,Vejle,4,5
29.10.2022 07:00,Hillerod,F. Amager,3,0
29.10.2022 06:00,Hvidovre IF,Fredericia,3,2
28.10.2022 12:00,Helsingor,Vendsyssel,0,0
23.10.2022 07:00,Fredericia,Hobro,0,0
23.10.2022 07:00,Vendsyssel,Koge,1,0
23.10.2022 06:00,Naestved,Helsingor,2,3
22.10.2022 07:30,F. Amager,Nykobing,1,0
22.10.2022 06:00,Vejle,Hvidovre IF,3,1
21.10.2022 12:00,Sonderjyske,Hillerod,2,3
15.10.2022 08:00,Nykobing,Hillerod,1,1
15.10.2022 06:00,Helsingor,Sonderjyske,1,0
15.10.2022 05:00,Koge,F. Amager,3,0
14.10.2022 11:30,Hobro,Vejle,3,0
14.10.2022 11:30,Hvidovre IF,Naestved,0,4
13.10.2022 12:00,Vendsyssel,Fredericia,2,1
09.10.2022 08:00,Vejle,Helsingor,1,0
09.10.2022 06:00,Naestved,Koge,1,1
08.10.2022 07:00,Hillerod,Vendsyssel,2,0
08.10.2022 06:00,Sonderjyske,Hobro,0,0
07.10.2022 11:30,F. Amager,Hvidovre IF,1,4
07.10.2022 11:30,Fredericia,Nykobing,0,1
02.10.2022 06:00,Koge,Fredericia,0,1
02.10.2022 06:00,Naestved,Hillerod,2,0
01.10.2022 08:00,Nykobing,Sonderjyske,2,3
01.10.2022 07:00,Vendsyssel,Helsingor,4,1
30.09.2022 11:30,Hvidovre IF,Vejle,1,1
29.09.2022 12:00,Hobro,F. Amager,1,0
19.09.2022 12:00,Sonderjyske,Vendsyssel,2,2
18.09.2022 08:00,Vejle,Hobro,2,0
18.09.2022 07:00,Fredericia,Hvidovre IF,1,2
17.09.2022 07:00,Hillerod,Nykobing,3,1
16.09.2022 12:00,Helsingor,Naestved,1,2
16.09.2022 11:30,F. Amager,Koge,2,3
11.09.2022 08:00,Vendsyssel,Vejle,2,0
11.09.2022 07:00,Hobro,Fredericia,1,3
10.09.2022 08:00,Nykobing,F. Amager,0,3
