Date,HomeTeam,AwayTeam,"
                    'HG',  # Home Goals
                    'AG',  # Away Goals
                    'HP',  # Home Possession
                    'AP',  # Away Possession
                    'HTS',  # Home Total Shots
                    'ATS',  # Away Total Shots
                    'HSI',  # Home Shots On Goal
                    'ASI',  # Away Shots On Goal
                    'HSO',  # Home Shots Off Goal
                    'ASO',  # Away Shots Off Goal
                    'HBS',  # Home Blocked Shots
                    'ABS',  # Away Blocked Shots
                    'HFK',  # Home Free Kicks
                    'AFK',  # Away Free Kicks
                    'HC',  # Home Corner Kicks
                    'AC',  # Away Corner Kicks
                    'HOFF',  # Home Offsides
                    'AOFF',  # Away Offsides
                    'HTI',  # Home Throw Ins
                    'ATI',  # Away Throw Ins
                    'HGS',  # Home Goalkeeper Saves
                    'AGS',  # Away Goalkeeper Saves
                    'HF',  # Home Fouls
                    'AF',  # Away Fouls
                    'HRC',  # Home Red Cards
                    'ARC',  # Away Red Cards
                    'HYC',  # Home Yellow Cards
                    'AYC',  # Away Yellow Cards
                    'HTP',  # Home Total Passes
                    'ATP',  # Away Total Passes
                    'HPC',  # Home Completed Passes
                    'APC',  # Away Completed Passes
                    'HT',  # Home Tackles
                    'AT',  # Away Tackles
                    'HA',  # Home Attacks
                    'AA',  # Away Attacks
                    'HDA',  # Home Dangerous Attacks
                    'ADA',  # Away Dangerous Attacks
                    'Resultado'
                    ",
09.06.2023 12:00,Viborg,Midtjylland,0,1
04.06.2023 10:00,Aarhus,Brondby,3,3
04.06.2023 10:00,Copenhague,Randers,1,1
04.06.2023 10:00,Nordsjaelland,Viborg,0,0
03.06.2023 07:00,Aalborg,Silkeborg,0,1
03.06.2023 07:00,Horsens,Lyngby,0,0
03.06.2023 07:00,Midtjylland,Odense,4,2
30.05.2023 12:00,Randers,Aarhus,1,3
29.05.2023 11:00,Brondby,Nordsjaelland,5,1
29.05.2023 09:00,Viborg,Copenhague,1,2
29.05.2023 07:00,Lyngby,Aalborg,2,1
29.05.2023 07:00,Silkeborg,Midtjylland,3,3
26.05.2023 12:00,Odense,Horsens,2,1
22.05.2023 12:00,Nordsjaelland,Randers,3,1
21.05.2023 11:00,Copenhague,Aarhus,4,3
21.05.2023 09:05,Viborg,Brondby,1,1
21.05.2023 07:00,Aalborg,Midtjylland,0,2
21.05.2023 07:00,Lyngby,Odense,0,4
19.05.2023 12:00,Horsens,Silkeborg,0,1
15.05.2023 12:00,Randers,Viborg,0,2
14.05.2023 11:00,Aarhus,Nordsjaelland,1,1
14.05.2023 09:00,Brondby,Copenhague,1,3
14.05.2023 07:00,Midtjylland,Horsens,3,1
14.05.2023 07:00,Silkeborg,Lyngby,1,0
12.05.2023 12:00,Odense,Aalborg,1,1
08.05.2023 12:00,Nordsjaelland,Copenhague,3,2
07.05.2023 11:00,Aarhus,Viborg,3,0
07.05.2023 09:00,Randers,Brondby,1,3
07.05.2023 07:00,Lyngby,Midtjylland,2,1
07.05.2023 07:00,Silkeborg,Odense,0,1
07.05.2023 05:00,Aalborg,Horsens,4,0
01.05.2023 12:00,Midtjylland,Silkeborg,3,0
30.04.2023 11:00,Nordsjaelland,Aarhus,0,1
30.04.2023 09:00,Copenhague,Brondby,0,1
30.04.2023 07:00,Aalborg,Lyngby,1,0
30.04.2023 07:00,Viborg,Randers,3,1
28.04.2023 12:00,Horsens,Odense,2,2
24.04.2023 12:00,Odense,Lyngby,2,2
23.04.2023 11:00,Aarhus,Copenhague,0,0
23.04.2023 09:00,Brondby,Randers,0,4
23.04.2023 07:00,Horsens,Midtjylland,0,2
23.04.2023 07:00,Viborg,Nordsjaelland,1,0
21.04.2023 12:00,Silkeborg,Aalborg,2,2
17.04.2023 12:00,Randers,Nordsjaelland,1,1
16.04.2023 11:00,Brondby,Aarhus,1,0
16.04.2023 09:00,Copenhague,Viborg,2,1
16.04.2023 07:00,Lyngby,Horsens,2,1
16.04.2023 07:00,Odense,Silkeborg,2,0
14.04.2023 12:00,Midtjylland,Aalborg,1,1
