Date,HomeTeam,AwayTeam,"
                    'HG',  # Home Goals
                    'AG',  # Away Goals
                    'HP',  # Home Possession
                    'AP',  # Away Possession
                    'HTS',  # Home Total Shots
                    'ATS',  # Away Total Shots
                    'HSI',  # Home Shots On Goal
                    'ASI',  # Away Shots On Goal
                    'HSO',  # Home Shots Off Goal
                    'ASO',  # Away Shots Off Goal
                    'HBS',  # Home Blocked Shots
                    'ABS',  # Away Blocked Shots
                    'HFK',  # Home Free Kicks
                    'AFK',  # Away Free Kicks
                    'HC',  # Home Corner Kicks
                    'AC',  # Away Corner Kicks
                    'HOFF',  # Home Offsides
                    'AOFF',  # Away Offsides
                    'HTI',  # Home Throw Ins
                    'ATI',  # Away Throw Ins
                    'HGS',  # Home Goalkeeper Saves
                    'AGS',  # Away Goalkeeper Saves
                    'HF',  # Home Fouls
                    'AF',  # Away Fouls
                    'HRC',  # Home Red Cards
                    'ARC',  # Away Red Cards
                    'HYC',  # Home Yellow Cards
                    'AYC',  # Away Yellow Cards
                    'HTP',  # Home Total Passes
                    'ATP',  # Away Total Passes
                    'HPC',  # Home Completed Passes
                    'APC',  # Away Completed Passes
                    'HT',  # Home Tackles
                    'AT',  # Away Tackles
                    'HA',  # Home Attacks
                    'AA',  # Away Attacks
                    'HDA',  # Home Dangerous Attacks
                    'ADA',  # Away Dangerous Attacks
                    'Resultado'
                    ",
20.05.2023 11:15,Hamilton,,2,2
17.05.2023 13:35,Airdrieonians,Hamilton,1,0
13.05.2023 09:00,Falkirk,Airdrieonians,0,1
13.05.2023 09:00,Hamilt,,on,-
09.05.2023 13:45,Airdrieonians,Falkirk,6,2
09.05.2023 13:45,Alloa,Hamilton,1,0
05.05.2023 13:45,Arbroath,Hamilton,0,0
05.05.2023 13:45,Cove Rangers,Morton,1,2
05.05.2023 13:45,Inverness,Ayr,1,2
05.05.2023 13:45,Queen's Park,Dundee FC,3,5
05.05.2023 13:45,Raith,Partick Thistle,2,2
29.04.2023 09:00,Ayr,Raith,1,0
29.04.2023 09:00,Morton,Queen's Park,2,1
29.04.2023 09:00,Partick Thistle,Arbroath,2,0
28.04.2023 13:45,Dundee FC,Cove Rangers,0,0
22.04.2023 09:00,Arbroath,Cove Rangers,0,1
22.04.2023 09:00,Hamilton,Partick Thistle,2,2
22.04.2023 09:00,Inverness,Dundee FC,1,1
22.04.2023 09:00,Morton,Raith,1,0
21.04.2023 13:45,Ayr,Queen's Park,0,0
18.04.2023 13:45,Hamilton,Inverness,1,2
15.04.2023 09:00,Cove Rangers,Inverness,1,2
15.04.2023 09:00,Dundee FC,Morton,3,3
15.04.2023 09:00,Partick Thistle,Ayr,1,1
15.04.2023 09:00,Raith,Arbroath,1,1
14.04.2023 13:45,Queen's Park,Hamilton,1,0
