Date,HomeTeam,AwayTeam,"
                    'HG',  # Home Goals
                    'AG',  # Away Goals
                    'HP',  # Home Possession
                    'AP',  # Away Possession
                    'HTS',  # Home Total Shots
                    'ATS',  # Away Total Shots
                    'HSI',  # Home Shots On Goal
                    'ASI',  # Away Shots On Goal
                    'HSO',  # Home Shots Off Goal
                    'ASO',  # Away Shots Off Goal
                    'HBS',  # Home Blocked Shots
                    'ABS',  # Away Blocked Shots
                    'HFK',  # Home Free Kicks
                    'AFK',  # Away Free Kicks
                    'HC',  # Home Corner Kicks
                    'AC',  # Away Corner Kicks
                    'HOFF',  # Home Offsides
                    'AOFF',  # Away Offsides
                    'HTI',  # Home Throw Ins
                    'ATI',  # Away Throw Ins
                    'HGS',  # Home Goalkeeper Saves
                    'AGS',  # Away Goalkeeper Saves
                    'HF',  # Home Fouls
                    'AF',  # Away Fouls
                    'HRC',  # Home Red Cards
                    'ARC',  # Away Red Cards
                    'HYC',  # Home Yellow Cards
                    'AYC',  # Away Yellow Cards
                    'HTP',  # Home Total Passes
                    'ATP',  # Away Total Passes
                    'HPC',  # Home Completed Passes
                    'APC',  # Away Completed Passes
                    'HT',  # Home Tackles
                    'AT',  # Away Tackles
                    'HA',  # Home Attacks
                    'AA',  # Away Attacks
                    'HDA',  # Home Dangerous Attacks
                    'ADA',  # Away Dangerous Attacks
                    'Resultado'
                    ",
04.06.2023 10:30,Ross Coun,,ty,-
01.06.2023 14:00,Partick Thistle,Ross County,2,0
28.05.2023 09:00,Kilmarnock,Ross County,3,1
28.05.2023 09:00,Motherwell,Dundee Utd,3,2
28.05.2023 09:00,St. Johnstone,Livingston,2,0
27.05.2023 06:30,Celtic,Aberdeen,5,0
27.05.2023 06:30,Hearts,Hibernian,1,1
27.05.2023 06:30,St. Mirren,Rangers,0,3
26.05.2023 13:45,Ayr,Partick Thistle,0,5
24.05.2023 13:45,Dundee Utd,Kilmarnock,0,3
24.05.2023 13:45,Livingston,Motherwell,1,1
24.05.2023 13:45,Ross County,St. Johnstone,3,3
24.05.2023 13:45,Aberdeen,St. Mirren,3,0
24.05.2023 13:45,Hibernian,Celtic,4,2
24.05.2023 13:45,Rangers,Hearts,2,2
21.05.2023 06:00,Hibernian,Rangers,1,3
20.05.2023 09:00,Kilmarnock,St. Johnstone,0,1
20.05.2023 09:00,Livingston,Dundee Utd,2,1
20.05.2023 09:00,Motherwell,Ross County,1,0
20.05.2023 09:00,Celtic,St. Mirren,2,2
20.05.2023 06:30,Hearts,Aberdeen,2,1
19.05.2023 13:45,Partick Thistle,Ayr,3,0
13.05.2023 09:00,Dundee Utd,Ross County,1,3
13.05.2023 09:00,Kilmarnock,Livingston,2,0
13.05.2023 09:00,St. Johnstone,Motherwell,0,2
13.05.2023 09:00,Aberdeen,Hibernian,0,0
13.05.2023 09:00,St. Mirren,Hearts,2,2
13.05.2023 06:30,Rangers,Celtic,3,0
12.05.2023 13:45,Queen's Park,Partick Thistle,0,4
09.05.2023 13:45,Partick Thistle,Queen's Park,4,3
07.05.2023 09:00,Rangers,Aberdeen,1,0
07.05.2023 08:15,Hearts,Celtic,0,2
06.05.2023 09:00,Motherwell,Kilmarnock,2,0
06.05.2023 09:00,Ross County,Livingston,2,0
06.05.2023 09:00,St. Johnstone,Dundee Utd,1,0
06.05.2023 09:00,Hibernian,St. Mirren,2,1
