Date,HomeTeam,AwayTeam,HG,AG,HP,AP,HTS,ATS,HSI,ASI,HSO,ASO,HBS,ABS,HFK,AFK,HC,AC,HOFF,AOFF,HTI,ATI,HGS,AGS,HF,AF,HRC,ARC,HYC,AYC,HTP,ATP,HPC,APC,HT,AT,HA,AA,HDA,ADA,Resultado
28.08.2023 14:30,Rayo Vallecano,Atlético de Madrid,0,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
28.08.2023 12:30,Getafe,Alavés,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
27.08.2023 14:30,Athletic Club,Real Betis,4,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
27.08.2023 12:30,Valencia,Osasuna,1,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
27.08.2023 10:30,Villarreal,Barcelona,3,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
26.08.2023 14:30,Sevilla,Girona,1,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
26.08.2023 12:30,Granada,Mallorca,3,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
26.08.2023 12:00,Cádiz,Almería,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
25.08.2023 14:30,Celta de Vigo,Real Madrid,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
25.08.2023 12:30,Las Palmas,Real Sociedad,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
21.08.2023 14:30,Granada,Rayo Vallecano,0,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
21.08.2023 12:00,Alavés,Sevilla,4,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20.08.2023 14:30,Real Betis,Atlético de Madrid,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20.08.2023 12:30,Barcelona,Cádiz,2,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20.08.2023 12:00,Girona,Getafe,3,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
19.08.2023 14:30,Osasuna,Athletic Club,0,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
19.08.2023 12:30,Almería,Real Madrid,1,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
19.08.2023 10:00,Real Sociedad,Celta de Vigo,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18.08.2023 14:30,Valencia,Las Palmas,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18.08.2023 12:30,Mallorca,Villarreal,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14.08.2023 14:30,Atlético de Madrid,Granada,3,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14.08.2023 12:30,Cádiz,Alavés,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13.08.2023 14:30,Getafe,Barcelona,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13.08.2023 12:30,Villarreal,Real Betis,1,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13.08.2023 10:00,Celta de Vigo,Osasuna,0,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12.08.2023 14:30,Athletic Club,Real Madrid,0,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12.08.2023 12:30,Las Palmas,Mallorca,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12.08.2023 10:00,Real Sociedad,Girona,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11.08.2023 15:00,Sevilla,Valencia,1,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11.08.2023 12:30,Almería,Rayo Vallecano,0,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
