Date,HomeTeam,AwayTeam,HG,AG,HP,AP,HTS,ATS,HSI,ASI,HSO,ASO,HBS,ABS,HFK,AFK,HC,AC,HOFF,AOFF,HTI,ATI,HGS,AGS,HF,AF,HRC,ARC,HYC,AYC,HTP,ATP,HPC,APC,HT,AT,HA,AA,HDA,ADA,Resultado
11.08.2023 12:30,Almería,Rayo Vallecano,1.526315789473684,0.8947368421052632,46.63157894736842%,48.31578947368421%,12.052631578947368,11.894736842105264,4.368421052631579,3.473684210526316,4.947368421052632,5.631578947368421,2.736842105263158,2.9444444444444446,16.11111111111111,18.77777777777778,4.368421052631579,4.578947368421052,2.1578947368421053,2.3157894736842106,20.61111111111111,21.77777777777778,3.3157894736842106,2.789473684210526,12.421052631578947,15.368421052631579,0.10526315789473684,0.21052631578947367,2.5789473684210527,2.526315789473684,373.9375,385.8666666666667,291.625,295.53333333333336,15.3125,16.933333333333334,91.89473684210526,99.05263157894737,38.05263157894737,41.421052631578945,
11.08.2023 15:00,Sevilla,Valencia,1.263157894736842,0.7894736842105263,55.578947368421055%,49.94736842105263%,15.0,11.578947368421053,4.578947368421052,3.3157894736842106,7.157894736842105,4.947368421052632,3.263157894736842,3.3157894736842106,15.88888888888889,14.944444444444445,6.2631578947368425,5.0,3.0526315789473686,1.5789473684210527,21.444444444444443,23.27777777777778,2.4210526315789473,3.4210526315789473,12.789473684210526,13.421052631578947,0.42105263157894735,0.2631578947368421,3.0,2.1052631578947367,486.93333333333334,399.1333333333333,408.26666666666665,320.2,14.866666666666667,18.0,111.26315789473684,98.63157894736842,63.89473684210526,51.05263157894737,
12.08.2023 10:00,Real Sociedad,Girona,1.368421052631579,1.210526315789474,55.78947368421053%,51.8421052631579%,12.789473684210526,10.263157894736842,4.473684210526316,3.6315789473684212,5.421052631578948,4.894736842105263,2.8947368421052633,1.736842105263158,16.5,17.555555555555557,4.631578947368421,3.4210526315789473,2.789473684210526,2.263157894736842,21.0,19.833333333333332,2.736842105263158,3.526315789473684,16.63157894736842,11.578947368421053,0.05263157894736842,0.10526315789473684,2.4210526315789473,2.6842105263157894,460.46666666666664,439.6,372.6666666666667,364.06666666666666,16.6,14.666666666666666,113.36842105263158,94.42105263157895,48.26315789473684,39.36842105263158,
12.08.2023 12:30,Las Palmas,Mallorca,1,0.7894736842105263,50%,39.31578947368421%,,7.894736842105263,,2.6315789473684212,,3.1052631578947367,,2.1578947368421053,,12.789473684210526,,3.736842105263158,,2.0526315789473686,,16.789473684210527,,3.1052631578947367,,15.157894736842104,,0.10526315789473684,,2.789473684210526,,332.5,,246.5,,16.5,,87.21052631578948,,32.473684210526315,
12.08.2023 14:30,Athletic Club,Real Madrid,1.157894736842105,1.631578947368421,53.0%,59.8421052631579%,16.473684210526315,15.578947368421053,4.578947368421052,5.315789473684211,7.2105263157894735,5.631578947368421,4.944444444444445,4.631578947368421,12.88888888888889,16.333333333333332,8.421052631578947,5.578947368421052,2.789473684210526,2.263157894736842,24.11111111111111,16.88888888888889,1.263157894736842,3.0,13.105263157894736,9.157894736842104,0.10526315789473684,0.10526315789473684,2.1578947368421053,2.1578947368421053,424.73333333333335,589.125,338.73333333333335,526.875,15.333333333333334,13.125,119.0,109.63157894736842,65.52631578947368,59.473684210526315,
13.08.2023 10:00,Celta de Vigo,Osasuna,1.368421052631579,0.6842105263157895,52.526315789473685%,45.421052631578945%,13.947368421052632,9.68421052631579,5.0,2.736842105263158,5.421052631578948,5.157894736842105,3.526315789473684,1.7894736842105263,15.789473684210526,14.38888888888889,5.157894736842105,3.3684210526315788,2.263157894736842,1.368421052631579,21.789473684210527,21.27777777777778,1.7894736842105263,2.8421052631578947,12.789473684210526,14.526315789473685,0.10526315789473684,0.21052631578947367,2.0,2.5789473684210527,482.5625,371.5625,404.125,282.5,18.4375,14.4375,106.63157894736842,94.0,52.36842105263158,38.73684210526316,
13.08.2023 12:30,Villarreal,Real Betis,1.894736842105263,1.052631578947368,58.578947368421055%,49.31578947368421%,15.842105263157896,10.578947368421053,6.368421052631579,3.473684210526316,6.7894736842105265,4.578947368421052,2.8333333333333335,2.6666666666666665,16.529411764705884,18.444444444444443,6.2631578947368425,3.6842105263157894,2.8421052631578947,1.8421052631578947,17.529411764705884,20.27777777777778,2.8947368421052633,3.3684210526315788,12.631578947368421,11.0,0.10526315789473684,0.3157894736842105,2.526315789473684,2.3157894736842106,487.64285714285717,439.93333333333334,412.0,362.93333333333334,15.928571428571429,17.6,111.3157894736842,97.94736842105263,58.578947368421055,39.8421052631579,
13.08.2023 14:30,Getafe,Barcelona,1.105263157894737,1.736842105263158,42.21052631578947%,63.0%,11.631578947368421,12.473684210526315,3.8421052631578947,4.052631578947368,4.684210526315789,5.2105263157894735,3.1052631578947367,3.210526315789474,15.947368421052632,17.210526315789473,3.6842105263157894,4.894736842105263,2.263157894736842,2.6842105263157894,23.68421052631579,18.473684210526315,3.210526315789474,2.789473684210526,16.210526315789473,11.368421052631579,0.21052631578947367,0.15789473684210525,3.3684210526315788,2.6315789473684212,346.3125,551.0625,251.6875,475.9375,14.0,14.25,107.84210526315789,119.05263157894737,39.05263157894737,50.1578947368421,
14.08.2023 12:30,Cádiz,Alavés,1,1,43.63157894736842%,50%,10.947368421052632,,3.3684210526315788,,5.2105263157894735,,2.3684210526315788,,14.944444444444445,,4.578947368421052,,2.0,,20.11111111111111,,4.2631578947368425,,13.263157894736842,,0.10526315789473684,,2.9473684210526314,,339.8125,,251.5,,16.6875,,94.42105263157895,,43.73684210526316,,
14.08.2023 14:30,Atlético de Madrid,Granada,2.157894736842105,1,54.73684210526316%,50%,16.0,,5.894736842105263,,6.0,,4.105263157894737,,13.105263157894736,,6.157894736842105,,2.0,,18.473684210526315,,1.5263157894736843,,11.0,,0.21052631578947367,,2.1052631578947367,,548.6875,,470.875,,17.25,,109.73684210526316,,55.73684210526316,,
18.08.2023 12:30,Mallorca,Villarreal,1.157894736842105,1.210526315789474,42.21052631578947%,55.578947368421055%,9.421052631578947,11.0,3.4210526315789473,3.9473684210526314,3.9473684210526314,4.105263157894737,2.0526315789473686,2.9473684210526314,15.944444444444445,16.473684210526315,3.5789473684210527,4.7894736842105265,2.0,1.736842105263158,17.77777777777778,17.68421052631579,2.526315789473684,3.1052631578947367,17.05263157894737,11.052631578947368,0.05263157894736842,0.05263157894736842,3.5789473684210527,2.210526315789474,356.93333333333334,464.5625,276.53333333333336,396.4375,14.133333333333333,14.25,94.73684210526316,98.52631578947368,36.473684210526315,43.10526315789474,
18.08.2023 14:30,Valencia,Las Palmas,1.421052631578947,1,54.05263157894737%,50%,14.105263157894736,,4.578947368421052,,5.894736842105263,,3.8333333333333335,,17.444444444444443,,6.894736842105263,,2.6315789473684212,,20.944444444444443,,2.1578947368421053,,13.105263157894736,,0.15789473684210525,,2.736842105263158,,453.8,,373.8,,17.733333333333334,,101.47368421052632,,56.8421052631579,,
19.08.2023 10:00,Real Sociedad,Celta de Vigo,1.368421052631579,0.8947368421052632,55.78947368421053%,47.94736842105263%,12.789473684210526,11.052631578947368,4.473684210526316,3.6315789473684212,5.421052631578948,4.2105263157894735,2.8947368421052633,3.210526315789474,16.5,16.11111111111111,4.631578947368421,4.578947368421052,2.789473684210526,2.0,21.0,20.11111111111111,2.736842105263158,2.5789473684210527,16.63157894736842,11.894736842105264,0.05263157894736842,0.21052631578947367,2.4210526315789473,2.526315789473684,460.46666666666664,410.8,372.6666666666667,329.93333333333334,16.6,16.666666666666668,113.36842105263158,99.10526315789474,48.26315789473684,43.0,
19.08.2023 12:30,Almería,Real Madrid,1.526315789473684,1.631578947368421,46.63157894736842%,59.8421052631579%,12.052631578947368,15.578947368421053,4.368421052631579,5.315789473684211,4.947368421052632,5.631578947368421,2.736842105263158,4.631578947368421,16.11111111111111,16.333333333333332,4.368421052631579,5.578947368421052,2.1578947368421053,2.263157894736842,20.61111111111111,16.88888888888889,3.3157894736842106,3.0,12.421052631578947,9.157894736842104,0.10526315789473684,0.10526315789473684,2.5789473684210527,2.1578947368421053,373.9375,589.125,291.625,526.875,15.3125,13.125,91.89473684210526,109.63157894736842,38.05263157894737,59.473684210526315,
19.08.2023 14:30,Osasuna,Athletic Club,1.263157894736842,1.315789473684211,50.94736842105263%,50.1578947368421%,13.789473684210526,12.421052631578947,4.526315789473684,4.473684210526316,6.157894736842105,5.0,3.2777777777777777,2.9473684210526314,14.722222222222221,14.833333333333334,4.947368421052632,5.105263157894737,1.7894736842105263,2.3684210526315788,21.0,19.5,2.8421052631578947,2.9473684210526314,14.105263157894736,13.68421052631579,0.15789473684210525,0.15789473684210525,2.3157894736842106,2.1052631578947367,425.73333333333335,438.8666666666667,341.46666666666664,350.73333333333335,14.133333333333333,14.866666666666667,110.84210526315789,112.10526315789474,59.26315789473684,52.473684210526315,
20.08.2023 10:30,Girona,Getafe,1.842105263157895,0.6842105263157895,50.526315789473685%,36.421052631578945%,13.736842105263158,7.947368421052632,5.315789473684211,2.789473684210526,5.684210526315789,3.1578947368421053,2.736842105263158,2.0,14.105263157894736,14.11111111111111,4.2105263157894735,2.6315789473684212,2.263157894736842,1.894736842105263,18.736842105263158,21.0,2.473684210526316,3.1578947368421053,11.526315789473685,15.368421052631579,0.05263157894736842,0.2631578947368421,2.1578947368421053,3.3157894736842106,439.375,336.26666666666665,366.125,240.6,15.75,14.2,95.94736842105263,97.84210526315789,47.0,31.842105263157894,
20.08.2023 12:30,Barcelona,Cádiz,1.947368421052632,0.5789473684210527,66.63157894736842%,39.31578947368421%,17.63157894736842,9.842105263157896,6.157894736842105,2.736842105263158,7.526315789473684,4.7894736842105265,4.166666666666667,2.3157894736842106,14.764705882352942,17.473684210526315,7.894736842105263,3.0526315789473686,2.4210526315789473,1.9473684210526316,19.058823529411764,19.63157894736842,1.894736842105263,3.789473684210526,11.421052631578947,14.736842105263158,0.15789473684210525,0.2631578947368421,1.6842105263157894,3.0526315789473686,631.4,312.0,562.6666666666666,230.73333333333332,14.333333333333334,16.866666666666667,135.1578947368421,82.47368421052632,77.15789473684211,31.263157894736842,
20.08.2023 14:30,Real Betis,Atlético de Madrid,1.368421052631579,1.526315789473684,52.10526315789474%,46.473684210526315%,11.526315789473685,12.31578947368421,4.473684210526316,4.578947368421052,4.315789473684211,4.578947368421052,2.736842105263158,3.1578947368421053,17.36842105263158,14.055555555555555,4.421052631578948,3.5789473684210527,2.0526315789473686,2.1578947368421053,19.42105263157895,18.61111111111111,2.3684210526315788,3.526315789473684,10.789473684210526,12.157894736842104,0.47368421052631576,0.21052631578947367,2.0526315789473686,2.6842105263157894,444.4375,449.93333333333334,369.125,367.6,17.25,19.2,98.63157894736842,90.6842105263158,44.31578947368421,37.78947368421053,
21.08.2023 12:00,Alavés,Sevilla,1,1.210526315789474,50%,50.0%,,9.631578947368421,,3.210526315789474,,4.631578947368421,,1.8888888888888888,,14.722222222222221,,3.0,,2.526315789473684,,17.5,,3.736842105263158,,12.157894736842104,,0.2631578947368421,,3.3684210526315788,,464.6,,388.2,,14.8,,94.73684210526316,,40.31578947368421,
21.08.2023 14:30,Granada,Rayo Vallecano,1,0.8947368421052632,50%,48.31578947368421%,,11.894736842105264,,3.473684210526316,,5.631578947368421,,2.9444444444444446,,18.77777777777778,,4.578947368421052,,2.3157894736842106,,21.77777777777778,,2.789473684210526,,15.368421052631579,,0.21052631578947367,,2.526315789473684,,385.8666666666667,,295.53333333333336,,16.933333333333334,,99.05263157894737,,41.421052631578945,
25.08.2023 12:30,Las Palmas,Real Sociedad,1,1.315789473684211,50%,54.05263157894737%,,11.894736842105264,,5.0,,4.052631578947368,,3.0,,14.88888888888889,,4.105263157894737,,2.0,,20.833333333333332,,2.526315789473684,,16.105263157894736,,0.05263157894736842,,2.3157894736842106,,464.625,,380.9375,,19.125,,101.21052631578948,,43.578947368421055,
25.08.2023 14:30,Celta de Vigo,Real Madrid,1.368421052631579,1.631578947368421,52.526315789473685%,59.8421052631579%,13.947368421052632,15.578947368421053,5.0,5.315789473684211,5.421052631578948,5.631578947368421,3.526315789473684,4.631578947368421,15.789473684210526,16.333333333333332,5.157894736842105,5.578947368421052,2.263157894736842,2.263157894736842,21.789473684210527,16.88888888888889,1.7894736842105263,3.0,12.789473684210526,9.157894736842104,0.10526315789473684,0.10526315789473684,2.0,2.1578947368421053,482.5625,589.125,404.125,526.875,18.4375,13.125,106.63157894736842,109.63157894736842,52.36842105263158,59.473684210526315,
26.08.2023 10:30,Cádiz,Almería,1,1.052631578947368,43.63157894736842%,43.421052631578945%,10.947368421052632,11.368421052631579,3.3684210526315788,4.2105263157894735,5.2105263157894735,4.157894736842105,2.3684210526315788,3.1666666666666665,14.944444444444445,15.722222222222221,4.578947368421052,3.4210526315789473,2.0,2.210526315789474,20.11111111111111,19.333333333333332,4.2631578947368425,4.105263157894737,13.263157894736842,10.894736842105264,0.10526315789473684,0.10526315789473684,2.9473684210526314,2.473684210526316,339.8125,390.8,251.5,308.06666666666666,16.6875,13.8,94.42105263157895,76.63157894736842,43.73684210526316,33.05263157894737,
26.08.2023 12:30,Granada,Mallorca,1,0.7894736842105263,50%,39.31578947368421%,,7.894736842105263,,2.6315789473684212,,3.1052631578947367,,2.1578947368421053,,12.789473684210526,,3.736842105263158,,2.0526315789473686,,16.789473684210527,,3.1052631578947367,,15.157894736842104,,0.10526315789473684,,2.789473684210526,,332.5,,246.5,,16.5,,87.21052631578948,,32.473684210526315,
