Date,HomeTeam,AwayTeam,HG,AG,HP,AP,HTS,ATS,HSI,ASI,HSO,ASO,HBS,ABS,HFK,AFK,HC,AC,HOFF,AOFF,HTI,ATI,HGS,AGS,HF,AF,HRC,ARC,HYC,AYC,HTP,ATP,HPC,APC,HT,AT,HA,AA,HDA,ADA,Resultado
17.06.2023 14:00,Levante,,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11.06.2023 14:00,Alavés,Levante,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
08.06.2023 14:00,Alav,,és,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
07.06.2023 14:00,Levan,,te,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
03.06.2023 14:00,Albacete,Levante,1,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
03.06.2023 11:30,Eibar,Alavés,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
28.05.2023 09:15,Racing,Cartagena,3,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
28.05.2023 09:15,Real Sporting,Ponferradina,1,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
27.05.2023 14:00,Granada,Leganés,2,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
27.05.2023 14:00,Huesca,Eibar,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
27.05.2023 14:00,Las Palmas,Alavés,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
27.05.2023 14:00,Levante,Real Oviedo,2,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
27.05.2023 11:30,Albacete,Mirandés,2,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
27.05.2023 11:30,Málaga,UD Ibiza,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
27.05.2023 09:15,Andorra,Villarreal B,4,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
27.05.2023 09:15,Burgos CF,Lugo,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
26.05.2023 14:00,Real Zaragoza,Tenerife,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
21.05.2023 11:30,Leganés,Andorra,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
21.05.2023 09:15,Real Oviedo,Racing,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20.05.2023 14:00,Tenerife,Burgos CF,2,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20.05.2023 11:30,Alavés,Málaga,2,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20.05.2023 11:30,Cartagena,Las Palmas,1,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20.05.2023 11:30,Eibar,Real Sporting,2,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20.05.2023 11:30,Lugo,Huesca,1,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20.05.2023 11:30,Mirandés,Granada,1,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20.05.2023 11:30,Ponferradina,Albacete,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20.05.2023 11:30,Villarreal B,Levante,2,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20.05.2023 09:15,UD Ibiza,Real Zaragoza,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
15.05.2023 14:00,Levante,UD Ibiza,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14.05.2023 14:00,Las Palmas,Villarreal B,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14.05.2023 11:30,Albacete,Alavés,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14.05.2023 11:30,Huesca,Ponferradina,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14.05.2023 09:15,Andorra,Tenerife,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14.05.2023 07:00,Racing,Eibar,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13.05.2023 14:00,Málaga,Mirandés,2,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13.05.2023 11:30,Granada,Lugo,2,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13.05.2023 11:30,Real Zaragoza,Cartagena,2,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13.05.2023 09:15,Real Sporting,Real Oviedo,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12.05.2023 14:00,Burgos CF,Leganés,0,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
08.05.2023 14:00,Eibar,Las Palmas,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
07.05.2023 14:00,Cartagena,Burgos CF,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
07.05.2023 11:30,Lugo,Andorra,2,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
07.05.2023 11:30,Real Oviedo,Real Zaragoza,2,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
07.05.2023 09:15,Ponferradina,Málaga,2,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
07.05.2023 09:15,UD Ibiza,Albacete,0,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
07.05.2023 07:00,Villarreal B,Real Sporting,2,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
06.05.2023 11:30,Leganés,Huesca,2,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
06.05.2023 11:30,Tenerife,Levante,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
06.05.2023 09:15,Mirandés,Racing,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
05.05.2023 14:00,Alavés,Granada,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
01.05.2023 14:00,Burgos CF,Villarreal B,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
01.05.2023 11:30,Málaga,Huesca,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
01.05.2023 09:15,Real Sporting,Lugo,3,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
30.04.2023 14:00,Real Zaragoza,Las Palmas,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
