Date,HomeTeam,AwayTeam,HG,AG,HP,AP,HTS,ATS,HSI,ASI,HSO,ASO,HBS,ABS,HFK,AFK,HC,AC,HOFF,AOFF,HTI,ATI,HGS,AGS,HF,AF,HRC,ARC,HYC,AYC,HTP,ATP,HPC,APC,HT,AT,HA,AA,HDA,ADA,Resultado
13.02.2023 15:00,Racing,Leganés,2,1,45%,55%,11,12,3,5,4,4,4,3,14,13,7,3,0,2,24,24,4,1,13,12,0,1,2,5,350,435,269,360,20,17,22,29,15,6,1
12.02.2023 15:00,UD Ibiza,Ponferradina,1,1,32%,68%,13,12,5,3,4,5,4,4,8,15,7,6,2,2,24,30,2,4,13,7,,,3,4,247,574,174,470,11,8,79,115,42,35,0
12.02.2023 12:30,Eibar,Cartagena,0,3,65%,35%,16,11,1,5,11,5,4,1,13,11,5,3,3,0,27,17,2,1,8,13,,,3,2,602,334,520,238,11,21,179,68,89,23,-3
12.02.2023 12:30,Sporting de Gijón,Huesca,1,1,74%,26%,16,3,4,1,6,1,6,1,15,12,9,0,4,1,22,15,0,3,8,15,0,1,0,5,580,204,484,114,9,22,121,91,56,25,0
12.02.2023 10:15,Real Oviedo,Burgos CF,0,1,47%,53%,7,10,1,2,4,6,2,2,12,16,3,4,3,1,35,29,1,1,13,11,1,0,5,0,345,389,239,289,14,17,113,115,34,40,-1
12.02.2023 08:00,Albacete,Málaga,3,2,64%,36%,18,6,6,4,8,1,4,1,16,22,4,5,5,1,18,21,2,3,17,13,0,1,1,5,492,269,393,159,21,14,107,103,67,29,1
11.02.2023 15:00,Las Palmas,Lugo,3,0,71%,29%,23,5,9,1,9,2,5,2,7,9,9,2,1,2,28,20,1,6,8,5,,,2,2,627,244,529,168,21,17,146,87,75,25,3
11.02.2023 12:30,Levante,Andorra,1,0,28%,72%,9,12,1,2,5,5,3,5,10,26,5,2,6,2,11,23,2,0,21,9,,,2,1,240,652,174,577,30,16,70,120,47,54,1
11.02.2023 12:30,Mirandés,Villarreal B,2,1,47%,53%,23,11,12,3,8,5,3,3,9,5,9,1,0,4,21,17,2,10,6,6,,,1,2,424,482,335,392,24,20,114,111,49,30,1
11.02.2023 10:15,Real Zaragoza,Alavés,1,4,61%,39%,15,10,7,6,6,1,2,3,18,17,5,5,0,5,37,15,2,6,17,13,,,3,3,419,269,325,173,9,9,108,78,42,30,-3
10.02.2023 15:00,Granada,Tenerife,2,0,52%,48%,7,9,3,3,3,6,1,0,19,9,2,7,0,7,17,24,3,1,10,14,,,2,3,454,412,374,307,14,15,140,94,46,38,2
06.02.2023 15:00,Burgos CF,Las Palmas,0,0,36%,64%,4,11,2,3,1,7,1,1,17,24,2,0,4,3,23,24,3,2,20,14,,,4,3,312,580,212,480,15,17,110,143,47,34,0
05.02.2023 15:00,Lugo,UD Ibiza,0,0,62%,38%,16,7,5,1,5,4,6,2,20,20,6,6,5,2,29,28,1,5,15,18,,,2,2,413,242,333,155,16,16,77,90,37,50,0
05.02.2023 12:30,Cartagena,Levante,1,2,59%,41%,15,11,2,3,11,6,2,2,20,18,4,1,3,1,18,15,1,1,15,19,,,3,5,420,310,355,243,18,24,118,84,56,28,-1
05.02.2023 12:30,Ponferradina,Racing,1,1,47%,53%,11,16,3,5,6,9,2,2,15,16,3,5,1,2,15,19,4,2,15,12,1,0,4,2,406,448,317,358,12,9,122,100,43,46,0
05.02.2023 10:15,Andorra,Real Zaragoza,0,1,74%,26%,18,9,2,3,9,6,7,0,9,10,10,9,1,2,17,20,2,2,9,7,,,1,1,615,209,539,138,17,21,119,64,72,36,-1
05.02.2023 08:00,Villarreal B,Granada,0,2,59%,41%,19,7,5,4,9,3,5,0,15,17,8,1,4,0,22,20,2,5,14,15,,,2,1,521,363,428,253,11,14,101,106,57,40,-2
04.02.2023 15:00,Alavés,Eibar,2,0,51%,49%,17,12,4,2,7,5,6,5,16,18,7,3,4,2,34,13,2,2,14,15,0,1,4,4,377,366,267,264,8,19,107,96,54,27,2
04.02.2023 12:30,Tenerife,Albacete,1,0,35%,65%,10,9,1,3,5,6,4,0,15,18,6,11,3,1,23,18,3,0,15,15,,,6,3,264,490,175,404,24,14,78,131,42,64,1
04.02.2023 10:15,Huesca,Mirandés,1,0,40%,60%,7,10,2,4,2,2,3,4,13,18,7,3,3,3,34,15,4,1,14,10,,,1,2,274,416,191,322,14,31,101,133,53,39,1
04.02.2023 10:15,Leganés,Sporting de Gijón,1,0,36%,64%,7,10,3,3,3,4,1,3,18,18,3,5,1,2,23,28,3,2,17,16,1,1,6,3,264,460,184,391,16,16,59,102,34,56,1
03.02.2023 15:00,Málaga,Real Oviedo,0,1,58%,42%,6,12,2,4,1,6,3,2,14,10,6,5,0,3,34,32,3,2,11,11,1,0,3,2,458,317,339,204,12,23,116,118,68,47,-1
30.01.2023 15:00,Real Zaragoza,Ponferradina,0,0,49%,51%,9,9,2,1,6,4,1,4,9,12,5,2,4,1,36,23,1,2,10,8,,,2,1,446,466,346,335,12,25,135,110,50,28,0
29.01.2023 15:00,UD Ibiza,Cartagena,2,2,42%,58%,14,7,6,3,5,3,3,1,14,18,12,5,3,0,27,21,1,4,15,14,,,2,3,296,438,206,342,15,9,120,94,64,28,0
29.01.2023 12:30,Albacete,Lugo,2,0,64%,36%,12,9,2,3,6,2,4,4,11,16,7,7,5,0,21,16,3,0,13,11,,,1,0,479,255,394,175,16,15,105,97,67,48,2
29.01.2023 12:30,Sporting de Gijón,Málaga,0,0,55%,45%,8,11,2,1,6,5,0,5,16,12,2,5,3,3,22,27,1,2,9,14,,,2,2,493,406,402,296,19,19,110,114,34,51,0
29.01.2023 10:15,Levante,Burgos CF,1,0,57%,43%,14,9,4,1,7,5,3,3,17,14,3,1,0,4,23,25,1,3,14,14,,,3,4,446,335,367,259,17,13,105,88,61,37,1
29.01.2023 08:00,Mirandés,Alavés,1,3,58%,42%,7,12,3,4,3,5,1,3,20,15,3,7,3,3,15,25,1,2,12,17,,,1,1,501,346,407,250,21,14,111,104,34,53,-2
28.01.2023 15:00,Las Palmas,Huesca,1,0,75%,25%,16,7,4,2,9,4,3,1,19,12,8,1,1,3,22,22,2,3,11,16,,,0,5,676,222,594,142,20,19,127,65,49,16,1
28.01.2023 12:30,Eibar,Leganés,0,0,61%,39%,15,8,6,1,3,3,6,4,12,15,6,4,2,2,28,18,1,6,12,11,,,4,3,557,362,477,271,13,13,130,75,68,25,0
28.01.2023 12:30,Real Oviedo,Villarreal B,0,1,46%,54%,13,3,4,2,5,1,4,0,10,15,11,1,4,1,24,19,1,4,11,9,,,2,3,371,478,280,380,16,14,119,83,76,20,-1
28.01.2023 10:15,Granada,Andorra,2,0,36%,64%,11,12,5,3,4,6,2,3,15,7,3,7,1,4,11,21,3,3,6,11,,,2,3,287,523,207,467,31,16,79,124,28,71,2
27.01.2023 15:00,Racing,Tenerife,1,1,46%,54%,10,10,4,2,3,5,3,3,21,10,7,3,0,0,30,27,1,3,10,22,,,4,5,290,343,208,264,18,20,91,102,28,47,0
23.01.2023 15:00,Andorra,Albacete,0,1,69%,31%,6,6,2,4,2,2,2,0,21,17,7,2,2,6,23,9,3,2,14,17,1,0,4,3,617,273,552,198,11,20,89,34,37,17,-1
22.01.2023 15:00,Lugo,Villarreal B,1,2,37%,63%,10,17,5,7,4,8,1,2,8,17,1,9,0,2,29,25,5,4,19,7,1,0,5,2,266,473,180,383,18,16,104,98,29,43,-1
22.01.2023 12:30,Huesca,Real Oviedo,1,1,63%,37%,14,8,5,2,6,4,3,2,12,11,3,5,0,2,23,28,1,4,12,10,0,1,4,3,482,272,400,176,17,24,104,107,54,53,0
22.01.2023 10:15,Cartagena,Tenerife,0,1,63%,37%,7,9,0,4,6,2,1,3,19,17,6,3,1,3,31,30,3,0,16,18,0,1,4,6,469,288,373,189,16,19,117,110,59,38,-1
