Date,HomeTeam,AwayTeam,HG,AG,HP,AP,HTS,ATS,HSI,ASI,HSO,ASO,HBS,ABS,HFK,AFK,HC,AC,HOFF,AOFF,HTI,ATI,HGS,AGS,HF,AF,HRC,ARC,HYC,AYC,HTP,ATP,HPC,APC,HT,AT,HA,AA,HDA,ADA,Resultado
02.06.2023 13:45,Amiens,Laval,1,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
02.06.2023 13:45,Girondins,Rodez,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
02.06.2023 13:45,Grenoble,EA Guingamp,0,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
02.06.2023 13:45,Le Havre,Dijon,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
02.06.2023 13:45,Metz,Bastia,3,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
02.06.2023 13:45,Nimes,Sochaux,3,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
02.06.2023 13:45,Niort,Quevilly Rouen,3,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
02.06.2023 13:45,Paris FC,Annecy,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
02.06.2023 13:45,Pau FC,SM Caen,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
02.06.2023 13:45,Saint-Étienne,Valenciennes,2,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
26.05.2023 13:45,Annecy,Girondins,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
26.05.2023 13:45,Bastia,Le Havre,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
26.05.2023 13:45,Dijon,Paris FC,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
26.05.2023 13:45,EA Guingamp,Niort,2,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
26.05.2023 13:45,Laval,Nimes,2,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
26.05.2023 13:45,Quevilly Rouen,Amiens,1,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
26.05.2023 13:45,Rodez,Pau FC,2,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
26.05.2023 13:45,SM Caen,Saint-Étienne,2,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
26.05.2023 13:45,Sochaux,Metz,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
26.05.2023 13:45,Valenciennes,Grenoble,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
22.05.2023 13:45,Le Havre,Valenciennes,0,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20.05.2023 12:00,Amiens,SM Caen,1,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
