Date,HomeTeam,AwayTeam,"
                    'HG',  # Home Goals
                    'AG',  # Away Goals
                    'HP',  # Home Possession
                    'AP',  # Away Possession
                    'HTS',  # Home Total Shots
                    'ATS',  # Away Total Shots
                    'HSI',  # Home Shots On Goal
                    'ASI',  # Away Shots On Goal
                    'HSO',  # Home Shots Off Goal
                    'ASO',  # Away Shots Off Goal
                    'HBS',  # Home Blocked Shots
                    'ABS',  # Away Blocked Shots
                    'HFK',  # Home Free Kicks
                    'AFK',  # Away Free Kicks
                    'HC',  # Home Corner Kicks
                    'AC',  # Away Corner Kicks
                    'HOFF',  # Home Offsides
                    'AOFF',  # Away Offsides
                    'HTI',  # Home Throw Ins
                    'ATI',  # Away Throw Ins
                    'HGS',  # Home Goalkeeper Saves
                    'AGS',  # Away Goalkeeper Saves
                    'HF',  # Home Fouls
                    'AF',  # Away Fouls
                    'HRC',  # Home Red Cards
                    'ARC',  # Away Red Cards
                    'HYC',  # Home Yellow Cards
                    'AYC',  # Away Yellow Cards
                    'HTP',  # Home Total Passes
                    'ATP',  # Away Total Passes
                    'HPC',  # Home Completed Passes
                    'APC',  # Away Completed Passes
                    'HT',  # Home Tackles
                    'AT',  # Away Tackles
                    'HA',  # Home Attacks
                    'AA',  # Away Attacks
                    'HDA',  # Home Dangerous Attacks
                    'ADA',  # Away Dangerous Attacks
                    'Resultado'
                    ",
14.05.2023 12:00,AEK,Volos,4,0
14.05.2023 12:00,Panathinaikos,Aris,1,1
14.05.2023 12:00,PAOK,Olympiacos,0,1
13.05.2023 12:00,Asteras T.,Atromitos,1,1
13.05.2023 12:00,Ionikos,Lamia,2,2
13.05.2023 12:00,Levadiakos,Giannina,3,3
13.05.2023 09:00,Panetolikos,OFI Creta,0,2
08.05.2023 13:00,Aris,AEK,1,2
08.05.2023 13:00,Olympiacos,Panathinaikos,1,0
08.05.2023 13:00,Volos,PAOK,0,2
06.05.2023 12:00,Atromitos,Panetolikos,2,0
06.05.2023 12:00,Giannina,Asteras T.,1,0
06.05.2023 12:00,Lamia,Levadiakos,1,1
06.05.2023 12:00,OFI Creta,Ionikos,2,2
03.05.2023 12:00,AEK,Olympiacos,0,0
03.05.2023 12:00,Aris,Volos,4,2
03.05.2023 12:00,Panathinaikos,PAOK,1,1
30.04.2023 12:00,Olympiacos,Volos,5,0
30.04.2023 12:00,Panathinaikos,AEK,0,0
30.04.2023 12:00,PAOK,Aris,3,2
29.04.2023 11:15,Asteras T.,Lamia,0,0
29.04.2023 11:15,Atromitos,OFI Creta,2,3
29.04.2023 11:15,Ionikos,Giannina,0,1
29.04.2023 11:15,Panetolikos,Levadiakos,2,2
26.04.2023 13:00,AEK,PAOK,4,0
26.04.2023 11:00,Aris,Olympiacos,2,1
26.04.2023 10:00,Volos,Panathinaikos,0,2
23.04.2023 13:00,Olympiacos,AEK,1,3
23.04.2023 12:00,PAOK,Panathinaikos,1,2
23.04.2023 09:30,Volos,Aris,0,3
22.04.2023 11:15,Giannina,Panetolikos,3,2
22.04.2023 11:15,Lamia,Atromitos,1,0
22.04.2023 11:15,Levadiakos,Ionikos,2,2
22.04.2023 11:15,OFI Creta,Asteras T.,1,1
09.04.2023 13:00,Panathinaikos,Olympiacos,2,0
09.04.2023 12:30,PAOK,Volos,4,2
09.04.2023 10:00,AEK,Aris,3,1
08.04.2023 11:30,Asteras T.,Levadiakos,0,1
08.04.2023 11:30,Panetolikos,Ionikos,0,1
08.04.2023 09:30,OFI Creta,Lamia,4,1
08.04.2023 09:00,Atromitos,Giannina,1,1
05.04.2023 13:00,Olympiacos,PAOK,3,1
05.04.2023 11:30,Aris,Panathinaikos,0,1
05.04.2023 10:00,Volos,AEK,0,1
02.04.2023 13:00,Olympiacos,Aris,2,2
02.04.2023 11:30,PAOK,AEK,0,1
02.04.2023 10:00,Panathinaikos,Volos,0,0
01.04.2023 13:00,Ionikos,Asteras T.,1,0
01.04.2023 11:30,Giannina,OFI Creta,0,1
01.04.2023 09:30,Panetolikos,Lamia,1,3
01.04.2023 09:00,Levadiakos,Atromitos,1,1
19.03.2023 14:30,AEK,Panathinaikos,0,0
19.03.2023 12:00,Aris,PAOK,1,2
19.03.2023 10:30,Volos,Olympiacos,0,3
18.03.2023 14:00,Lamia,Giannina,2,0
18.03.2023 12:30,Atromitos,Ionikos,2,0
18.03.2023 10:30,OFI Creta,Levadiakos,1,1
18.03.2023 10:00,Asteras T.,Panetolikos,2,1
12.03.2023 12:00,AEK,Olympiacos,1,3
12.03.2023 12:00,Aris,Giannina,3,1
12.03.2023 12:00,Atromitos,Panathinaikos,0,2
12.03.2023 12:00,Ionikos,Asteras T.,1,0
12.03.2023 12:00,Levadiakos,OFI Creta,2,0
12.03.2023 12:00,Panetolikos,Lamia,1,1
12.03.2023 12:00,Volos,PAOK,0,1
08.03.2023 10:30,Atromitos,AEK,0,1
06.03.2023 12:30,Panathinaikos,Panetolikos,2,0
05.03.2023 13:30,PAOK,Ionikos,6,0
05.03.2023 12:30,OFI Creta,AEK,0,3
05.03.2023 10:30,Lamia,Aris,2,1
05.03.2023 10:00,Giannina,Volos,0,1
05.03.2023 09:00,Olympiacos,Levadiakos,6,0
04.03.2023 13:00,Asteras T.,Atromitos,1,1
26.02.2023 12:30,Aris,Atromitos,2,1
26.02.2023 09:00,Ionikos,OFI Creta,0,2
26.02.2023 09:00,Levadiakos,Panetolikos,0,0
25.02.2023 13:30,Olympiacos,Panathinaikos,0,0
25.02.2023 12:00,Giannina,PAOK,0,0
25.02.2023 10:30,AEK,Asteras T.,2,0
24.02.2023 13:00,Volos,Lamia,1,1
20.02.2023 12:30,OFI Creta,Aris,0,3
20.02.2023 11:00,Atromitos,Levadiakos,1,0
19.02.2023 13:30,PAOK,AEK,2,0
19.02.2023 12:30,Panetolikos,Ionikos,1,0
19.02.2023 09:00,Lamia,Olympiacos,0,3
18.02.2023 13:00,Asteras T.,Giannina,1,1
18.02.2023 10:00,Panathinaikos,Volos,2,0
13.02.2023 14:00,Olympiacos,Panetolikos,6,1
13.02.2023 11:30,AEK,Levadiakos,3,0
13.02.2023 11:00,Asteras T.,PAOK,2,2
13.02.2023 10:00,Lamia,OFI Creta,1,4
12.02.2023 13:00,Aris,Panathinaikos,1,2
12.02.2023 09:00,Volos,Atromitos,2,1
11.02.2023 13:00,Giannina,Ionikos,0,0
06.02.2023 09:00,Levadiakos,Volos,0,3
05.02.2023 13:30,PAOK,Olympiacos,0,0
05.02.2023 13:00,Panetolikos,Asteras T.,0,0
05.02.2023 10:00,Panathinaikos,Lamia,2,0
04.02.2023 12:00,Ionikos,Aris,1,0
04.02.2023 10:00,OFI Creta,Giannina,0,0
30.01.2023 14:00,Asteras T.,Panathinaikos,1,0
30.01.2023 12:30,Lamia,Ionikos,0,2
30.01.2023 11:00,PAOK,Levadiakos,3,2
29.01.2023 12:30,AEK,Aris,3,0
29.01.2023 09:00,Olympiacos,OFI Creta,2,1
28.01.2023 13:00,Giannina,Atromitos,1,1
28.01.2023 12:30,Volos,Panetolikos,2,3
22.01.2023 13:30,Atromitos,Olympiacos,1,1
22.01.2023 12:30,Panathinaikos,PAOK,0,3
22.01.2023 10:00,Levadiakos,Lamia,0,0
22.01.2023 09:00,Ionikos,AEK,1,2
21.01.2023 13:00,Aris,Volos,3,0
21.01.2023 10:00,OFI Creta,Asteras T.,1,0
20.01.2023 13:30,Panetolikos,Giannina,1,1
16.01.2023 12:30,Ionikos,Volos,0,1
15.01.2023 13:30,Giannina,Panathinaikos,0,1
15.01.2023 12:30,Olympiacos,Aris,1,0
15.01.2023 10:00,Asteras T.,Levadiakos,0,0
15.01.2023 09:00,AEK,Panetolikos,4,1
14.01.2023 13:00,PAOK,OFI Creta,0,0
14.01.2023 10:00,Lamia,Atromitos,1,1
09.01.2023 10:00,Panetolikos,OFI Creta,0,4
08.01.2023 12:30,AEK,Panathinaikos,1,0
08.01.2023 12:00,Aris,Asteras T.,3,0
08.01.2023 10:00,Atromitos,Ionikos,2,0
08.01.2023 09:00,Volos,Olympiacos,0,4
07.01.2023 12:30,Lamia,PAOK,0,3
07.01.2023 10:30,Levadiakos,Giannina,1,3
04.01.2023 13:00,PAOK,Aris,1,0
04.01.2023 11:00,Panetolikos,Atromitos,2,0
04.01.2023 10:00,Asteras T.,Lamia,3,0
03.01.2023 14:30,Ionikos,Olympiacos,0,2
03.01.2023 13:00,Giannina,AEK,2,1
03.01.2023 10:00,Levadiakos,Panathinaikos,0,1
03.01.2023 09:30,OFI Creta,Volos,0,0
29.12.2022 11:30,Lamia,Giannina,1,1
29.12.2022 11:00,Aris,Panetolikos,1,0
28.12.2022 14:30,Panathinaikos,OFI Creta,1,1
28.12.2022 13:00,Atromitos,PAOK,1,1
28.12.2022 12:30,Volos,AEK,0,4
28.12.2022 11:00,Olympiacos,Asteras T.,5,0
28.12.2022 10:00,Levadiakos,Ionikos,1,0
22.12.2022 12:30,Panetolikos,PAOK,0,2
22.12.2022 10:00,OFI Creta,Atromitos,0,1
21.12.2022 14:30,Ionikos,Panathinaikos,1,1
21.12.2022 13:00,Giannina,Olympiacos,2,2
21.12.2022 10:00,AEK,Lamia,3,0
21.12.2022 10:00,Asteras T.,Volos,0,0
21.12.2022 08:00,Levadiakos,Aris,1,1
14.11.2022 12:30,OFI Creta,Levadiakos,2,1
14.11.2022 11:00,Asteras T.,Ionikos,1,0
13.11.2022 14:30,PAOK,Volos,3,0
