Date,HomeTeam,AwayTeam,HG,AG,HP,AP,HTS,ATS,HSI,ASI,HSO,ASO,HBS,ABS,HFK,AFK,HC,AC,HOFF,AOFF,HTI,ATI,HGS,AGS,HF,AF,HRC,ARC,HYC,AYC,HTP,ATP,HPC,APC,HT,AT,HA,AA,HDA,ADA,Resultado
27.08.2023 06:00,Watford,Blackburn,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
26.08.2023 09:00,Birmingham,Plymouth,2,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
26.08.2023 09:00,Cardiff,Sheffield Wed,2,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
26.08.2023 09:00,Coventry,Sunderland,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
26.08.2023 09:00,Huddersfield,Norwich,0,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
26.08.2023 09:00,Ipswich,Leeds Utd,3,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
26.08.2023 09:00,Millwall,Stoke,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
26.08.2023 09:00,Preston,Swansea,2,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
26.08.2023 09:00,Rotherham,Leicester,1,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
26.08.2023 09:00,Southampton,QPR,2,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
26.08.2023 09:00,West Brom,Middlesbrough,4,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
25.08.2023 13:30,Hull,Bristol City,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20.08.2023 06:00,Norwich,Millwall,3,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
19.08.2023 09:00,Blackburn,Hull,1,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
19.08.2023 09:00,Bristol City,Birmingham,0,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
19.08.2023 09:00,Leicester,Cardiff,2,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
19.08.2023 09:00,Middlesbrough,Huddersfield,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
19.08.2023 09:00,QPR,Ipswich,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
19.08.2023 09:00,Sheffield Wed,Preston,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
19.08.2023 09:00,Stoke,Watford,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
19.08.2023 09:00,Sunderland,Rotherham,2,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
19.08.2023 09:00,Swansea,Coventry,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
19.08.2023 06:30,Plymouth,Southampton,1,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18.08.2023 14:00,Leeds Utd,West Brom,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12.08.2023 09:00,Birmingham,Leeds Utd,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12.08.2023 09:00,Cardiff,QPR,1,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12.08.2023 09:00,Huddersfield,Leicester,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12.08.2023 09:00,Hull,Sheffield Wed,4,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12.08.2023 09:00,Ipswich,Stoke,2,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12.08.2023 09:00,Millwall,Bristol City,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12.08.2023 09:00,Preston,Sunderland,2,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12.08.2023 09:00,Rotherham,Blackburn,2,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12.08.2023 09:00,Southampton,Norwich,4,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12.08.2023 09:00,Watford,Plymouth,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12.08.2023 09:00,West Brom,Swansea,3,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12.08.2023 06:30,Coventry,Middlesbrough,3,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
06.08.2023 11:00,Sunderland,Ipswich,1,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
06.08.2023 08:30,Leeds Utd,Cardiff,2,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
06.08.2023 06:00,Leicester,Coventry,2,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
05.08.2023 09:00,Blackburn,West Brom,2,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
05.08.2023 09:00,Bristol City,Preston,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
05.08.2023 09:00,Middlesbrough,Millwall,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
05.08.2023 09:00,Norwich,Hull,2,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
05.08.2023 09:00,Plymouth,Huddersfield,3,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
05.08.2023 09:00,Stoke,Rotherham,4,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
