Date,HomeTeam,AwayTeam,HG,AG,HP,AP,HTS,ATS,HSI,ASI,HSO,ASO,HBS,ABS,HFK,AFK,HC,AC,HOFF,AOFF,HTI,ATI,HGS,AGS,HF,AF,HRC,ARC,HYC,AYC,HTP,ATP,HPC,APC,HT,AT,HA,AA,HDA,ADA,Resultado
25.04.2023 14:00,Blackburn,Burnley,0,1,50%,50%,8,8,5,1,2,4,1,3,12,16,10,4,3,2,32,20,0,5,13,12,,,3,5,393,400,290,317,22,18,90,86,80,27,-1
24.04.2023 14:00,Luton,Middlesbrough,2,1,37%,63%,8,9,3,1,1,5,4,3,8,9,4,5,5,2,11,13,0,1,10,9,,,2,0,319,549,233,463,18,15,81,125,41,60,1
23.04.2023 06:00,West Brom,Sunderland,1,2,39%,61%,19,13,4,6,6,3,9,4,10,16,4,5,3,0,24,23,4,3,13,13,,,3,3,313,517,233,432,9,13,115,86,55,31,-1
22.04.2023 11:30,Preston,Blackburn,1,1,45%,55%,13,9,4,3,3,3,6,3,16,12,4,3,1,5,25,29,2,3,13,11,,,1,2,341,430,226,318,19,20,131,64,76,41,0
22.04.2023 09:00,Birmingham,Blackpool,0,1,50%,50%,16,12,7,2,6,3,3,7,16,16,6,7,2,5,32,18,1,7,15,13,,,2,1,304,307,209,200,18,12,121,91,57,50,-1
22.04.2023 09:00,Bristol City,Rotherham,2,1,54%,46%,9,8,5,3,4,4,0,1,9,6,7,7,0,1,27,28,2,3,8,10,,,2,3,363,313,263,210,14,18,97,107,49,68,1
22.04.2023 09:00,Burnley,QPR,1,2,81%,19%,21,6,6,5,8,1,7,0,11,6,11,4,1,1,20,15,3,5,5,10,,,2,2,663,153,592,83,14,11,150,63,81,41,-1
22.04.2023 09:00,Cardiff,Stoke,1,1,35%,65%,7,6,4,1,2,2,1,3,10,5,6,4,1,4,14,16,0,3,3,8,,,3,0,325,610,227,493,10,18,94,117,27,38,0
22.04.2023 09:00,Coventry,Reading,2,1,52%,48%,19,11,4,3,7,6,8,2,12,18,2,4,4,1,23,27,2,2,15,12,,,4,4,384,345,293,248,24,22,112,109,49,40,1
22.04.2023 09:00,Hull,Watford,1,0,44%,56%,2,10,1,2,0,6,1,2,15,14,2,5,1,4,21,26,2,0,14,10,,,3,2,414,502,324,416,18,16,90,89,32,51,1
