Date,HomeTeam,AwayTeam,HG,AG,HP,AP,HTS,ATS,HSI,ASI,HSO,ASO,HBS,ABS,HFK,AFK,HC,AC,HOFF,AOFF,HTI,ATI,HGS,AGS,HF,AF,HRC,ARC,HYC,AYC,HTP,ATP,HPC,APC,HT,AT,HA,AA,HDA,ADA,Resultado
27.08.2023 10:30,Newcastle,Liverpool,1,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
27.08.2023 08:00,Burnley,Aston Villa,1,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
27.08.2023 08:00,Sheffield Utd,Manchester City,1,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
26.08.2023 11:30,Brighton,West Ham,1,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
26.08.2023 09:00,Arsenal,Fulham,2,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
26.08.2023 09:00,Brentford,Crystal Palace,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
26.08.2023 09:00,Everton,Wolves,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
26.08.2023 09:00,Manchester Utd,Nottingham Forest,3,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
26.08.2023 06:30,Bournemouth,Tottenham,0,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
25.08.2023 14:00,Chelsea,Luton,3,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
21.08.2023 14:00,Crystal Palace,Arsenal,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20.08.2023 10:30,West Ham,Chelsea,3,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20.08.2023 08:00,Aston Villa,Everton,4,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
19.08.2023 14:00,Manchester City,Newcastle,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
19.08.2023 11:30,Tottenham,Manchester Utd,2,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
19.08.2023 09:00,Fulham,Brentford,0,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
19.08.2023 09:00,Liverpool,Bournemouth,3,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
19.08.2023 09:00,Wolves,Brighton,1,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18.08.2023 13:45,Nottingham Forest,Sheffield Utd,2,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14.08.2023 14:00,Manchester Utd,Wolves,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13.08.2023 10:30,Chelsea,Liverpool,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13.08.2023 08:00,Brentford,Tottenham,2,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12.08.2023 11:30,Newcastle,Aston Villa,5,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12.08.2023 09:00,Bournemouth,West Ham,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12.08.2023 09:00,Brighton,Luton,4,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12.08.2023 09:00,Everton,Fulham,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12.08.2023 09:00,Sheffield Utd,Crystal Palace,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12.08.2023 06:30,Arsenal,Nottingham Forest,2,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11.08.2023 14:00,Burnley,Manchester City,0,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
