Date,HomeTeam,AwayTeam,HG,AG,HP,AP,HTS,ATS,HSI,ASI,HSO,ASO,HBS,ABS,HFK,AFK,HC,AC,HOFF,AOFF,HTI,ATI,HGS,AGS,HF,AF,HRC,ARC,HYC,AYC,HTP,ATP,HPC,APC,HT,AT,HA,AA,HDA,ADA,Resultado
11.06.2023 13:45,Spezia,Verona,1,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
04.06.2023 14:00,AC Milan,Verona,3,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
04.06.2023 14:00,Atalanta,Monza,5,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
04.06.2023 14:00,Lecce,Bolonia,2,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
04.06.2023 14:00,Roma,Spezia,2,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
04.06.2023 14:00,Udinese,Juventus,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
04.06.2023 11:30,Nápoles,Sampdoria,2,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
03.06.2023 14:00,Cremonese,Salernitana,2,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
03.06.2023 14:00,Empoli,Lazio,0,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
03.06.2023 11:30,Torino,Inter,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
02.06.2023 13:30,Sassuolo,Fiorentina,1,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
28.05.2023 13:45,Juventus,AC Milan,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
28.05.2023 11:00,Lazio,Cremonese,3,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
28.05.2023 08:00,Bolonia,Nápoles,2,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
28.05.2023 08:00,Monza,Lecce,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
28.05.2023 05:30,Verona,Empoli,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
27.05.2023 13:45,Inter,Atalanta,3,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
27.05.2023 11:00,Fiorentina,Roma,2,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
27.05.2023 08:00,Salernitana,Udinese,3,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
27.05.2023 08:00,Spezia,Torino,0,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
26.05.2023 13:45,Sampdoria,Sassuolo,2,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
22.05.2023 13:45,Empoli,Juventus,4,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
22.05.2023 11:30,Roma,Salernitana,2,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
21.05.2023 13:45,Udinese,Lazio,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
21.05.2023 11:00,Nápoles,Inter,3,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
21.05.2023 08:00,Torino,Fiorentina,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
