Date,HomeTeam,AwayTeam,HG,AG,HP,AP,HTS,ATS,HSI,ASI,HSO,ASO,HBS,ABS,HFK,AFK,HC,AC,HOFF,AOFF,HTI,ATI,HGS,AGS,HF,AF,HRC,ARC,HYC,AYC,HTP,ATP,HPC,APC,HT,AT,HA,AA,HDA,ADA,Resultado
13.03.2023 14:45,AC Milan,Salernitana,1,1,64%,36%,24,6,4,3,12,0,8,3,14,15,6,4,0,1,25,20,2,3,15,13,,,2,3,566,328,487,233,22,14,143,75,68,30,0
12.03.2023 14:45,Juventus,Sampdoria,4,2,56%,44%,24,9,8,3,8,3,8,3,10,12,11,3,2,1,22,13,1,4,10,10,,,1,1,509,404,448,339,10,18,111,97,43,36,2
12.03.2023 12:00,Roma,Sassuolo,3,4,53%,47%,17,19,7,10,5,6,5,3,19,13,7,2,3,1,25,15,6,4,11,18,1,0,4,2,461,411,383,325,10,16,118,93,45,36,-1
12.03.2023 09:00,Cremonese,Fiorentina,0,2,47%,53%,16,10,5,3,5,4,6,3,20,13,1,6,3,3,28,27,1,5,10,17,,,1,2,370,431,255,319,21,22,95,61,47,30,-2
12.03.2023 09:00,Verona,Monza,1,1,39%,61%,8,9,3,3,3,4,2,2,14,19,7,2,1,2,10,12,2,2,17,12,,,2,0,373,594,287,517,9,11,70,80,36,22,0
12.03.2023 06:30,Lecce,Torino,0,2,55%,45%,13,4,1,2,5,2,7,0,18,18,9,1,2,1,29,32,0,1,16,17,,,3,3,428,363,334,265,18,9,111,124,61,54,-2
11.03.2023 14:45,Bolonia,Lazio,0,0,54%,46%,16,5,2,2,8,2,6,1,10,14,5,2,3,3,23,17,2,2,11,8,,,2,3,630,534,558,468,12,17,114,116,32,45,0
11.03.2023 12:00,Nápoles,Atalanta,2,0,60%,40%,18,6,6,3,7,3,5,0,11,13,10,4,1,0,30,19,3,4,12,11,,,1,2,575,381,513,306,24,18,125,100,58,33,2
11.03.2023 09:00,Empoli,Udinese,0,1,62%,38%,17,14,3,4,8,6,6,4,15,12,11,5,0,2,24,23,3,3,12,13,,,2,4,451,282,383,225,17,23,96,75,58,41,-1
10.03.2023 14:45,Spezia,Inter,2,1,31%,69%,4,28,2,7,0,13,2,8,14,11,1,13,0,4,15,32,6,0,11,9,,,3,0,265,557,190,476,16,19,69,144,28,100,1
06.03.2023 14:45,Torino,Bolonia,1,0,43%,57%,12,11,5,1,4,4,3,6,12,14,3,3,5,1,27,17,1,4,9,10,,,2,2,409,530,331,457,9,11,122,96,52,35,1
06.03.2023 12:30,Sassuolo,Cremonese,3,2,54%,46%,13,13,7,6,5,6,1,1,13,18,4,3,0,0,32,24,4,4,11,9,,,1,4,448,373,345,267,13,20,97,113,47,43,1
05.03.2023 14:45,Roma,Juventus,1,0,41%,59%,6,14,2,5,1,3,3,6,9,12,2,6,2,0,15,21,5,1,11,10,0,1,3,2,388,563,322,501,13,10,72,141,38,47,1
05.03.2023 12:00,Inter,Lecce,2,0,62%,38%,14,11,4,1,7,8,3,2,12,13,6,4,3,1,37,22,1,2,10,11,,,,,517,313,434,235,19,16,113,76,48,31,2
05.03.2023 09:00,Sampdoria,Salernitana,0,0,56%,44%,9,10,3,4,5,4,1,2,14,19,2,6,1,1,24,21,4,3,18,13,,,3,4,456,346,356,256,14,18,83,72,30,19,0
05.03.2023 06:30,Spezia,Verona,0,0,69%,31%,20,11,4,3,11,7,5,1,7,6,9,5,0,0,25,20,3,4,6,7,1,0,2,1,492,210,408,128,11,21,105,74,77,39,0
04.03.2023 14:45,Fiorentina,AC Milan,2,1,48%,52%,16,8,8,6,6,2,2,0,16,12,11,5,0,1,20,21,5,6,12,17,,,3,3,351,396,281,325,14,19,97,79,53,24,1
04.03.2023 12:00,Atalanta,Udinese,0,0,67%,33%,17,5,5,1,8,3,4,1,13,13,12,3,3,2,34,15,1,5,12,12,,,2,3,627,307,527,215,19,28,163,75,113,33,0
04.03.2023 09:00,Monza,Empoli,2,1,43%,57%,10,18,3,3,4,4,3,11,14,15,1,8,6,2,20,23,2,1,10,12,,,2,3,386,495,313,431,20,9,83,145,28,70,1
03.03.2023 14:45,Nápoles,Lazio,0,1,65%,35%,14,5,2,2,4,1,8,2,11,22,8,3,3,0,24,22,1,2,13,8,,,2,2,737,404,656,315,7,13,158,64,60,17,-1
28.02.2023 14:45,Juventus,Torino,4,2,42%,58%,13,8,6,3,6,5,1,0,19,8,3,7,0,1,17,13,1,2,5,13,,,0,2,402,565,324,491,19,14,72,128,31,46,2
28.02.2023 12:30,Cremonese,Roma,2,1,34%,66%,6,10,2,3,2,4,2,3,19,23,3,3,0,5,21,27,2,0,17,11,,,3,2,296,590,201,480,18,16,91,138,26,56,1
27.02.2023 14:45,Lazio,Sampdoria,1,0,57%,43%,15,8,4,2,8,3,3,3,14,13,8,3,3,1,16,18,2,3,10,13,,,2,2,602,449,506,358,14,19,142,114,57,38,1
27.02.2023 12:30,Verona,Fiorentina,0,3,47%,53%,12,16,3,7,6,4,3,5,10,19,4,2,4,0,20,24,4,3,15,11,,,3,3,376,441,258,315,13,14,94,142,39,38,-3
26.02.2023 14:45,AC Milan,Atalanta,2,0,48%,52%,13,3,3,0,7,1,3,2,16,20,4,3,1,1,17,22,0,2,11,11,,,3,2,485,535,398,428,22,15,127,119,36,40,2
26.02.2023 12:00,Udinese,Spezia,2,2,49%,51%,15,9,6,2,5,3,4,4,22,14,5,2,0,1,20,19,0,4,11,16,,,2,2,405,431,336,353,19,18,116,68,53,40,0
26.02.2023 09:00,Salernitana,Monza,3,0,38%,62%,12,14,5,3,4,1,3,10,23,21,1,3,1,2,15,20,3,2,12,16,0,1,2,4,350,568,287,500,9,9,62,117,29,47,3
26.02.2023 06:30,Bolonia,Inter,1,0,48%,52%,14,13,5,4,6,6,3,3,22,13,1,6,4,2,25,20,4,4,7,14,,,1,2,491,525,398,436,16,18,89,125,36,49,1
25.02.2023 14:45,Lecce,Sassuolo,0,1,41%,59%,16,7,0,3,11,4,5,0,8,19,4,7,2,1,38,32,2,0,17,7,,,2,2,323,470,213,366,21,14,124,106,54,32,-1
25.02.2023 12:00,Empoli,Nápoles,0,2,46%,54%,9,19,2,6,4,8,3,5,13,10,4,13,0,4,18,28,4,2,10,9,0,1,2,1,406,474,337,419,18,15,66,124,38,75,-2
20.02.2023 14:45,Torino,Cremonese,2,2,63%,37%,16,11,6,2,7,7,3,2,14,14,5,1,0,0,20,22,0,4,9,12,,,3,1,545,305,445,202,12,14,131,92,57,39,0
19.02.2023 14:45,Roma,Verona,1,0,46%,54%,9,7,5,1,0,2,4,4,19,15,5,1,0,0,25,23,1,4,15,19,,,1,2,402,464,284,355,25,23,107,125,49,36,1
19.02.2023 12:00,Spezia,Juventus,0,2,58%,42%,18,15,7,3,3,9,8,3,13,10,7,4,2,4,26,18,1,7,8,9,,,2,2,526,370,444,281,17,18,146,88,59,29,-2
19.02.2023 09:00,Fiorentina,Empoli,1,1,61%,39%,27,5,4,3,15,2,8,0,18,12,13,1,3,3,37,23,2,3,8,15,,,1,5,417,286,348,209,12,18,128,70,91,16,0
19.02.2023 09:00,Salernitana,Lazio,0,2,35%,65%,9,21,2,7,5,7,2,7,9,9,2,9,1,2,9,22,5,2,10,7,1,0,5,1,398,751,320,661,18,7,79,134,23,61,-2
19.02.2023 06:30,Atalanta,Lecce,1,2,70%,30%,20,4,10,2,6,2,4,0,14,11,6,1,2,2,43,16,0,9,10,12,,,3,3,643,281,522,185,12,37,140,109,101,29,-1
18.02.2023 14:45,Inter,Udinese,3,1,60%,40%,19,9,7,1,4,4,8,4,13,16,3,8,2,0,18,13,0,4,14,14,,,2,2,520,360,444,291,27,13,124,91,75,40,2
18.02.2023 12:00,Monza,AC Milan,0,1,59%,41%,11,14,5,8,3,5,3,1,27,15,10,3,1,2,25,18,7,5,10,18,,,4,2,532,387,448,296,22,23,128,118,56,35,-1
18.02.2023 09:00,Sampdoria,Bolonia,1,2,40%,60%,9,12,4,5,3,3,2,4,13,13,1,8,0,2,26,15,3,3,13,13,,,3,1,370,540,280,450,15,19,96,83,34,38,-1
17.02.2023 14:45,Sassuolo,Nápoles,0,2,40%,60%,11,15,2,4,6,8,3,3,18,20,1,3,2,2,18,23,2,2,12,10,,,2,2,416,638,344,561,17,22,87,140,47,56,-2
13.02.2023 14:45,Sampdoria,Inter,0,0,35%,65%,7,25,2,5,3,13,2,7,14,12,3,7,0,3,15,13,5,2,13,11,,,3,1,361,667,267,600,9,11,64,95,37,58,0
13.02.2023 12:30,Verona,Salernitana,1,0,37%,63%,14,8,4,3,5,4,5,1,21,21,5,1,5,1,18,28,3,3,14,21,,,2,3,291,508,183,386,14,18,100,133,37,43,1
12.02.2023 14:45,Nápoles,Cremonese,3,0,66%,34%,15,6,10,1,4,2,1,3,9,14,9,7,3,0,11,20,1,7,7,7,,,0,2,699,343,615,260,11,12,150,85,59,42,3
12.02.2023 12:00,Juventus,Fiorentina,1,0,44%,56%,7,11,3,2,2,6,2,3,18,16,5,6,5,2,14,15,2,2,11,17,,,5,2,376,464,289,385,10,14,73,125,31,51,1
12.02.2023 09:00,Bolonia,Monza,0,1,63%,37%,12,5,3,4,8,1,1,0,20,15,3,2,0,2,37,14,3,3,15,18,,,1,4,503,308,427,218,23,24,128,72,100,14,-1
12.02.2023 06:30,Udinese,Sassuolo,2,2,47%,53%,17,6,8,1,4,5,5,0,8,15,10,7,3,0,12,15,0,6,12,8,,,2,2,395,441,344,393,23,12,86,98,44,36,0
11.02.2023 14:45,Lazio,Atalanta,0,2,60%,40%,13,23,5,10,2,6,6,7,22,16,5,7,0,0,26,21,8,5,12,14,,,1,2,661,438,549,332,18,11,157,111,54,55,-2
11.02.2023 12:00,Lecce,Roma,1,1,42%,58%,8,12,3,5,3,6,2,1,8,25,3,7,2,0,15,30,4,2,24,8,,,4,1,344,472,244,363,24,17,127,117,40,43,0
11.02.2023 09:00,Empoli,Spezia,2,2,65%,35%,25,9,8,3,12,5,5,1,14,11,7,3,3,1,23,19,1,6,10,13,1,1,1,5,564,312,491,237,16,10,117,74,58,28,0
10.02.2023 14:45,AC Milan,Torino,1,0,46%,54%,9,12,4,2,4,5,1,5,20,11,3,8,1,0,18,29,2,3,10,20,,,1,4,408,469,315,385,28,19,96,136,27,40,1
07.02.2023 14:45,Salernitana,Juventus,0,3,53%,47%,10,17,1,5,6,8,3,4,14,8,6,3,0,3,15,16,2,1,9,12,,,1,1,554,497,471,427,23,11,75,72,34,37,-3
06.02.2023 14:45,Monza,Sampdoria,2,2,72%,28%,17,11,5,6,5,2,7,3,11,12,9,3,0,0,31,12,4,3,12,12,,,2,4,637,259,550,175,13,21,153,60,81,19,0
06.02.2023 12:30,Verona,Lazio,1,1,36%,64%,15,9,4,2,9,5,2,2,14,16,6,5,0,2,19,17,1,3,16,12,,,4,1,316,572,210,457,16,13,95,129,40,47,0
05.02.2023 14:45,Inter,AC Milan,1,0,64%,36%,15,4,4,0,6,4,5,0,14,15,8,0,2,1,23,18,0,3,13,14,,,2,5,571,330,480,244,13,11,129,75,72,21,1
