Date,HomeTeam,AwayTeam,HG,AG,HP,AP,HTS,ATS,HSI,ASI,HSO,ASO,HBS,ABS,HFK,AFK,HC,AC,HOFF,AOFF,HTI,ATI,HGS,AGS,HF,AF,HRC,ARC,HYC,AYC,HTP,ATP,HPC,APC,HT,AT,HA,AA,HDA,ADA,Resultado
11.06.2023 13:30,Bari,Cagliari,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
08.06.2023 13:30,Cagliari,Bari,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
03.06.2023 13:30,Parma,Cagliari,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
02.06.2023 13:30,Ba,,ri,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
01.06.2023 13:30,Brescia,Cosenza,0,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
30.05.2023 13:30,Cagliari,Parma,3,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
29.05.2023 13:30,Sudtirol,Bari,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
27.05.2023 13:30,Caglia,,ri,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
26.05.2023 13:30,Sudtir,,ol,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
25.05.2023 13:30,Cosenza,Brescia,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
19.05.2023 13:30,Cittadella,Como,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
19.05.2023 13:30,Cosenza,Cagliari,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
19.05.2023 13:30,Genoa,Bari,4,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
19.05.2023 13:30,Modena,Sudtirol,2,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
19.05.2023 13:30,Palermo,Brescia,2,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
19.05.2023 13:30,Parma,Venezia,2,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
