Date,HomeTeam,AwayTeam,HG,AG,HP,AP,HTS,ATS,HSI,ASI,HSO,ASO,HBS,ABS,HFK,AFK,HC,AC,HOFF,AOFF,HTI,ATI,HGS,AGS,HF,AF,HRC,ARC,HYC,AYC,HTP,ATP,HPC,APC,HT,AT,HA,AA,HDA,ADA,Resultado
30.08.2023 13:30,Bari,Cittadella,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
30.08.2023 13:30,Catanzaro,Spezia,3,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
30.08.2023 13:30,Sampdoria,Venezia,1,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
30.08.2023 13:30,Ternana,Cremonese,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
29.08.2023 13:30,Ascoli,FeralpiSalo,3,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
29.08.2023 13:30,Cosenza,Modena,1,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
29.08.2023 13:30,Pisa,Parma,1,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
29.08.2023 13:30,Reggiana,Palermo,1,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
27.08.2023 13:30,Catanzaro,Ternana,2,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
26.08.2023 13:30,Como,Reggiana,2,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
26.08.2023 13:30,Cremonese,Bari,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
26.08.2023 13:30,FeralpiSalo,Sudtirol,0,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
26.08.2023 13:30,Modena,Ascoli,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
26.08.2023 13:30,Parma,Cittadella,2,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
26.08.2023 11:00,Venezia,Cosenza,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
25.08.2023 13:30,Sampdoria,Pisa,0,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20.08.2023 13:30,Cittadella,Reggiana,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20.08.2023 13:30,Parma,FeralpiSalo,2,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20.08.2023 13:30,Venezia,Como,3,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20.08.2023 11:00,Sudtirol,Spezia,3,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
19.08.2023 13:30,Cosenza,Ascoli,3,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
19.08.2023 13:30,Cremonese,Catanzaro,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
19.08.2023 13:30,Ternana,Sampdoria,1,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18.08.2023 13:30,Bari,Palermo,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
