Date,HomeTeam,AwayTeam,HG,AG,HP,AP,HTS,ATS,HSI,ASI,HSO,ASO,HBS,ABS,HFK,AFK,HC,AC,HOFF,AOFF,HTI,ATI,HGS,AGS,HF,AF,HRC,ARC,HYC,AYC,HTP,ATP,HPC,APC,HT,AT,HA,AA,HDA,ADA,Resultado
11.06.2023 11:00,FC Emmen,Almere City,1,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11.06.2023 07:30,Twen,,te,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
08.06.2023 13:00,Sparta Rotterdam,Twente,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
06.06.2023 13:00,Almere City,FC Emmen,2,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
04.06.2023 11:00,Sparta Rotterd,,am,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
04.06.2023 07:30,Twen,,te,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
03.06.2023 13:00,FC Emm,,en,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
03.06.2023 09:30,Almere Ci,,ty,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
01.06.2023 14:00,Utrecht,Sparta Rotterdam,1,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
01.06.2023 11:45,Heerenveen,Twente,1,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
31.05.2023 11:45,Breda,FC Emmen,1,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
30.05.2023 13:00,Venlo,Almere City,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
28.05.2023 07:30,AZ Alkmaar,PSV,1,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
28.05.2023 07:30,Cambuur,Waalwijk,4,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
28.05.2023 07:30,FC Volendam,Excelsior,3,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
28.05.2023 07:30,Feyenoord,Vitesse,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
28.05.2023 07:30,Groningen,Sparta Rotterdam,0,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
28.05.2023 07:30,Heerenveen,G.A. Eagles,2,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
28.05.2023 07:30,Sittard,Nijmegen,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
28.05.2023 07:30,Twente,Ajax,3,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
28.05.2023 07:30,Utrecht,FC Emmen,3,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
27.05.2023 13:00,Maastricht,Breda,1,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
27.05.2023 09:30,Willem II,,2,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
26.05.2023 13:00,Almere Ci,,ty,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
23.05.2023 14:00,Breda,Maastricht,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
23.05.2023 11:45,Venlo,Willem II,3,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
22.05.2023 13:00,Eindhoven,Almere City,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
