Date,HomeTeam,AwayTeam,HG,AG,HP,AP,HTS,ATS,HSI,ASI,HSO,ASO,HBS,ABS,HFK,AFK,HC,AC,HOFF,AOFF,HTI,ATI,HGS,AGS,HF,AF,HRC,ARC,HYC,AYC,HTP,ATP,HPC,APC,HT,AT,HA,AA,HDA,ADA,Resultado
12.03.2023 14:00,Feyenoord,FC Volendam,2,1,77%,23%,25,9,8,2,10,6,7,1,4,6,9,2,1,1,30,11,1,6,6,6,0,1,1,1,662,202,576,95,4,21,176,55,120,18,1
12.03.2023 10:45,PSV,Cambuur,5,2,53%,47%,25,12,16,5,3,3,6,4,4,13,6,5,2,0,13,7,3,11,13,8,,,1,1,457,408,384,315,10,19,123,67,68,21,3
12.03.2023 08:30,Heerenveen,Ajax,2,4,43%,57%,6,13,4,6,1,5,1,2,11,13,5,8,0,1,23,13,2,2,13,11,,,2,2,387,525,289,427,23,12,84,89,44,42,-2
12.03.2023 06:15,Nijmegen,Utrecht,2,2,55%,45%,11,12,6,6,3,2,2,4,20,11,3,7,1,1,21,13,4,4,11,19,,,1,3,470,378,385,283,8,22,111,90,52,26,0
11.03.2023 15:00,Sparta Rotterdam,Vitesse,3,1,61%,39%,19,9,10,2,5,5,4,2,13,12,7,3,1,1,38,13,1,7,12,13,0,1,0,1,538,346,441,254,23,12,145,101,60,33,2
11.03.2023 14:00,AZ Alkmaar,Groningen,1,0,52%,48%,10,11,3,2,2,5,5,4,8,7,5,2,1,0,15,17,2,2,7,8,,,0,1,578,529,479,432,26,22,118,119,47,49,1
11.03.2023 12:45,Sittard,Twente,0,3,33%,67%,10,17,3,5,2,8,5,4,7,9,0,4,2,0,14,25,2,3,15,8,,,3,2,276,579,190,495,18,20,85,144,40,82,-3
11.03.2023 10:30,FC Emmen,Excelsior,2,0,53%,47%,9,11,4,4,5,3,0,4,11,11,2,6,2,1,23,26,4,2,10,14,,,1,3,493,435,392,339,16,18,156,123,49,50,2
05.03.2023 14:00,Cambuur,G.A. Eagles,4,1,45%,55%,15,18,7,3,7,11,1,4,11,11,4,6,1,0,13,29,2,3,10,13,,,1,1,378,456,292,361,8,9,83,118,26,62,3
05.03.2023 10:45,Ajax,Nijmegen,1,0,66%,34%,19,5,7,2,6,1,6,2,13,18,10,2,1,1,19,9,2,6,17,17,,,1,3,621,318,541,233,22,20,148,72,77,28,1
