Date,HomeTeam,AwayTeam,HG,AG,HP,AP,HTS,ATS,HSI,ASI,HSO,ASO,HBS,ABS,HFK,AFK,HC,AC,HOFF,AOFF,HTI,ATI,HGS,AGS,HF,AF,HRC,ARC,HYC,AYC,HTP,ATP,HPC,APC,HT,AT,HA,AA,HDA,ADA,Resultado
19.05.2023 13:00,Almere City,Maastricht,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
19.05.2023 13:00,De Graafschap,Den Bosch,3,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
19.05.2023 13:00,Dordrecht,Oss,2,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
19.05.2023 13:00,Helmond,Zwolle,2,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
19.05.2023 13:00,Heracles,Jong Ajax,2,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
19.05.2023 13:00,Jong AZ,Den Haag,0,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
19.05.2023 13:00,Jong PSV,Eindhoven,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
19.05.2023 13:00,Jong Utrecht,Venlo,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
19.05.2023 13:00,Roda,Willem II,2,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
19.05.2023 13:00,Telstar,Breda,2,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12.05.2023 13:00,Breda,Heracles,0,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12.05.2023 13:00,Den Bosch,Almere City,2,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12.05.2023 13:00,Den Haag,Dordrecht,2,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12.05.2023 13:00,Eindhoven,Helmond,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12.05.2023 13:00,Jong Ajax,Jong AZ,1,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12.05.2023 13:00,Maastricht,Telstar,2,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12.05.2023 13:00,Oss,Jong PSV,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12.05.2023 13:00,Venlo,De Graafschap,2,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12.05.2023 13:00,Willem II,Jong Utrecht,3,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12.05.2023 13:00,Zwolle,Roda,3,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
08.05.2023 13:00,Jong Ajax,Den Haag,4,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
08.05.2023 13:00,Jong AZ,Oss,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
08.05.2023 13:00,Jong PSV,Zwolle,3,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
