Date,HomeTeam,AwayTeam,HG,AG,HP,AP,HTS,ATS,HSI,ASI,HSO,ASO,HBS,ABS,HFK,AFK,HC,AC,HOFF,AOFF,HTI,ATI,HGS,AGS,HF,AF,HRC,ARC,HYC,AYC,HTP,ATP,HPC,APC,HT,AT,HA,AA,HDA,ADA,Resultado
28.08.2023 13:00,Jong AZ,Telstar,3,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
28.08.2023 13:00,Jong PSV,Helmond,2,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
27.08.2023 07:30,Groningen,Willem II,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
25.08.2023 13:00,Cambuur,Jong Ajax,4,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
25.08.2023 13:00,De Graafschap,FC Emmen,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
25.08.2023 13:00,Den Bosch,Den Haag,1,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
25.08.2023 13:00,Dordrecht,Maastricht,2,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
25.08.2023 13:00,Eindhoven,Breda,2,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
25.08.2023 13:00,Roda,Oss,2,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
25.08.2023 13:00,Venlo,Jong Utrecht,4,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
21.08.2023 13:00,Jong Ajax,De Graafschap,1,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
21.08.2023 13:00,Jong Utrecht,Groningen,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18.08.2023 13:00,Breda,Jong AZ,2,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18.08.2023 13:00,Den Haag,Roda,0,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18.08.2023 13:00,FC Emmen,Venlo,2,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18.08.2023 13:00,Helmond,Den Bosch,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18.08.2023 13:00,Oss,Jong PSV,4,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18.08.2023 13:00,Telstar,Cambuur,2,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18.08.2023 13:00,Willem II,Dordrecht,2,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14.08.2023 13:00,Jong AZ,Jong Utrecht,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14.08.2023 13:00,Jong PSV,Telstar,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13.08.2023 09:45,Venlo,Maastricht,1,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13.08.2023 05:15,Eindhoven,Willem II,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11.08.2023 13:00,Cambuur,FC Emmen,2,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11.08.2023 13:00,De Graafschap,Den Haag,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11.08.2023 13:00,Den Bosch,Oss,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11.08.2023 13:00,Dordrecht,Breda,2,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11.08.2023 13:00,Groningen,Jong Ajax,4,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11.08.2023 13:00,Roda,Helmond,4,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
