Date,HomeTeam,AwayTeam,"
                    'HG',  # Home Goals
                    'AG',  # Away Goals
                    'HP',  # Home Possession
                    'AP',  # Away Possession
                    'HTS',  # Home Total Shots
                    'ATS',  # Away Total Shots
                    'HSI',  # Home Shots On Goal
                    'ASI',  # Away Shots On Goal
                    'HSO',  # Home Shots Off Goal
                    'ASO',  # Away Shots Off Goal
                    'HBS',  # Home Blocked Shots
                    'ABS',  # Away Blocked Shots
                    'HFK',  # Home Free Kicks
                    'AFK',  # Away Free Kicks
                    'HC',  # Home Corner Kicks
                    'AC',  # Away Corner Kicks
                    'HOFF',  # Home Offsides
                    'AOFF',  # Away Offsides
                    'HTI',  # Home Throw Ins
                    'ATI',  # Away Throw Ins
                    'HGS',  # Home Goalkeeper Saves
                    'AGS',  # Away Goalkeeper Saves
                    'HF',  # Home Fouls
                    'AF',  # Away Fouls
                    'HRC',  # Home Red Cards
                    'ARC',  # Away Red Cards
                    'HYC',  # Home Yellow Cards
                    'AYC',  # Away Yellow Cards
                    'HTP',  # Home Total Passes
                    'ATP',  # Away Total Passes
                    'HPC',  # Home Completed Passes
                    'APC',  # Away Completed Passes
                    'HT',  # Home Tackles
                    'AT',  # Away Tackles
                    'HA',  # Home Attacks
                    'AA',  # Away Attacks
                    'HDA',  # Home Dangerous Attacks
                    'ADA',  # Away Dangerous Attacks
                    'Resultado'
                    ",
11.06.2023 11:00,Termalica B-B.,,2,3
06.06.2023 14:00,Termalica B-,,B.,-
06.06.2023 11:00,Wisla,Puszcza,1,4
03.06.2023 10:30,Chojniczanka,Katowice,3,3
03.06.2023 10:30,Leczna,Wisla,0,3
03.06.2023 10:30,LKS Lodz,Odra Opole,1,0
03.06.2023 10:30,Podbeskidzie,R. Rzeszow,4,3
03.06.2023 10:30,Puszcza,Chrobry Glogow,0,1
03.06.2023 10:30,Ruch,Tychy,1,0
03.06.2023 10:30,S. Rzeszow,Skra,2,1
03.06.2023 10:30,Sosnowiec,Sandecja,1,1
03.06.2023 10:30,Termalica B-B.,Arka,2,1
29.05.2023 11:00,Skra,Puszcza,0,3
28.05.2023 11:00,Tychy,S. Rzeszow,0,0
28.05.2023 08:00,Odra Opole,Chojniczanka,1,1
28.05.2023 05:40,Wisla,Sosnowiec,1,2
27.05.2023 13:00,Chrobry Glogow,Leczna,1,1
27.05.2023 10:30,Katowice,Ruch,2,1
27.05.2023 08:00,R. Rzeszow,Termalica B-B.,1,2
26.05.2023 13:30,Arka,LKS Lodz,1,1
26.05.2023 11:00,Sandecja,Podbeskidzie,0,3
22.05.2023 11:00,Chrobry Glogow,Skra,1,0
21.05.2023 11:00,Puszcza,Tychy,2,1
21.05.2023 08:00,Leczna,Sosnowiec,0,0
21.05.2023 05:40,LKS Lodz,R. Rzeszow,2,1
20.05.2023 13:00,S. Rzeszow,Katowice,1,1
20.05.2023 10:30,Podbeskidzie,Wisla,0,3
20.05.2023 08:00,Termalica B-B.,Sandecja,3,0
19.05.2023 13:30,Ruch,Odra Opole,3,0
19.05.2023 11:00,Chojniczanka,Arka,1,3
15.05.2023 11:00,Sosnowiec,Podbeskidzie,1,0
14.05.2023 11:00,R. Rzeszow,Chojniczanka,3,1
14.05.2023 08:00,Tychy,Chrobry Glogow,2,2
14.05.2023 05:40,Sandecja,LKS Lodz,1,0
13.05.2023 13:00,Odra Opole,S. Rzeszow,2,0
13.05.2023 10:30,Arka,Ruch,0,2
13.05.2023 08:00,Katowice,Puszcza,2,2
12.05.2023 13:30,Wisla,Termalica B-B.,2,1
12.05.2023 11:00,Skra,Leczna,0,1
08.05.2023 11:00,Termalica B-B.,Sosnowiec,2,0
07.05.2023 11:00,Chrobry Glogow,Katowice,0,0
