Date,HomeTeam,AwayTeam,"
                    'HG',  # Home Goals
                    'AG',  # Away Goals
                    'HP',  # Home Possession
                    'AP',  # Away Possession
                    'HTS',  # Home Total Shots
                    'ATS',  # Away Total Shots
                    'HSI',  # Home Shots On Goal
                    'ASI',  # Away Shots On Goal
                    'HSO',  # Home Shots Off Goal
                    'ASO',  # Away Shots Off Goal
                    'HBS',  # Home Blocked Shots
                    'ABS',  # Away Blocked Shots
                    'HFK',  # Home Free Kicks
                    'AFK',  # Away Free Kicks
                    'HC',  # Home Corner Kicks
                    'AC',  # Away Corner Kicks
                    'HOFF',  # Home Offsides
                    'AOFF',  # Away Offsides
                    'HTI',  # Home Throw Ins
                    'ATI',  # Away Throw Ins
                    'HGS',  # Home Goalkeeper Saves
                    'AGS',  # Away Goalkeeper Saves
                    'HF',  # Home Fouls
                    'AF',  # Away Fouls
                    'HRC',  # Home Red Cards
                    'ARC',  # Away Red Cards
                    'HYC',  # Home Yellow Cards
                    'AYC',  # Away Yellow Cards
                    'HTP',  # Home Total Passes
                    'ATP',  # Away Total Passes
                    'HPC',  # Home Completed Passes
                    'APC',  # Away Completed Passes
                    'HT',  # Home Tackles
                    'AT',  # Away Tackles
                    'HA',  # Home Attacks
                    'AA',  # Away Attacks
                    'HDA',  # Home Dangerous Attacks
                    'ADA',  # Away Dangerous Attacks
                    'Resultado'
                    ",
27.05.2023 10:30,Cracovia,Plock,3,0
27.05.2023 10:30,Lech Poznan,Jagiellonia,2,0
27.05.2023 10:30,Legia,Slask,3,1
27.05.2023 10:30,Legnica,Gornik Zabrze,0,0
27.05.2023 10:30,Piast,Lechia,3,0
27.05.2023 10:30,Pogon Szczecin,Radomiak Radom,4,0
27.05.2023 10:30,Rakow,Zaglebie,1,1
27.05.2023 10:30,Stal Mielec,Warta,1,0
27.05.2023 10:30,Widzew Lodz,Korona,0,3
22.05.2023 12:00,Warta,Piast,1,1
21.05.2023 10:30,Plock,Rakow,1,2
21.05.2023 08:00,Radomiak Radom,Widzew Lodz,3,1
21.05.2023 05:30,Slask,Legnica,4,2
20.05.2023 13:00,Lechia,Legia,1,0
20.05.2023 10:30,Gornik Zabrze,Pogon Szczecin,2,1
20.05.2023 08:00,Jagiellonia,Cracovia,1,1
19.05.2023 13:30,Korona,Lech Poznan,0,3
19.05.2023 11:00,Zaglebie,Stal Mielec,2,0
15.05.2023 12:00,Warta,Radomiak Radom,1,2
14.05.2023 10:30,Rakow,Lech Poznan,0,2
14.05.2023 08:00,Pogon Szczecin,Legnica,3,2
14.05.2023 05:30,Stal Mielec,Lechia,0,0
13.05.2023 13:00,Widzew Lodz,Gornik Zabrze,2,3
13.05.2023 10:30,Cracovia,Zaglebie,0,1
13.05.2023 08:00,Slask,Plock,3,1
12.05.2023 13:30,Legia,Jagiellonia,5,1
12.05.2023 11:00,Piast,Korona,2,1
08.05.2023 12:00,Legnica,Widzew Lodz,0,1
07.05.2023 10:30,Pogon Szczecin,Legia,2,1
07.05.2023 08:00,Korona,Rakow,1,0
07.05.2023 05:30,Plock,Stal Mielec,0,0
06.05.2023 13:00,Lechia,Zaglebie,1,3
06.05.2023 10:30,Lech Poznan,Cracovia,3,0
06.05.2023 08:00,Radomiak Radom,Piast,0,1
05.05.2023 13:30,Gornik Zabrze,Warta,2,0
05.05.2023 11:00,Jagiellonia,Slask,1,1
01.05.2023 12:00,Cracovia,Legnica,1,1
30.04.2023 10:30,Lech Poznan,Gornik Zabrze,0,1
30.04.2023 08:00,Stal Mielec,Korona,2,1
30.04.2023 05:30,Slask,Radomiak Radom,0,1
29.04.2023 13:00,Piast,Pogon Szczecin,0,0
29.04.2023 10:30,Zaglebie,Widzew Lodz,2,0
29.04.2023 08:00,Jagiellonia,Warta,3,1
28.04.2023 13:30,Rakow,Lechia,4,0
28.04.2023 11:00,Legia,Plock,2,0
24.04.2023 12:00,Radomiak Radom,Lech Poznan,1,1
23.04.2023 10:30,Gornik Zabrze,Slask,2,0
23.04.2023 08:00,Widzew Lodz,Piast,2,3
23.04.2023 05:30,Korona,Zaglebie,2,2
22.04.2023 13:00,Pogon Szczecin,Stal Mielec,4,2
22.04.2023 10:30,Legnica,Rakow,0,2
22.04.2023 08:00,Lechia,Cracovia,1,2
21.04.2023 13:30,Warta,Legia,1,0
21.04.2023 11:00,Plock,Jagiellonia,2,4
17.04.2023 12:00,Stal Mielec,Legnica,1,1
16.04.2023 10:30,Legia,Lech Poznan,2,2
16.04.2023 08:00,Rakow,Widzew Lodz,2,0
16.04.2023 05:30,Piast,Plock,1,0
15.04.2023 13:00,Lechia,Pogon Szczecin,0,1
15.04.2023 10:30,Korona,Jagiellonia,2,1
15.04.2023 08:00,Cracovia,Radomiak Radom,3,0
14.04.2023 13:30,Zaglebie,Gornik Zabrze,0,2
14.04.2023 11:00,Warta,Slask,3,1
10.04.2023 13:00,Legnica,Legia,2,2
10.04.2023 10:30,Radomiak Radom,Rakow,0,0
10.04.2023 08:00,Jagiellonia,Lechia,1,0
08.04.2023 13:00,Lech Poznan,Warta,2,0
08.04.2023 10:30,Pogon Szczecin,Cracovia,3,2
08.04.2023 08:00,Widzew Lodz,Stal Mielec,0,2
08.04.2023 05:30,Plock,Zaglebie,2,0
06.04.2023 13:30,Gornik Zabrze,Korona,1,1
06.04.2023 11:00,Slask,Piast,0,1
03.04.2023 12:00,Stal Mielec,Jagiellonia,1,1
02.04.2023 10:30,Lech Poznan,Pogon Szczecin,2,2
02.04.2023 08:00,Cracovia,Widzew Lodz,1,1
02.04.2023 05:30,Plock,Radomiak Radom,1,1
01.04.2023 13:00,Lechia,Slask,0,0
01.04.2023 10:30,Legia,Rakow,3,1
01.04.2023 08:00,Korona,Legnica,1,0
31.03.2023 13:30,Piast,Gornik Zabrze,1,0
31.03.2023 11:00,Zaglebie,Warta,0,0
19.03.2023 11:30,Widzew Lodz,Lech Poznan,1,2
19.03.2023 09:00,Legnica,Piast,0,1
19.03.2023 06:30,Warta,Lechia,2,0
18.03.2023 14:00,Rakow,Cracovia,4,1
18.03.2023 11:30,Pogon Szczecin,Korona,0,0
18.03.2023 09:00,Jagiellonia,Zaglebie,2,2
18.03.2023 06:30,Slask,Stal Mielec,1,1
17.03.2023 14:30,Radomiak Radom,Legia,0,2
17.03.2023 12:00,Gornik Zabrze,Plock,3,2
13.03.2023 13:00,Plock,Widzew Lodz,1,1
12.03.2023 11:30,Legia,Stal Mielec,2,0
12.03.2023 09:00,Piast,Lech Poznan,1,1
12.03.2023 06:30,Warta,Cracovia,0,0
11.03.2023 14:00,Jagiellonia,Gornik Zabrze,2,1
11.03.2023 11:30,Zaglebie,Pogon Szczecin,0,1
11.03.2023 09:00,Korona,Radomiak Radom,2,1
10.03.2023 14:30,Rakow,Slask,4,1
10.03.2023 12:00,Lechia,Legnica,4,0
08.03.2023 12:45,Plock,Warta,1,0
06.03.2023 13:00,Radomiak Radom,Zaglebie,0,1
05.03.2023 11:30,Cracovia,Slask,1,1
05.03.2023 09:00,Pogon Szczecin,Rakow,0,2
05.03.2023 06:30,Legnica,Jagiellonia,1,1
04.03.2023 14:00,Gornik Zabrze,Legia,0,1
04.03.2023 11:30,Korona,Plock,1,0
