Date,HomeTeam,AwayTeam,HG,AG,HP,AP,HTS,ATS,HSI,ASI,HSO,ASO,HBS,ABS,HFK,AFK,HC,AC,HOFF,AOFF,HTI,ATI,HGS,AGS,HF,AF,HRC,ARC,HYC,AYC,HTP,ATP,HPC,APC,HT,AT,HA,AA,HDA,ADA,Resultado
11.06.2023 11:00,BSAD,Vilaverdense,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
03.06.2023 12:00,Vilaverdense,BSAD,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
28.05.2023 12:00,Farense,Tondela,3,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
28.05.2023 09:30,Nacional,Academico Viseu,3,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
28.05.2023 09:30,Trofense,Mafra,1,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
28.05.2023 09:30,Vilafranquense,BSAD,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
28.05.2023 05:00,Oliveirense,Leixoes,4,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
27.05.2023 06:45,Oporto B,Benfica B,3,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
27.05.2023 05:00,Penafiel,Estrela,2,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
26.05.2023 12:00,Feirense,Torreense,4,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
25.05.2023 14:15,Moreirense,Covilha,6,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
22.05.2023 12:00,Tondela,Oporto B,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
21.05.2023 11:00,Vilaverden,,se,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
21.05.2023 09:30,Torreense,Penafiel,5,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
21.05.2023 08:00,Mafra,Moreirense,0,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
21.05.2023 05:00,Estrela,Nacional,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20.05.2023 09:30,BSAD,Oliveirense,2,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20.05.2023 08:00,Academico Viseu,Feirense,2,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20.05.2023 05:00,Covilha,Trofense,0,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
19.05.2023 12:00,Benfica B,Farense,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
19.05.2023 12:00,Leixoes,Vilafranquense,2,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
15.05.2023 12:00,Oliveirense,Torreense,3,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14.05.2023 12:00,Vilafranquense,Covilha,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14.05.2023 09:30,Moreirense,Leixoes,4,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14.05.2023 09:30,Oporto B,Academico Viseu,3,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14.05.2023 09:00,SC Braga B,Vilaverdense,0,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14.05.2023 08:00,Penafiel,Tondela,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14.05.2023 05:00,Nacional,Farense,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13.05.2023 08:00,Feirense,Benfica B,1,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13.05.2023 05:00,BSAD,Mafra,2,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12.05.2023 12:00,Trofense,Estrela,2,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
07.05.2023 09:30,Farense,Oporto B,2,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
07.05.2023 08:00,Academico Viseu,Penafiel,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
07.05.2023 05:00,Benfica B,Nacional,1,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
07.05.2023 05:00,Torreense,Trofense,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
06.05.2023 12:00,Estrela,Moreirense,2,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
06.05.2023 09:30,Tondela,Feirense,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
06.05.2023 08:00,Covilha,Oliveirense,2,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
06.05.2023 05:00,Mafra,Vilafranquense,2,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
05.05.2023 12:00,Leixoes,BSAD,0,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
