Date,HomeTeam,AwayTeam,HG,AG,HP,AP,HTS,ATS,HSI,ASI,HSO,ASO,HBS,ABS,HFK,AFK,HC,AC,HOFF,AOFF,HTI,ATI,HGS,AGS,HF,AF,HRC,ARC,HYC,AYC,HTP,ATP,HPC,APC,HT,AT,HA,AA,HDA,ADA,Resultado
11.06.2023 14:15,Marítimo,,2,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
03.06.2023 14:00,Estrela,Marítimo,2,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
27.05.2023 14:30,SC Braga,P. Ferreira,3,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
27.05.2023 12:00,Benfica,Santa Clara,3,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
27.05.2023 12:00,Oporto,V. Guimaraes,3,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
27.05.2023 12:00,Portimonense,Arouca,0,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
27.05.2023 09:30,Chaves,Boavista,1,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
27.05.2023 09:30,Estoril,Marítimo,3,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
27.05.2023 06:45,Gil Vicente,Casa Pia,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
26.05.2023 15:15,Vizela,Sporting CP,1,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
26.05.2023 13:00,Rio Ave,Famalicao,2,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
21.05.2023 14:30,Sporting CP,Benfica,2,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
21.05.2023 12:00,Casa Pia,Estoril,2,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
21.05.2023 12:00,P. Ferreira,Rio Ave,3,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
21.05.2023 09:30,V. Guimaraes,Gil Vicente,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20.05.2023 14:30,Famalicao,Oporto,2,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20.05.2023 12:00,Boavista,SC Braga,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20.05.2023 09:30,Arouca,Chaves,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20.05.2023 09:30,Santa Clara,Portimonense,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
19.05.2023 14:15,Marítimo,Vizela,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
15.05.2023 14:15,Estoril,Arouca,2,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14.05.2023 14:30,Oporto,Casa Pia,2,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14.05.2023 12:00,SC Braga,Santa Clara,5,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14.05.2023 09:30,Rio Ave,V. Guimaraes,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13.05.2023 14:30,Sporting CP,Marítimo,2,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13.05.2023 12:00,Portimonense,Benfica,1,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13.05.2023 09:30,Chaves,P. Ferreira,2,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13.05.2023 09:30,Vizela,Famalicao,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12.05.2023 14:15,Gil Vicente,Boavista,3,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
08.05.2023 15:15,Arouca,Oporto,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
08.05.2023 13:00,Famalicao,Chaves,1,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
07.05.2023 14:30,P. Ferreira,Sporting CP,0,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
07.05.2023 12:00,V. Guimaraes,Vizela,3,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
07.05.2023 09:30,Marítimo,Rio Ave,2,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
06.05.2023 14:30,Benfica,SC Braga,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
06.05.2023 12:00,Boavista,Estoril,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
06.05.2023 09:30,Santa Clara,Gil Vicente,3,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
05.05.2023 14:15,Casa Pia,Portimonense,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
30.04.2023 14:30,Sporting CP,Famalicao,2,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
30.04.2023 12:00,Oporto,Boavista,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
