Date,HomeTeam,AwayTeam,HG,AG,HP,AP,HTS,ATS,HSI,ASI,HSO,ASO,HBS,ABS,HFK,AFK,HC,AC,HOFF,AOFF,HTI,ATI,HGS,AGS,HF,AF,HRC,ARC,HYC,AYC,HTP,ATP,HPC,APC,HT,AT,HA,AA,HDA,ADA,Resultado
28.08.2023 14:15,Rio Ave,Oporto,1,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
27.08.2023 14:30,Sporting CP,Famalicao,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
27.08.2023 12:00,V. Guimaraes,Vizela,2,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
27.08.2023 09:30,Boavista,Casa Pia,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
26.08.2023 14:30,Gil Vicente,Benfica,2,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
26.08.2023 12:00,Farense,Chaves,5,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
26.08.2023 09:30,Arouca,Portimonense,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
25.08.2023 14:15,Estrela,Estoril,2,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
21.08.2023 14:15,Famalicao,Moreirense,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20.08.2023 14:30,Vizela,Arouca,2,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20.08.2023 12:00,Oporto,Farense,2,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20.08.2023 09:30,Estoril,Rio Ave,2,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
19.08.2023 14:30,Benfica,Estrela,2,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
19.08.2023 14:30,Portimonense,Boavista,1,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
19.08.2023 12:00,Chaves,SC Braga,2,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
19.08.2023 09:30,V. Guimaraes,Gil Vicente,2,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18.08.2023 14:15,Casa Pia,Sporting CP,1,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14.08.2023 14:45,Boavista,Benfica,3,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14.08.2023 12:45,Moreirense,Oporto,1,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13.08.2023 14:30,Arouca,Estoril,4,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13.08.2023 12:00,Estrela,V. Guimaraes,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13.08.2023 09:30,Rio Ave,Chaves,2,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12.08.2023 14:30,Sporting CP,Vizela,3,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12.08.2023 12:00,Farense,Casa Pia,0,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12.08.2023 09:30,Gil Vicente,Portimonense,5,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11.08.2023 14:15,SC Braga,Famalicao,1,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
