Date,HomeTeam,AwayTeam,HG,AG,HP,AP,HTS,ATS,HSI,ASI,HSO,ASO,HBS,ABS,HFK,AFK,HC,AC,HOFF,AOFF,HTI,ATI,HGS,AGS,HF,AF,HRC,ARC,HYC,AYC,HTP,ATP,HPC,APC,HT,AT,HA,AA,HDA,ADA,Resultado
03.06.2023 14:00,Estrela,Marítimo,2,1,40%,60%,13,8,9,4,4,4,,,17,18,5,4,2,1,24,19,3,7,16,16,,,3,4,,,,,,,51,58,37,29,1
27.05.2023 14:30,SC Braga,P. Ferreira,3,0,51%,49%,20,12,4,1,16,11,,,11,12,6,9,3,1,15,14,1,1,9,10,,,0,1,,,,,,,105,104,59,39,3
27.05.2023 12:00,Benfica,Santa Clara,3,0,60%,40%,9,9,4,6,5,3,,,13,15,4,4,2,0,18,17,6,1,14,14,,,1,1,,,,,,,128,84,60,18,3
27.05.2023 12:00,Oporto,V. Guimaraes,3,0,65%,35%,20,4,5,0,15,4,,,14,17,8,2,2,0,18,12,0,2,14,14,0,1,2,6,,,,,,,187,59,103,8,3
27.05.2023 12:00,Portimonense,Arouca,0,2,47%,53%,10,16,3,5,7,11,,,8,13,3,7,1,0,30,25,3,3,13,9,,,1,0,,,,,,,120,107,37,53,-2
27.05.2023 09:30,Chaves,Boavista,1,4,41%,59%,10,20,5,3,5,17,,,11,10,1,4,1,2,9,12,1,4,11,10,3,0,5,1,,,,,,,72,89,33,33,-3
27.05.2023 09:30,Estoril,Marítimo,3,1,54%,46%,12,18,3,6,9,12,,,18,18,4,5,1,1,19,5,5,1,19,18,0,2,2,5,,,,,,,72,61,42,31,2
27.05.2023 06:45,Gil Vicente,Casa Pia,1,0,55%,45%,11,13,5,6,6,7,,,18,12,4,1,1,6,25,21,6,4,11,12,0,1,1,1,,,,,,,103,80,38,40,1
26.05.2023 15:15,Vizela,Sporting CP,1,2,33%,67%,6,13,3,2,3,11,,,10,9,2,8,1,1,17,25,1,2,8,9,,,2,4,,,,,,,54,136,24,73,-1
26.05.2023 13:00,Rio Ave,Famalicao,2,2,59%,41%,22,11,5,2,17,9,,,10,24,8,4,2,0,26,17,0,3,22,10,0,1,4,4,,,,,,,145,60,71,16,0
21.05.2023 14:30,Sporting CP,Benfica,2,2,52%,48%,11,16,5,3,6,13,,,17,13,7,7,0,1,21,20,1,3,14,16,,,2,2,,,,,,,108,130,61,70,0
21.05.2023 12:00,Casa Pia,Estoril,2,2,49%,51%,23,12,8,3,15,9,,,18,11,3,3,0,0,18,22,2,6,11,18,,,1,6,,,,,,,98,90,46,24,0
21.05.2023 12:00,P. Ferreira,Rio Ave,3,1,41%,59%,9,14,5,7,4,7,,,18,19,5,6,3,5,21,17,6,2,16,15,,,3,3,,,,,,,79,104,42,40,2
21.05.2023 09:30,V. Guimaraes,Gil Vicente,1,0,39%,61%,15,11,5,2,10,9,,,16,13,3,6,3,1,20,25,2,4,9,18,,,3,2,,,,,,,84,95,53,43,1
20.05.2023 14:30,Famalicao,Oporto,2,4,45%,55%,7,11,5,7,2,4,,,22,13,1,1,3,2,21,20,3,3,14,22,,,5,3,,,,,,,91,99,34,55,-2
