Junior,1.0,50.54545454545455,9.636363636363637,3.090909090909091,4.818181818181818,1.7272727272727273,10.181818181818182,4.181818181818182,1.4545454545454546,16.545454545454547,3.3636363636363638,12.272727272727273,0.2727272727272727,2.909090909090909,342.09090909090907,261.09090909090907,14.363636363636363,90.63636363636364,61.18181818181818
Ind. Santa Fe,0.9090909090909091,50.63636363636363,11.272727272727273,3.6363636363636362,5.090909090909091,2.5454545454545454,13.181818181818182,5.181818181818182,1.0909090909090908,17.09090909090909,3.8181818181818183,11.727272727272727,0.36363636363636365,4.0,383.90909090909093,306.45454545454544,12.818181818181818,106.0,67.0
Dep. Pasto,0.7272727272727273,40.54545454545455,9.454545454545455,3.1818181818181817,4.454545454545454,1.8181818181818181,13.545454545454545,3.909090909090909,1.8181818181818181,17.636363636363637,2.8181818181818183,9.181818181818182,0.36363636363636365,3.1818181818181817,296.27272727272725,223.72727272727272,13.363636363636363,95.36363636363636,61.45454545454545
América de Cali,0.7272727272727273,43.45454545454545,12.636363636363637,3.0,6.454545454545454,3.1818181818181817,8.090909090909092,4.363636363636363,1.8181818181818181,23.727272727272727,3.090909090909091,12.454545454545455,0.18181818181818182,2.727272727272727,313.90909090909093,226.63636363636363,16.0,109.27272727272727,73.27272727272727
Millonarios,1.6,51.7,11.4,4.1,4.8,2.5,11.6,3.4,1.5,17.9,3.1,11.1,0.2,1.7,411.7,333.3,16.5,103.1,61.5
Pereira,1.3,40.3,9.7,3.4,4.1,2.2,9.4,3.1,1.4,14.2,2.8,12.3,0.1,4.3,300.6,223.9,12.8,88.3,52.9
La Equidad,1.3,44.7,11.8,3.4,5.6,2.8,11.6,3.8,1.5,21.0,4.6,13.5,0.1,3.0,312.8,235.5,14.8,107.0,70.3
Aguilas Doradas,0.7,47.2,11.0,3.8,5.4,1.8,11.5,3.8,1.0,16.7,3.1,12.9,0.2,3.2,350.0,273.3,14.8,106.1,66.2
Ind. Medellín,1.3,50.3,8.9,3.1,4.3,1.5,10.2,3.4,2.2,15.4,3.3,10.0,0.0,2.4,399.9,314.9,12.9,108.2,62.5
Once Caldas,0.9,46.0,10.4,3.2,4.5,2.7,10.7,3.8,1.6,19.0,2.5,11.6,0.0,2.0,348.9,270.6,17.0,112.0,71.0
Patriotas,0.7,40.7,10.6,2.6,4.5,3.5,11.9,4.3,1.7,17.8,3.4,8.1,0.1,2.9,306.9,232.3,13.1,98.9,66.8
Tolima,1.0,45.6,11.1,3.7,4.9,2.5,12.3,3.7,1.6,15.8,3.5,13.1,0.5,3.6,346.2,270.1,12.6,94.3,61.7
Alianza Petrolera,1.0,44.6,9.0,3.4,4.2,1.4,13.1,3.0,1.4,17.4,3.2,10.9,0.0,3.3,318.4,241.4,11.7,111.4,74.8
Cortuluá,0.7,48.5,10.8,3.3,5.2,2.3,12.8,4.0,0.9,18.7,2.8,13.5,0.3,3.5,351.1,273.1,13.2,113.5,78.3
Atl. Nacional,1.3,53.3,15.7,5.2,6.4,4.1,10.0,5.9,1.2,17.5,3.6,8.7,0.1,2.6,421.0,345.7,13.9,105.5,74.1
Atl. Bucaramanga,1.4,47.8,10.9,3.4,5.1,2.4,10.5,4.3,1.8,16.8,3.9,10.4,0.3,2.9,396.3,320.7,14.4,109.2,69.0
Jaguares de Córdoba,0.8,39.4,9.4,3.4,4.2,1.8,10.6,4.1,0.8,16.11111111111111,4.8,10.8,0.1,2.5,292.5,214.1,12.4,102.0,64.9
Deportivo Cali,0.9,43.6,8.4,2.7,3.1,2.6,11.9,2.7,1.9,17.7,3.5,10.6,0.2,3.0,320.4,251.7,14.0,103.5,67.1
Envigado,0.7,49.3,11.6,3.9,4.0,3.7,11.5,3.9,1.1,17.9,3.3,10.7,0.1,2.7,387.6,303.8,11.2,119.5,75.5
U. Magdalena,1.2,48.1,9.6,3.1,4.9,1.6,13.6,2.8,1.2,16.7,3.4,10.1,0.1,3.0,345.5,246.9,13.0,113.9,75.7
