Date,HomeTeam,AwayTeam,"
                    'HG',  # Home Goals
                    'AG',  # Away Goals
                    'HP',  # Home Possession
                    'AP',  # Away Possession
                    'HTS',  # Home Total Shots
                    'ATS',  # Away Total Shots
                    'HSI',  # Home Shots On Goal
                    'ASI',  # Away Shots On Goal
                    'HSO',  # Home Shots Off Goal
                    'ASO',  # Away Shots Off Goal
                    'HBS',  # Home Blocked Shots
                    'ABS',  # Away Blocked Shots
                    'HFK',  # Home Free Kicks
                    'AFK',  # Away Free Kicks
                    'HC',  # Home Corner Kicks
                    'AC',  # Away Corner Kicks
                    'HOFF',  # Home Offsides
                    'AOFF',  # Away Offsides
                    'HTI',  # Home Throw Ins
                    'ATI',  # Away Throw Ins
                    'HGS',  # Home Goalkeeper Saves
                    'AGS',  # Away Goalkeeper Saves
                    'HF',  # Home Fouls
                    'AF',  # Away Fouls
                    'HRC',  # Home Red Cards
                    'ARC',  # Away Red Cards
                    'HYC',  # Home Yellow Cards
                    'AYC',  # Away Yellow Cards
                    'HTP',  # Home Total Passes
                    'ATP',  # Away Total Passes
                    'HPC',  # Home Completed Passes
                    'APC',  # Away Completed Passes
                    'HT',  # Home Tackles
                    'AT',  # Away Tackles
                    'HA',  # Home Attacks
                    'AA',  # Away Attacks
                    'HDA',  # Home Dangerous Attacks
                    'ADA',  # Away Dangerous Attacks
                    'Resultado'
                    ",
28.05.2023 10:00,Chrudim,Vyskov,0,0
28.05.2023 10:00,Jihlava,Vlasim,5,0
28.05.2023 10:00,Karvina,Trinec,1,0
28.05.2023 10:00,Lisen,Dukla Praga,1,3
28.05.2023 10:00,Opava,Varnsdorf,2,1
28.05.2023 10:00,Prostejov,Slavia Praga B,3,1
28.05.2023 10:00,Sparta Praga B,Sigma Olomouc B,0,2
28.05.2023 10:00,Taborsko,Pribram,2,2
24.05.2023 10:00,Dukla Praga,Prostejov,4,1
24.05.2023 10:00,Pribram,Sparta Praga B,1,0
24.05.2023 10:00,Sigma Olomouc B,Taborsko,0,3
24.05.2023 10:00,Slavia Praga B,Lisen,2,1
24.05.2023 10:00,Trinec,Opava,0,1
24.05.2023 10:00,Varnsdorf,Karvina,2,2
24.05.2023 10:00,Vlasim,Chrudim,4,0
24.05.2023 10:00,Vyskov,Jihlava,2,1
21.05.2023 10:00,Karvina,Slavia Praga B,3,0
21.05.2023 10:00,Taborsko,Vlasim,3,1
20.05.2023 10:00,Lisen,Trinec,1,0
20.05.2023 03:15,Chrudim,Varnsdorf,3,2
20.05.2023 03:15,Vyskov,Sigma Olomouc B,2,0
19.05.2023 11:00,Jihlava,Pribram,1,2
19.05.2023 10:00,Opava,Prostejov,1,1
18.05.2023 10:00,Sparta Praga B,Dukla Praga,1,1
14.05.2023 10:00,Varnsdorf,Taborsko,5,3
14.05.2023 03:15,Sigma Olomouc B,Chrudim,2,2
14.05.2023 03:15,Slavia Praga B,Jihlava,7,2
13.05.2023 10:00,Prostejov,Lisen,2,1
13.05.2023 10:00,Vlasim,Vyskov,0,1
13.05.2023 07:00,Dukla Praga,Karvina,0,3
13.05.2023 03:15,Trinec,Sparta Praga B,2,2
12.05.2023 10:30,Pribram,Opava,2,0
08.05.2023 04:00,Sparta Praga B,Varnsdorf,2,0
07.05.2023 10:00,Karvina,Prostejov,5,0
07.05.2023 10:00,Taborsko,Dukla Praga,2,1
06.05.2023 10:00,Lisen,Opava,0,0
06.05.2023 10:00,Vlasim,Sigma Olomouc B,1,4
06.05.2023 03:15,Chrudim,Slavia Praga B,0,0
05.05.2023 11:00,Jihlava,Trinec,2,1
05.05.2023 10:00,Vyskov,Pribram,2,2
02.05.2023 10:00,Pribram,Slavia Praga B,1,2
01.05.2023 07:00,Opava,Karvina,2,1
30.04.2023 10:00,Varnsdorf,Vyskov,1,3
29.04.2023 10:00,Lisen,Sparta Praga B,0,1
29.04.2023 10:00,Pribram,Vlasim,0,3
29.04.2023 10:00,Prostejov,Jihlava,1,0
29.04.2023 07:00,Dukla Praga,Chrudim,1,1
29.04.2023 03:15,Slavia Praga B,Sigma Olomouc B,0,2
29.04.2023 03:15,Trinec,Taborsko,1,2
24.04.2023 09:00,Sigma Olomouc B,Pribram,4,1
23.04.2023 10:00,Jihlava,Dukla Praga,0,1
23.04.2023 10:00,Karvina,Lisen,2,2
23.04.2023 10:00,Taborsko,Opava,1,0
23.04.2023 03:30,Sparta Praga B,Prostejov,2,0
22.04.2023 10:00,Vlasim,Varnsdorf,2,2
22.04.2023 03:15,Chrudim,Trinec,1,1
22.04.2023 03:15,Vyskov,Slavia Praga B,2,2
19.04.2023 10:00,Dukla Praga,Sigma Olomouc B,3,2
19.04.2023 10:00,Karvina,Chrudim,2,1
19.04.2023 10:00,Lisen,Taborsko,3,1
19.04.2023 10:00,Opava,Sparta Praga B,1,2
19.04.2023 10:00,Prostejov,Vyskov,1,0
19.04.2023 10:00,Slavia Praga B,Vlasim,1,1
19.04.2023 10:00,Varnsdorf,Jihlava,7,2
19.04.2023 08:00,Trinec,Pribram,2,1
16.04.2023 09:30,Taborsko,Prostejov,2,1
16.04.2023 03:30,Sparta Praga B,Karvina,2,2
16.04.2023 03:15,Sigma Olomouc B,Varnsdorf,1,1
15.04.2023 09:30,Vlasim,Dukla Praga,3,4
15.04.2023 03:15,Chrudim,Opava,1,0
15.04.2023 03:15,Vyskov,Trinec,2,1
14.04.2023 11:00,Jihlava,Lisen,0,1
09.04.2023 09:30,Varnsdorf,Slavia Praga B,1,0
09.04.2023 03:30,Sparta Praga B,Taborsko,2,1
08.04.2023 09:30,Prostejov,Vlasim,0,4
08.04.2023 08:00,Opava,Jihlava,1,1
08.04.2023 07:00,Dukla Praga,Pribram,1,2
08.04.2023 03:15,Trinec,Sigma Olomouc B,1,1
07.04.2023 10:00,Karvina,Vyskov,2,0
07.04.2023 09:30,Lisen,Chrudim,1,1
04.04.2023 09:30,Varnsdorf,Dukla Praga,3,4
02.04.2023 09:30,Taborsko,Karvina,2,3
02.04.2023 03:15,Sigma Olomouc B,Lisen,1,2
02.04.2023 03:15,Slavia Praga B,Opava,1,1
01.04.2023 09:30,Vlasim,Trinec,4,0
01.04.2023 03:15,Chrudim,Prostejov,1,1
01.04.2023 03:15,Vyskov,Dukla Praga,0,1
31.03.2023 11:00,Jihlava,Sparta Praga B,2,1
31.03.2023 10:00,Pribram,Varnsdorf,1,2
25.03.2023 08:00,Chrudim,Taborsko,1,1
19.03.2023 11:00,Karvina,Sigma Olomouc B,1,0
19.03.2023 09:00,Taborsko,Jihlava,1,1
19.03.2023 04:30,Sparta Praga B,Chrudim,0,0
18.03.2023 09:00,Lisen,Vyskov,0,1
18.03.2023 09:00,Opava,Vlasim,0,1
18.03.2023 09:00,Prostejov,Pribram,0,2
18.03.2023 08:00,Dukla Praga,Slavia Praga B,4,1
18.03.2023 04:15,Trinec,Varnsdorf,2,1
13.03.2023 10:00,Sigma Olomouc B,Prostejov,2,0
12.03.2023 08:30,Jihlava,Karvina,2,2
12.03.2023 04:15,Slavia Praga B,Trinec,3,1
11.03.2023 08:30,Vlasim,Sparta Praga B,3,0
11.03.2023 04:15,Vyskov,Opava,1,1
10.03.2023 11:00,Pribram,Lisen,2,0
06.03.2023 12:00,Sparta Praga B,Slavia Praga B,2,0
05.03.2023 11:00,Karvina,Pribram,1,0
05.03.2023 08:30,Taborsko,Vyskov,0,0
05.03.2023 07:00,Lisen,Vlasim,2,0
04.03.2023 09:00,Opava,Sigma Olomouc B,2,2
04.03.2023 08:30,Prostejov,Varnsdorf,1,1
04.03.2023 08:00,Dukla Praga,Trinec,2,0
