Date,HomeTeam,AwayTeam,"
                    'HG',  # Home Goals
                    'AG',  # Away Goals
                    'HP',  # Home Possession
                    'AP',  # Away Possession
                    'HTS',  # Home Total Shots
                    'ATS',  # Away Total Shots
                    'HSI',  # Home Shots On Goal
                    'ASI',  # Away Shots On Goal
                    'HSO',  # Home Shots Off Goal
                    'ASO',  # Away Shots Off Goal
                    'HBS',  # Home Blocked Shots
                    'ABS',  # Away Blocked Shots
                    'HFK',  # Home Free Kicks
                    'AFK',  # Away Free Kicks
                    'HC',  # Home Corner Kicks
                    'AC',  # Away Corner Kicks
                    'HOFF',  # Home Offsides
                    'AOFF',  # Away Offsides
                    'HTI',  # Home Throw Ins
                    'ATI',  # Away Throw Ins
                    'HGS',  # Home Goalkeeper Saves
                    'AGS',  # Away Goalkeeper Saves
                    'HF',  # Home Fouls
                    'AF',  # Away Fouls
                    'HRC',  # Home Red Cards
                    'ARC',  # Away Red Cards
                    'HYC',  # Home Yellow Cards
                    'AYC',  # Away Yellow Cards
                    'HTP',  # Home Total Passes
                    'ATP',  # Away Total Passes
                    'HPC',  # Home Completed Passes
                    'APC',  # Away Completed Passes
                    'HT',  # Home Tackles
                    'AT',  # Away Tackles
                    'HA',  # Home Attacks
                    'AA',  # Away Attacks
                    'HDA',  # Home Dangerous Attacks
                    'ADA',  # Away Dangerous Attacks
                    'Resultado'
                    ",
04.06.2023 13:00,UTA Ar,,ad,-
03.06.2023 13:00,FC Arges,Dinamo Bucarest,4,2
01.06.2023 12:30,CFR Cl,,uj,-
29.05.2023 12:00,Dinamo Bucarest,FC Arges,6,1
28.05.2023 13:00,CFR Cluj,Farul Constanta,1,2
28.05.2023 13:00,Univ. Craiova,Sepsi Sf. Gheorghe,0,1
28.05.2023 06:00,Gloria Buzau,UTA Arad,0,0
27.05.2023 12:30,FCSB,Rapid Bucarest,1,5
26.05.2023 12:00,U Craiova 19,,48,-
22.05.2023 12:30,Rapid Bucarest,Univ. Craiova,2,3
21.05.2023 13:00,Farul Constanta,FCSB,3,2
20.05.2023 12:30,Sepsi Sf. Gheorghe,CFR Cluj,1,2
20.05.2023 06:45,Botosani,Mioveni,5,1
19.05.2023 12:00,Chindia Targoviste,FC Voluntari,2,2
19.05.2023 12:00,FC Arges,Petrolul,3,0
19.05.2023 12:00,UTA Arad,U Craiova 1948,1,1
19.05.2023 09:30,FC Hermannstadt,U. Cluj,1,2
14.05.2023 13:00,FCSB,CFR Cluj,1,0
14.05.2023 10:15,U Craiova 1948,FC Arges,2,1
14.05.2023 05:30,Mioveni,UTA Arad,0,2
13.05.2023 13:30,Univ. Craiova,Farul Constanta,1,1
13.05.2023 11:00,U. Cluj,Chindia Targoviste,2,0
13.05.2023 06:30,Petrolul,FC Hermannstadt,0,1
12.05.2023 12:30,Rapid Bucarest,Sepsi Sf. Gheorghe,0,0
12.05.2023 09:30,FC Voluntari,Botosani,2,0
08.05.2023 13:00,FCSB,Sepsi Sf. Gheorghe,3,1
08.05.2023 10:30,FC Arges,UTA Arad,2,2
08.05.2023 08:30,FC Hermannstadt,U Craiova 1948,0,0
07.05.2023 13:00,CFR Cluj,Univ. Craiova,1,1
06.05.2023 13:30,Farul Constanta,Rapid Bucarest,7,2
06.05.2023 04:30,Botosani,U. Cluj,0,0
