Date,HomeTeam,AwayTeam,"
                    'HG',  # Home Goals
                    'AG',  # Away Goals
                    'HP',  # Home Possession
                    'AP',  # Away Possession
                    'HTS',  # Home Total Shots
                    'ATS',  # Away Total Shots
                    'HSI',  # Home Shots On Goal
                    'ASI',  # Away Shots On Goal
                    'HSO',  # Home Shots Off Goal
                    'ASO',  # Away Shots Off Goal
                    'HBS',  # Home Blocked Shots
                    'ABS',  # Away Blocked Shots
                    'HFK',  # Home Free Kicks
                    'AFK',  # Away Free Kicks
                    'HC',  # Home Corner Kicks
                    'AC',  # Away Corner Kicks
                    'HOFF',  # Home Offsides
                    'AOFF',  # Away Offsides
                    'HTI',  # Home Throw Ins
                    'ATI',  # Away Throw Ins
                    'HGS',  # Home Goalkeeper Saves
                    'AGS',  # Away Goalkeeper Saves
                    'HF',  # Home Fouls
                    'AF',  # Away Fouls
                    'HRC',  # Home Red Cards
                    'ARC',  # Away Red Cards
                    'HYC',  # Home Yellow Cards
                    'AYC',  # Away Yellow Cards
                    'HTP',  # Home Total Passes
                    'ATP',  # Away Total Passes
                    'HPC',  # Home Completed Passes
                    'APC',  # Away Completed Passes
                    'HT',  # Home Tackles
                    'AT',  # Away Tackles
                    'HA',  # Home Attacks
                    'AA',  # Away Attacks
                    'HDA',  # Home Dangerous Attacks
                    'ADA',  # Away Dangerous Attacks
                    'Resultado'
                    ",
10.06.2023 09:30,F. Vorone,,zh,-
10.06.2023 06:30,Pari,,NN,-
07.06.2023 10:00,Rodina Moscow,Pari NN,0,3
07.06.2023 07:00,Yenisey,F. Voronezh,0,1
03.06.2023 09:00,Akhmat Grozny,Krasnodar,2,2
03.06.2023 09:00,CSKA Moscú,Rostov,4,1
03.06.2023 09:00,Kr. Sovetov,Spartak Moscú,1,0
03.06.2023 09:00,Lokomotiv Moscú,Torpedo Moscow,3,1
03.06.2023 09:00,Orenburg,Dinamo Moscú,3,0
03.06.2023 09:00,Pari NN,Khimki,2,0
03.06.2023 09:00,Ural,Sochi,1,0
03.06.2023 09:00,Zenit,F. Voronezh,1,0
28.05.2023 11:00,Rostov,Akhmat Grozny,3,2
28.05.2023 08:30,Dinamo Moscú,Lokomotiv Moscú,2,4
28.05.2023 08:30,F. Voronezh,Kr. Sovetov,2,1
28.05.2023 06:00,Spartak Moscú,Pari NN,0,0
27.05.2023 11:00,Krasnodar,CSKA Moscú,0,0
27.05.2023 11:00,Sochi,Zenit,1,1
27.05.2023 08:30,Torpedo Moscow,Orenburg,1,3
27.05.2023 06:00,Khimki,Ural,0,3
22.05.2023 11:00,Pari NN,Sochi,4,0
21.05.2023 11:00,Krasnodar,Rostov,3,0
21.05.2023 08:30,Spartak Moscú,CSKA Moscú,2,1
21.05.2023 06:00,Kr. Sovetov,Ural,3,0
20.05.2023 11:00,Akhmat Grozny,Khimki,3,0
20.05.2023 08:30,Orenburg,Zenit,2,2
20.05.2023 08:30,Torpedo Moscow,Dinamo Moscú,0,3
20.05.2023 06:00,Lokomotiv Moscú,F. Voronezh,1,0
14.05.2023 11:00,F. Voronezh,Pari NN,1,0
14.05.2023 11:00,Sochi,Rostov,1,0
14.05.2023 08:30,Dinamo Moscú,Akhmat Grozny,0,3
14.05.2023 06:00,Kr. Sovetov,Lokomotiv Moscú,1,1
13.05.2023 11:00,CSKA Moscú,Torpedo Moscow,3,0
13.05.2023 08:30,Zenit,Krasnodar,2,2
13.05.2023 06:00,Khimki,Spartak Moscú,1,1
13.05.2023 04:00,Ural,Orenburg,2,1
08.05.2023 09:00,Lokomotiv Moscú,Sochi,3,0
07.05.2023 11:00,Krasnodar,Kr. Sovetov,2,1
07.05.2023 10:00,Zenit,Spartak Moscú,3,2
07.05.2023 08:30,CSKA Moscú,Orenburg,2,1
07.05.2023 06:00,Pari NN,Ural,0,0
06.05.2023 11:00,Rostov,F. Voronezh,0,2
06.05.2023 08:30,Torpedo Moscow,Akhmat Grozny,1,5
06.05.2023 06:00,Khimki,Dinamo Moscú,0,1
30.04.2023 11:00,Lokomotiv Moscú,Khimki,5,1
30.04.2023 08:30,Sochi,Torpedo Moscow,3,1
30.04.2023 06:00,Orenburg,Pari NN,1,0
29.04.2023 11:30,Spartak Moscú,Rostov,1,1
29.04.2023 11:00,Krasnodar,Ural,1,1
29.04.2023 08:30,Akhmat Grozny,CSKA Moscú,1,3
29.04.2023 06:00,Kr. Sovetov,Zenit,1,5
28.04.2023 12:00,Dinamo Moscú,F. Voronezh,0,2
24.04.2023 11:00,Spartak Moscú,Krasnodar,4,3
23.04.2023 11:30,CSKA Moscú,Lokomotiv Moscú,1,1
23.04.2023 08:30,Akhmat Grozny,Sochi,1,0
23.04.2023 06:00,Pari NN,Kr. Sovetov,2,1
23.04.2023 04:00,Ural,Rostov,1,3
22.04.2023 11:00,Zenit,Dinamo Moscú,3,1
22.04.2023 08:30,F. Voronezh,Orenburg,1,3
22.04.2023 06:00,Khimki,Torpedo Moscow,4,2
16.04.2023 11:00,Rostov,Zenit,0,0
16.04.2023 08:30,F. Voronezh,Akhmat Grozny,1,1
16.04.2023 06:00,Orenburg,Lokomotiv Moscú,1,4
15.04.2023 11:00,Torpedo Moscow,Spartak Moscú,1,2
15.04.2023 08:30,Sochi,Krasnodar,0,2
15.04.2023 08:30,Ural,CSKA Moscú,1,2
15.04.2023 06:00,Dinamo Moscú,Pari NN,3,1
15.04.2023 06:00,Kr. Sovetov,Khimki,0,0
10.04.2023 09:00,Orenburg,Rostov,2,2
09.04.2023 12:00,Lokomotiv Moscú,Zenit,1,2
09.04.2023 11:00,Krasnodar,Pari NN,3,1
09.04.2023 08:30,CSKA Moscú,Khimki,3,0
09.04.2023 06:00,Sochi,Kr. Sovetov,1,2
08.04.2023 11:30,Spartak Moscú,Dinamo Moscú,3,3
08.04.2023 08:30,Akhmat Grozny,Ural,2,0
08.04.2023 06:00,Torpedo Moscow,F. Voronezh,2,0
02.04.2023 11:00,Rostov,Torpedo Moscow,2,1
02.04.2023 08:30,F. Voronezh,CSKA Moscú,0,2
02.04.2023 06:00,Khimki,Krasnodar,0,6
02.04.2023 06:00,Kr. Sovetov,Orenburg,1,1
01.04.2023 11:00,Zenit,Ural,2,0
01.04.2023 08:30,Spartak Moscú,Akhmat Grozny,0,0
01.04.2023 06:00,Dinamo Moscú,Sochi,0,2
01.04.2023 06:00,Pari NN,Lokomotiv Moscú,0,4
19.03.2023 11:30,CSKA Moscú,Zenit,1,0
19.03.2023 08:30,Kr. Sovetov,Akhmat Grozny,0,1
19.03.2023 08:30,Pari NN,Torpedo Moscow,0,3
19.03.2023 06:00,Khimki,Rostov,0,1
18.03.2023 11:30,Lokomotiv Moscú,Krasnodar,3,2
18.03.2023 08:30,F. Voronezh,Sochi,3,0
18.03.2023 06:15,Ural,Dinamo Moscú,0,1
18.03.2023 04:00,Orenburg,Spartak Moscú,2,0
