Date,HomeTeam,AwayTeam,"
                    'HG',  # Home Goals
                    'AG',  # Away Goals
                    'HP',  # Home Possession
                    'AP',  # Away Possession
                    'HTS',  # Home Total Shots
                    'ATS',  # Away Total Shots
                    'HSI',  # Home Shots On Goal
                    'ASI',  # Away Shots On Goal
                    'HSO',  # Home Shots Off Goal
                    'ASO',  # Away Shots Off Goal
                    'HBS',  # Home Blocked Shots
                    'ABS',  # Away Blocked Shots
                    'HFK',  # Home Free Kicks
                    'AFK',  # Away Free Kicks
                    'HC',  # Home Corner Kicks
                    'AC',  # Away Corner Kicks
                    'HOFF',  # Home Offsides
                    'AOFF',  # Away Offsides
                    'HTI',  # Home Throw Ins
                    'ATI',  # Away Throw Ins
                    'HGS',  # Home Goalkeeper Saves
                    'AGS',  # Away Goalkeeper Saves
                    'HF',  # Home Fouls
                    'AF',  # Away Fouls
                    'HRC',  # Home Red Cards
                    'ARC',  # Away Red Cards
                    'HYC',  # Home Yellow Cards
                    'AYC',  # Away Yellow Cards
                    'HTP',  # Home Total Passes
                    'ATP',  # Away Total Passes
                    'HPC',  # Home Completed Passes
                    'APC',  # Away Completed Passes
                    'HT',  # Home Tackles
                    'AT',  # Away Tackles
                    'HA',  # Home Attacks
                    'AA',  # Away Attacks
                    'HDA',  # Home Dangerous Attacks
                    'ADA',  # Away Dangerous Attacks
                    'Resultado'
                    ",
03.06.2023 12:00,Xam,,ax,-
31.05.2023 12:30,Rapperswil,Xamax,1,3
27.05.2023 11:00,Aarau,Lausanne,2,2
27.05.2023 11:00,Lausanne Ouchy,Bellinzona,6,0
27.05.2023 11:00,Thun,Schaffhausen,2,3
27.05.2023 11:00,Wil,Yverdon,0,2
27.05.2023 11:00,Xamax,Vaduz,1,6
23.05.2023 13:15,Bellinzona,Thun,3,0
23.05.2023 13:15,Lausanne,Wil,2,0
23.05.2023 13:15,Schaffhausen,Xamax,1,1
23.05.2023 13:15,Vaduz,Lausanne Ouchy,2,2
23.05.2023 13:15,Yverdon,Aarau,1,1
20.05.2023 11:00,Wil,Vaduz,2,0
19.05.2023 13:15,Aarau,Schaffhausen,2,0
19.05.2023 13:15,Lausanne Ouchy,Yverdon,4,1
19.05.2023 13:15,Thun,Lausanne,3,3
19.05.2023 13:15,Xamax,Bellinzona,3,0
14.05.2023 07:15,Vaduz,Aarau,0,1
13.05.2023 11:00,Yverdon,Thun,1,0
12.05.2023 13:15,Lausanne,Xamax,2,1
12.05.2023 12:30,Bellinzona,Wil,3,2
12.05.2023 12:30,Schaffhausen,Lausanne Ouchy,2,4
07.05.2023 09:30,Thun,Vaduz,3,3
05.05.2023 13:15,Aarau,Wil,0,0
05.05.2023 12:30,Schaffhausen,Bellinzona,2,1
05.05.2023 12:30,Yverdon,Lausanne,1,0
05.05.2023 11:30,Lausanne Ouchy,Xamax,2,0
30.04.2023 07:15,Bellinzona,Aarau,0,1
30.04.2023 07:15,Vaduz,Yverdon,0,0
28.04.2023 13:15,Lausanne,Schaffhausen,1,1
28.04.2023 12:30,Wil,Lausanne Ouchy,1,2
28.04.2023 12:30,Xamax,Thun,1,1
23.04.2023 07:15,Vaduz,Lausanne,1,1
22.04.2023 11:00,Aarau,Xamax,5,2
22.04.2023 11:00,Lausanne Ouchy,Thun,2,2
21.04.2023 13:15,Wil,Schaffhausen,3,1
21.04.2023 13:00,Yverdon,Bellinzona,1,2
16.04.2023 09:30,Lausanne,Lausanne Ouchy,2,1
16.04.2023 07:15,Bellinzona,Vaduz,1,6
14.04.2023 13:15,Thun,Aarau,2,3
14.04.2023 12:30,Schaffhausen,Yverdon,3,4
14.04.2023 12:30,Xamax,Wil,0,1
10.04.2023 07:15,Vaduz,Schaffhausen,1,4
08.04.2023 11:00,Lausanne Ouchy,Aarau,3,4
08.04.2023 11:00,Wil,Thun,1,2
07.04.2023 13:15,Yverdon,Xamax,2,0
07.04.2023 12:30,Bellinzona,Lausanne,1,0
02.04.2023 09:30,Lausanne,Yverdon,2,0
02.04.2023 09:30,Xamax,Lausanne Ouchy,1,1
02.04.2023 07:15,Aarau,Vaduz,0,2
31.03.2023 13:15,Thun,Bellinzona,2,0
31.03.2023 12:30,Schaffhausen,Wil,4,1
19.03.2023 10:30,Lausanne,Thun,1,3
19.03.2023 08:15,Bellinzona,Xamax,1,1
18.03.2023 12:00,Lausanne Ouchy,Vaduz,0,0
17.03.2023 14:15,Wil,Aarau,0,3
17.03.2023 13:30,Yverdon,Schaffhausen,2,0
12.03.2023 10:30,Thun,Wil,1,1
12.03.2023 10:30,Xamax,Yverdon,1,2
12.03.2023 08:15,Vaduz,Bellinzona,2,1
11.03.2023 12:00,Aarau,Lausanne Ouchy,2,3
10.03.2023 14:15,Schaffhausen,Lausanne,1,2
05.03.2023 10:30,Lausanne,Vaduz,0,0
05.03.2023 08:15,Bellinzona,Lausanne Ouchy,0,1
05.03.2023 08:15,Schaffhausen,Thun,0,5
03.03.2023 14:15,Xamax,Aarau,0,0
03.03.2023 13:30,Yverdon,Wil,1,1
26.02.2023 08:15,Aarau,Bellinzona,2,0
26.02.2023 08:15,Lausanne Ouchy,Schaffhausen,0,4
26.02.2023 08:15,Vaduz,Xamax,1,2
24.02.2023 14:15,Wil,Lausanne,1,2
24.02.2023 13:30,Thun,Yverdon,3,1
19.02.2023 10:30,Lausanne,Bellinzona,1,1
17.02.2023 14:15,Thun,Lausanne Ouchy,1,1
17.02.2023 13:30,Schaffhausen,Aarau,2,2
17.02.2023 13:30,Wil,Xamax,3,2
17.02.2023 13:30,Yverdon,Vaduz,2,2
12.02.2023 08:15,Bellinzona,Schaffhausen,0,2
12.02.2023 08:15,Lausanne Ouchy,Wil,3,4
12.02.2023 08:15,Vaduz,Thun,0,3
10.02.2023 14:15,Aarau,Yverdon,1,2
10.02.2023 13:30,Xamax,Lausanne,2,3
05.02.2023 10:30,Thun,Xamax,1,0
05.02.2023 08:15,Wil,Bellinzona,3,0
03.02.2023 14:15,Lausanne,Aarau,4,1
03.02.2023 13:30,Schaffhausen,Vaduz,1,0
03.02.2023 13:30,Yverdon,Lausanne Ouchy,1,0
29.01.2023 10:30,Lausanne Ouchy,Lausanne,2,4
