Date,HomeTeam,AwayTeam,"
                    'HG',  # Home Goals
                    'AG',  # Away Goals
                    'HP',  # Home Possession
                    'AP',  # Away Possession
                    'HTS',  # Home Total Shots
                    'ATS',  # Away Total Shots
                    'HSI',  # Home Shots On Goal
                    'ASI',  # Away Shots On Goal
                    'HSO',  # Home Shots Off Goal
                    'ASO',  # Away Shots Off Goal
                    'HBS',  # Home Blocked Shots
                    'ABS',  # Away Blocked Shots
                    'HFK',  # Home Free Kicks
                    'AFK',  # Away Free Kicks
                    'HC',  # Home Corner Kicks
                    'AC',  # Away Corner Kicks
                    'HOFF',  # Home Offsides
                    'AOFF',  # Away Offsides
                    'HTI',  # Home Throw Ins
                    'ATI',  # Away Throw Ins
                    'HGS',  # Home Goalkeeper Saves
                    'AGS',  # Away Goalkeeper Saves
                    'HF',  # Home Fouls
                    'AF',  # Away Fouls
                    'HRC',  # Home Red Cards
                    'ARC',  # Away Red Cards
                    'HYC',  # Home Yellow Cards
                    'AYC',  # Away Yellow Cards
                    'HTP',  # Home Total Passes
                    'ATP',  # Away Total Passes
                    'HPC',  # Home Completed Passes
                    'APC',  # Away Completed Passes
                    'HT',  # Home Tackles
                    'AT',  # Away Tackles
                    'HA',  # Home Attacks
                    'AA',  # Away Attacks
                    'HDA',  # Home Dangerous Attacks
                    'ADA',  # Away Dangerous Attacks
                    'Resultado'
                    ",
06.06.2023 13:30,Lausanne Ouc,,hy,-
03.06.2023 11:00,Sion,Lausanne Ouchy,0,2
29.05.2023 09:30,Basilea,Grasshoppers,3,1
29.05.2023 09:30,Lucerna,Servette,0,1
29.05.2023 09:30,St. Gallen,Sion,4,0
29.05.2023 09:30,Young Boys,Winterthur,2,1
29.05.2023 09:30,Zúrich,Lugano,2,3
25.05.2023 13:30,Grasshoppers,St. Gallen,2,2
25.05.2023 13:30,Lugano,Young Boys,2,0
25.05.2023 13:30,Servette,Basilea,3,3
25.05.2023 13:30,Sion,Lucerna,1,2
25.05.2023 13:30,Winterthur,Zúrich,0,2
21.05.2023 09:30,Basilea,Lugano,1,1
21.05.2023 09:30,Zúrich,Grasshoppers,2,1
21.05.2023 07:15,Sion,Young Boys,0,2
20.05.2023 13:30,Lucerna,St. Gallen,1,1
20.05.2023 11:00,Winterthur,Servette,0,1
14.05.2023 09:30,Lugano,Winterthur,2,1
14.05.2023 09:30,St. Gallen,Basilea,6,1
14.05.2023 07:15,Young Boys,Zúrich,1,1
13.05.2023 13:30,Servette,Sion,5,0
13.05.2023 11:00,Grasshoppers,Lucerna,2,0
07.05.2023 09:30,Basilea,Zúrich,0,2
07.05.2023 09:30,Grasshoppers,Servette,2,3
07.05.2023 07:15,Lucerna,Lugano,2,2
06.05.2023 13:30,St. Gallen,Young Boys,0,2
06.05.2023 11:00,Sion,Winterthur,0,1
30.04.2023 09:30,Winterthur,Basilea,1,4
30.04.2023 09:30,Young Boys,Lucerna,5,1
30.04.2023 07:15,Zúrich,Sion,2,2
29.04.2023 13:30,Lugano,Grasshoppers,5,1
29.04.2023 13:30,Servette,St. Gallen,1,1
27.04.2023 13:30,Lucerna,Winterthur,3,1
27.04.2023 13:30,Sion,Basilea,1,2
26.04.2023 13:30,Servette,Zúrich,4,0
26.04.2023 13:30,St. Gallen,Lugano,1,2
25.04.2023 13:30,Grasshoppers,Young Boys,4,1
23.04.2023 09:30,Lugano,Sion,2,0
23.04.2023 09:30,Zúrich,St. Gallen,1,0
23.04.2023 07:15,Basilea,Lucerna,0,2
22.04.2023 13:30,Young Boys,Servette,6,1
22.04.2023 11:00,Winterthur,Grasshoppers,1,2
16.04.2023 09:30,Basilea,Young Boys,1,1
16.04.2023 09:30,Grasshoppers,Sion,1,3
16.04.2023 07:15,St. Gallen,Winterthur,2,3
15.04.2023 13:30,Lucerna,Zúrich,4,1
15.04.2023 11:00,Servette,Lugano,0,0
10.04.2023 09:30,Winterthur,Lucerna,1,2
10.04.2023 09:30,Young Boys,Grasshoppers,2,0
10.04.2023 07:15,Lugano,St. Gallen,1,1
08.04.2023 13:30,Sion,Servette,2,2
08.04.2023 11:00,Zúrich,Basilea,1,1
02.04.2023 09:30,Lucerna,Sion,1,2
02.04.2023 09:30,St. Gallen,Zúrich,2,2
02.04.2023 07:15,Grasshoppers,Lugano,2,1
01.04.2023 13:30,Basilea,Winterthur,2,0
01.04.2023 11:00,Servette,Young Boys,2,1
19.03.2023 10:30,Lugano,Servette,1,1
19.03.2023 10:30,Young Boys,Basilea,3,0
19.03.2023 08:15,Winterthur,St. Gallen,1,0
18.03.2023 14:30,Sion,Grasshoppers,1,2
18.03.2023 12:00,Zúrich,Lucerna,2,1
12.03.2023 10:30,Basilea,St. Gallen,1,1
12.03.2023 10:30,Grasshoppers,Winterthur,2,1
12.03.2023 08:15,Servette,Lucerna,0,3
11.03.2023 14:30,Lugano,Zúrich,2,0
11.03.2023 12:00,Young Boys,Sion,4,0
05.03.2023 10:30,Sion,Lugano,1,1
05.03.2023 10:30,Zúrich,Servette,1,1
05.03.2023 08:15,St. Gallen,Grasshoppers,1,1
04.03.2023 14:30,Lucerna,Basilea,0,1
04.03.2023 12:00,Winterthur,Young Boys,1,1
26.02.2023 10:30,Lugano,Basilea,2,2
26.02.2023 10:30,Servette,Winterthur,1,1
26.02.2023 08:15,Lucerna,Grasshoppers,1,0
25.02.2023 14:30,Zúrich,Young Boys,2,2
25.02.2023 12:00,Sion,St. Gallen,0,4
19.02.2023 10:30,Basilea,Servette,2,2
19.02.2023 10:30,Grasshoppers,Zúrich,1,2
19.02.2023 08:15,St. Gallen,Lucerna,2,2
18.02.2023 14:30,Young Boys,Lugano,1,1
18.02.2023 12:00,Winterthur,Sion,1,1
15.02.2023 12:45,Winterthur,Servette,1,2
12.02.2023 10:30,Young Boys,St. Gallen,5,1
12.02.2023 10:30,Zúrich,Winterthur,1,1
12.02.2023 08:15,Lugano,Lucerna,1,1
11.02.2023 14:30,Basilea,Sion,3,1
