Date,HomeTeam,AwayTeam,HG,AG,HP,AP,HTS,ATS,HSI,ASI,HSO,ASO,HBS,ABS,HFK,AFK,HC,AC,HOFF,AOFF,HTI,ATI,HGS,AGS,HF,AF,HRC,ARC,HYC,AYC,HTP,ATP,HPC,APC,HT,AT,HA,AA,HDA,ADA,Resultado
08.06.2023 12:00,Pendiksp,,or,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
04.06.2023 08:00,Bodrumsp,,or,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
31.05.2023 12:00,Eyupspor,Bodrumspor,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
26.05.2023 12:00,Sakaryaspor,,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
26.05.2023 09:00,Bodrumsp,,or,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
21.05.2023 12:00,Adanaspor,Samsunspor,0,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
21.05.2023 12:00,Yeni Malatyaspor,Denizlispor,0,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
21.05.2023 08:00,Bandirmaspor,Genclerbirligi,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
21.05.2023 08:00,Bodrumspor,Göztepe,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
21.05.2023 08:00,Erzurumspor,Boluspor,2,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
21.05.2023 08:00,Eyupspor,Keciorengucu,2,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
21.05.2023 08:00,Manisa FK,Pendikspor,1,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
21.05.2023 08:00,Rizespor,Altinordu,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20.05.2023 11:00,Altay,Tuzlaspor,3,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
16.05.2023 12:00,Denizlispor,Adanaspor,3,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
16.05.2023 12:00,Keciorengucu,Yeni Malatyaspor,3,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
