Date,HomeTeam,AwayTeam,HG,AG,HP,AP,HTS,ATS,HSI,ASI,HSO,ASO,HBS,ABS,HFK,AFK,HC,AC,HOFF,AOFF,HTI,ATI,HGS,AGS,HF,AF,HRC,ARC,HYC,AYC,HTP,ATP,HPC,APC,HT,AT,HA,AA,HDA,ADA,Resultado
28.08.2023 13:00,Giresunspor,Bandirmaspor,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
27.08.2023 13:45,Kocaelispor,Altay,3,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
27.08.2023 11:15,Boluspor,Sanliurfaspor,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
27.08.2023 09:00,Keciorengucu,Adanaspor,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
26.08.2023 13:45,Göztepe,Corum,1,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
26.08.2023 11:15,Sakaryaspor,Umraniyespor,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
26.08.2023 09:00,Genclerbirligi,Bodrumspor,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
26.08.2023 09:00,Tuzlaspor,Eyupspor,0,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
25.08.2023 13:00,Erzurumspor,Manisa FK,1,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
21.08.2023 13:00,Eyupspor,Kocaelispor,2,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20.08.2023 13:45,Altay,Tuzlaspor,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20.08.2023 11:15,Sakaryaspor,Genclerbirligi,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20.08.2023 09:00,Bandirmaspor,Boluspor,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20.08.2023 09:00,Manisa FK,Keciorengucu,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
19.08.2023 13:45,Adanaspor,Sanliurfaspor,1,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
19.08.2023 11:15,Umraniyespor,Göztepe,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
19.08.2023 09:00,Bodrumspor,Erzurumspor,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18.08.2023 13:00,Corum,Giresunspor,0,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14.08.2023 13:00,Sanliurfaspor,Altay,2,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13.08.2023 13:45,Göztepe,Sakaryaspor,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13.08.2023 11:15,Erzurumspor,Bandirmaspor,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13.08.2023 09:00,Genclerbirligi,Umraniyespor,2,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13.08.2023 09:00,Tuzlaspor,Corum,0,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12.08.2023 13:45,Kocaelispor,Manisa FK,0,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12.08.2023 11:15,Giresunspor,Bodrumspor,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12.08.2023 09:00,Keciorengucu,Eyupspor,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11.08.2023 13:00,Boluspor,Adanaspor,0,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
