Date,HomeTeam,AwayTeam,HG,AG,HP,AP,HTS,ATS,HSI,ASI,HSO,ASO,HBS,ABS,HFK,AFK,HC,AC,HOFF,AOFF,HTI,ATI,HGS,AGS,HF,AF,HRC,ARC,HYC,AYC,HTP,ATP,HPC,APC,HT,AT,HA,AA,HDA,ADA,Resultado
17.02.2023 09:00,Kasimpasa,Antalyaspor,1.583333333333333,0.8888888888888888,44.083333333333336%,49.0%,13.416666666666666,9.0,5.25,3.111111111111111,5.416666666666667,3.5555555555555554,2.75,2.3333333333333335,15.333333333333334,14.777777777777779,4.833333333333333,2.888888888888889,2.6666666666666665,1.4444444444444444,17.166666666666668,20.555555555555557,2.5833333333333335,2.4444444444444446,14.583333333333334,11.555555555555555,0.16666666666666666,0.1111111111111111,2.5833333333333335,2.0,376.4166666666667,464.44444444444446,290.5,373.6666666666667,16.75,18.555555555555557,90.25,90.77777777777777,60.666666666666664,50.888888888888886,
17.02.2023 12:00,Beşiktaş,Ankaragucu,2.1,1.1,53.1%,50.6%,17.1,11.1,6.5,3.7,7.3,4.7,3.3,2.7,16.3,14.4,5.7,4.5,2.2,2.3,19.5,20.1,2.0,4.0,15.9,12.9,0.1,0.0,2.5,2.4,451.9,440.0,368.8,352.1,17.9,16.6,121.6,94.6,84.1,60.6,
18.02.2023 05:30,Karagumruk,Sivasspor,2.2,1.272727272727273,46.4%,41.81818181818182%,11.0,10.454545454545455,4.6,4.363636363636363,3.5,4.2727272727272725,2.9,1.8181818181818181,15.6,15.363636363636363,4.6,3.6363636363636362,2.0,2.0,21.9,21.454545454545453,3.3,4.181818181818182,13.0,13.272727272727273,0.2,0.0,2.6,2.090909090909091,431.3,365.27272727272725,347.1,279.0,11.9,18.90909090909091,88.1,89.0,59.2,49.36363636363637,
18.02.2023 08:00,Alanyaspor,Başakşehir,1.909090909090909,1.3,57.72727272727273%,55.4%,11.0,11.6,4.2727272727272725,3.9,4.545454545454546,4.0,2.1818181818181817,3.7,15.454545454545455,15.0,5.545454545454546,5.2,1.6363636363636365,2.1,18.363636363636363,20.5,3.272727272727273,2.4,15.181818181818182,11.9,0.0,0.1,2.5454545454545454,2.2,528.0,507.9,443.90909090909093,428.6,18.818181818181817,15.5,95.9090909090909,109.1,69.72727272727273,67.3,
18.02.2023 11:00,Trabzonspor,Umraniyespor,1.727272727272727,1.5,54.81818181818182%,46.1%,17.272727272727273,11.4,6.181818181818182,4.2,6.0,4.7,5.090909090909091,2.5,16.454545454545453,13.8,6.090909090909091,4.1,2.4545454545454546,1.8,21.818181818181817,22.6,2.3636363636363638,4.9,14.090909090909092,12.7,0.0,0.1,2.0,2.1,504.90909090909093,372.2,418.6363636363636,289.0,16.545454545454547,13.2,109.0,88.7,68.0,59.8,
19.02.2023 05:30,Konyaspor,Giresunspor,0.8181818181818182,0.9166666666666666,51.18181818181818%,39.333333333333336%,12.909090909090908,9.833333333333334,4.909090909090909,4.083333333333333,5.636363636363637,3.1666666666666665,2.3636363636363638,2.5833333333333335,16.363636363636363,14.333333333333334,4.909090909090909,3.0833333333333335,2.5454545454545454,2.75,21.272727272727273,18.5,2.1818181818181817,2.75,11.181818181818182,12.083333333333334,0.09090909090909091,0.16666666666666666,2.5454545454545454,2.5,442.0,347.5833333333333,364.6363636363636,264.4166666666667,15.181818181818182,17.166666666666668,105.18181818181819,83.83333333333333,69.9090909090909,54.333333333333336,
19.02.2023 11:00,Kayserispor,Fenerbahçe,1.636363636363636,2.1,55.27272727272727%,59.0%,13.818181818181818,15.7,4.2727272727272725,4.9,6.090909090909091,6.4,3.4545454545454546,4.4,13.909090909090908,20.5,5.545454545454546,5.5,2.0,2.1,24.272727272727273,22.9,3.1818181818181817,2.4,11.636363636363637,14.8,0.0,0.2,2.272727272727273,2.2,487.90909090909093,489.9,407.45454545454544,399.1,18.181818181818183,14.4,97.72727272727273,108.8,63.63636363636363,73.6,
21.02.2023 12:00,Beşiktaş,Antalyaspor,2.1,0.8888888888888888,53.1%,49.0%,17.1,9.0,6.5,3.111111111111111,7.3,3.5555555555555554,3.3,2.3333333333333335,16.3,14.777777777777779,5.7,2.888888888888889,2.2,1.4444444444444444,19.5,20.555555555555557,2.0,2.4444444444444446,15.9,11.555555555555555,0.1,0.1111111111111111,2.5,2.0,451.9,464.44444444444446,368.8,373.6666666666667,17.9,18.555555555555557,121.6,90.77777777777777,84.1,50.888888888888886,
22.02.2023 12:00,Fenerbahçe,Konyaspor,2.818181818181818,1.5,56.63636363636363%,48.6%,16.363636363636363,13.2,7.0,4.5,5.636363636363637,5.2,3.727272727272727,3.5,22.545454545454547,15.5,5.818181818181818,3.7,1.3636363636363635,1.9,20.272727272727273,19.2,2.1818181818181817,2.9,15.181818181818182,12.4,0.2727272727272727,0.2,2.727272727272727,2.8,436.72727272727275,419.1,357.27272727272725,344.7,17.363636363636363,14.6,98.45454545454545,88.2,70.0909090909091,58.5,
22.02.2023 12:00,Giresunspor,Kayserispor,1,1.5,50.77777777777778%,48.9%,14.333333333333334,10.3,4.444444444444445,3.4,5.222222222222222,3.6,4.666666666666667,3.3,16.11111111111111,16.8,7.666666666666667,4.3,2.0,2.4,24.11111111111111,18.6,2.888888888888889,3.8,13.11111111111111,14.6,0.0,0.1,3.0,1.7,388.0,440.1,293.55555555555554,358.1,16.88888888888889,16.3,97.55555555555556,92.1,76.0,57.9,
