Date,HomeTeam,AwayTeam,HG,AG,HP,AP,HTS,ATS,HSI,ASI,HSO,ASO,HBS,ABS,HFK,AFK,HC,AC,HOFF,AOFF,HTI,ATI,HGS,AGS,HF,AF,HRC,ARC,HYC,AYC,HTP,ATP,HPC,APC,HT,AT,HA,AA,HDA,ADA,Resultado
07.06.2023 12:00,Ankaragucu,Adana Demirspor,1,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
07.06.2023 12:00,Beşiktaş,Konyaspor,3,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
07.06.2023 12:00,Fenerbahçe,Gaziantep,3,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
07.06.2023 12:00,Giresunspor,Antalyaspor,2,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
07.06.2023 12:00,Hatayspor,Galatasaray,0,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
07.06.2023 12:00,Istanbulspor,Umraniyespor,4,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
06.06.2023 12:00,Başakşehir,Trabzonspor,3,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
06.06.2023 09:00,Karagumruk,Kasimpasa,3,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
06.06.2023 09:00,Sivasspor,Kayserispor,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
04.06.2023 11:00,Galatasaray,Fenerbahçe,3,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
03.06.2023 11:00,Adana Demirspor,Başakşehir,2,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
03.06.2023 11:00,Antalyaspor,Hatayspor,3,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
03.06.2023 11:00,Gaziantep,Istanbulspor,0,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
03.06.2023 11:00,Kasimpasa,Beşiktaş,2,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
03.06.2023 11:00,Kayserispor,Ankaragucu,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
03.06.2023 11:00,Trabzonspor,Alanyaspor,5,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
