Date,HomeTeam,AwayTeam,"
                    'HG',  # Home Goals
                    'AG',  # Away Goals
                    'HP',  # Home Possession
                    'AP',  # Away Possession
                    'HTS',  # Home Total Shots
                    'ATS',  # Away Total Shots
                    'HSI',  # Home Shots On Goal
                    'ASI',  # Away Shots On Goal
                    'HSO',  # Home Shots Off Goal
                    'ASO',  # Away Shots Off Goal
                    'HBS',  # Home Blocked Shots
                    'ABS',  # Away Blocked Shots
                    'HFK',  # Home Free Kicks
                    'AFK',  # Away Free Kicks
                    'HC',  # Home Corner Kicks
                    'AC',  # Away Corner Kicks
                    'HOFF',  # Home Offsides
                    'AOFF',  # Away Offsides
                    'HTI',  # Home Throw Ins
                    'ATI',  # Away Throw Ins
                    'HGS',  # Home Goalkeeper Saves
                    'AGS',  # Away Goalkeeper Saves
                    'HF',  # Home Fouls
                    'AF',  # Away Fouls
                    'HRC',  # Home Red Cards
                    'ARC',  # Away Red Cards
                    'HYC',  # Home Yellow Cards
                    'AYC',  # Away Yellow Cards
                    'HTP',  # Home Total Passes
                    'ATP',  # Away Total Passes
                    'HPC',  # Home Completed Passes
                    'APC',  # Away Completed Passes
                    'HT',  # Home Tackles
                    'AT',  # Away Tackles
                    'HA',  # Home Attacks
                    'AA',  # Away Attacks
                    'HDA',  # Home Dangerous Attacks
                    'ADA',  # Away Dangerous Attacks
                    'Resultado'
                    ",
09.06.2023 06:00,FSC Mariupol,Khust,0,1
03.06.2023 06:00,Khust,FSC Mariupol,1,1
27.05.2023 06:00,Karpaty Lviv,Obolon,1,1
27.05.2023 06:00,Nyva Ternopil,MFC Metalurh,1,1
27.05.2023 06:00,Zhytomyr,LNZ Cherkasy,2,1
27.05.2023 04:00,Epitsentr,Kremin,3,1
26.05.2023 06:00,FC Chernihiv,Prykarpattya,0,2
26.05.2023 06:00,Hirnyk-Sport,FSC Mariupol,1,0
26.05.2023 06:00,SC Poltava,Dinaz Vyshgorod,1,2
26.05.2023 06:00,Skoruk Tomakovka,Bukovyna,0,0
22.05.2023 09:00,Obolon,Zhytomyr,1,1
22.05.2023 06:00,LNZ Cherkasy,Karpaty Lviv,4,1
22.05.2023 06:00,MFC Metalurh,Epitsentr,1,0
22.05.2023 04:00,Kremin,Nyva Ternopil,2,2
20.05.2023 06:00,Bukovyna,Hirnyk-Sport,3,2
20.05.2023 06:00,Dinaz Vyshgorod,FC Chernihiv,1,0
20.05.2023 06:00,FSC Mariupol,Skoruk Tomakovka,0,3
20.05.2023 06:00,Prykarpattya,SC Poltava,0,1
14.05.2023 09:00,Zhytomyr,Kremin,5,0
14.05.2023 06:00,Nyva Ternopil,Obolon,1,2
14.05.2023 05:00,Skoruk Tomakovka,Prykarpattya,0,0
14.05.2023 04:00,FC Chernihiv,Bukovyna,1,1
13.05.2023 09:00,Karpaty Lviv,MFC Metalurh,0,1
13.05.2023 07:00,Hirnyk-Sport,Dinaz Vyshgorod,1,1
13.05.2023 06:30,Epitsentr,LNZ Cherkasy,0,2
13.05.2023 05:30,SC Poltava,FSC Mariupol,0,4
07.05.2023 08:00,MFC Metalurh,Zhytomyr,0,1
07.05.2023 06:00,Bukovyna,SC Poltava,2,2
07.05.2023 05:30,Kremin,Karpaty Lviv,1,1
07.05.2023 05:00,FSC Mariupol,FC Chernihiv,1,1
06.05.2023 08:00,Obolon,Epitsentr,2,1
06.05.2023 06:00,Dinaz Vyshgorod,Skoruk Tomakovka,1,1
06.05.2023 05:30,LNZ Cherkasy,Nyva Ternopil,1,1
06.05.2023 05:00,Prykarpattya,Hirnyk-Sport,6,1
01.05.2023 05:00,LNZ Cherkasy,Zhytomyr,1,2
30.04.2023 07:30,MFC Metalurh,Nyva Ternopil,1,1
30.04.2023 06:00,FSC Mariupol,Hirnyk-Sport,2,1
30.04.2023 05:30,Bukovyna,Skoruk Tomakovka,1,1
