Date,HomeTeam,AwayTeam,"
                    'HG',  # Home Goals
                    'AG',  # Away Goals
                    'HP',  # Home Possession
                    'AP',  # Away Possession
                    'HTS',  # Home Total Shots
                    'ATS',  # Away Total Shots
                    'HSI',  # Home Shots On Goal
                    'ASI',  # Away Shots On Goal
                    'HSO',  # Home Shots Off Goal
                    'ASO',  # Away Shots Off Goal
                    'HBS',  # Home Blocked Shots
                    'ABS',  # Away Blocked Shots
                    'HFK',  # Home Free Kicks
                    'AFK',  # Away Free Kicks
                    'HC',  # Home Corner Kicks
                    'AC',  # Away Corner Kicks
                    'HOFF',  # Home Offsides
                    'AOFF',  # Away Offsides
                    'HTI',  # Home Throw Ins
                    'ATI',  # Away Throw Ins
                    'HGS',  # Home Goalkeeper Saves
                    'AGS',  # Away Goalkeeper Saves
                    'HF',  # Home Fouls
                    'AF',  # Away Fouls
                    'HRC',  # Home Red Cards
                    'ARC',  # Away Red Cards
                    'HYC',  # Home Yellow Cards
                    'AYC',  # Away Yellow Cards
                    'HTP',  # Home Total Passes
                    'ATP',  # Away Total Passes
                    'HPC',  # Home Completed Passes
                    'APC',  # Away Completed Passes
                    'HT',  # Home Tackles
                    'AT',  # Away Tackles
                    'HA',  # Home Attacks
                    'AA',  # Away Attacks
                    'HDA',  # Home Dangerous Attacks
                    'ADA',  # Away Dangerous Attacks
                    'Resultado'
                    ",
14.06.2023 07:00,LNZ Cherka,,sy,-
14.06.2023 05:00,Veres-Riv,,ne,-
10.06.2023 09:00,Inhulets,LNZ Cherkasy,1,1
10.06.2023 09:00,MFC Metalurh,Veres-Rivne,1,0
04.06.2023 07:00,Dnipro-1,Kryvbas,1,0
04.06.2023 07:00,Kolos Kovalivka,Lviv,1,0
04.06.2023 07:00,Metalist 1925,Dinamo Kiev,1,1
04.06.2023 07:00,Metalist Kharkiv,Ch. Odessa,0,3
04.06.2023 07:00,Minaj,Zorya,3,0
04.06.2023 07:00,Rukh Lviv,Oleksandriya,0,0
04.06.2023 07:00,Veres-Rivne,Inhulets,1,0
04.06.2023 07:00,Vorskla,Shakhtar,2,1
29.05.2023 07:00,Ch. Odessa,Rukh Lviv,1,3
29.05.2023 07:00,Dinamo Kiev,Veres-Rivne,3,0
29.05.2023 07:00,Lviv,Inhulets,0,2
29.05.2023 07:00,Metalist 1925,Kryvbas,0,2
29.05.2023 07:00,Metalist Kharkiv,Minaj,1,2
29.05.2023 07:00,Vorskla,Kolos Kovalivka,2,0
28.05.2023 07:00,Oleksandriya,Zorya,0,2
28.05.2023 07:00,Shakhtar,Dnipro-1,3,0
25.05.2023 07:00,Kryvbas,Metalist Kharkiv,2,0
25.05.2023 06:00,Inhulets,Metalist 1925,0,0
25.05.2023 06:00,Lviv,Ch. Odessa,0,1
25.05.2023 05:00,Minaj,Rukh Lviv,0,0
24.05.2023 09:00,Zorya,Shakhtar,0,3
24.05.2023 07:00,Veres-Rivne,Oleksandriya,2,2
24.05.2023 05:00,Dnipro-1,Vorskla,1,2
24.05.2023 05:00,Kolos Kovalivka,Dinamo Kiev,0,3
21.05.2023 09:00,Rukh Lviv,Lviv,2,0
21.05.2023 07:00,Metalist 1925,Metalist Kharkiv,2,0
20.05.2023 07:00,Oleksandriya,Dinamo Kiev,1,5
20.05.2023 06:00,Zorya,Inhulets,2,0
20.05.2023 05:00,Ch. Odessa,Minaj,0,1
19.05.2023 09:00,Shakhtar,Veres-Rivne,2,1
19.05.2023 07:00,Vorskla,Kryvbas,1,0
19.05.2023 06:00,Dnipro-1,Kolos Kovalivka,2,1
15.05.2023 07:00,Kolos Kovalivka,Oleksandriya,0,2
15.05.2023 05:00,Minaj,Dnipro-1,0,1
14.05.2023 07:00,Kryvbas,Rukh Lviv,1,0
14.05.2023 06:00,Veres-Rivne,Metalist 1925,1,0
14.05.2023 05:00,Lviv,Vorskla,0,2
14.05.2023 05:00,Metalist Kharkiv,Zorya,0,5
13.05.2023 09:00,Inhulets,Shakhtar,0,2
13.05.2023 06:00,Dinamo Kiev,Ch. Odessa,2,3
11.05.2023 05:00,Dnipro-1,Oleksandriya,1,1
08.05.2023 09:00,Zorya,Metalist 1925,3,0
08.05.2023 07:00,Rukh Lviv,Inhulets,3,0
08.05.2023 07:00,Veres-Rivne,Kolos Kovalivka,0,1
08.05.2023 06:00,Minaj,Vorskla,2,0
08.05.2023 05:00,Kryvbas,Dinamo Kiev,0,1
07.05.2023 07:00,Oleksandriya,Shakhtar,1,1
07.05.2023 05:00,Ch. Odessa,Dnipro-1,1,2
07.05.2023 05:00,Metalist Kharkiv,Lviv,1,0
04.05.2023 07:00,Vorskla,Dinamo Kiev,1,2
04.05.2023 05:00,Inhulets,Kryvbas,0,0
04.05.2023 05:00,Metalist 1925,Rukh Lviv,0,0
03.05.2023 07:00,Ch. Odessa,Kolos Kovalivka,3,0
03.05.2023 07:00,Zorya,Veres-Rivne,1,0
03.05.2023 06:00,Lviv,Oleksandriya,0,1
03.05.2023 05:00,Dnipro-1,Metalist Kharkiv,5,0
03.05.2023 05:00,Shakhtar,Minaj,1,0
29.04.2023 07:00,Kryvbas,Oleksandriya,2,1
29.04.2023 07:00,Rukh Lviv,Vorskla,1,1
29.04.2023 06:00,Inhulets,Dnipro-1,0,2
29.04.2023 05:00,Minaj,Metalist 1925,1,1
29.04.2023 05:00,Zorya,Ch. Odessa,3,1
28.04.2023 07:00,Kolos Kovalivka,Shakhtar,1,3
28.04.2023 05:00,Metalist Kharkiv,Dinamo Kiev,1,3
28.04.2023 05:00,Veres-Rivne,Lviv,3,2
24.04.2023 07:00,Oleksandriya,Inhulets,0,0
24.04.2023 05:00,Dnipro-1,Rukh Lviv,3,2
23.04.2023 07:00,Kryvbas,Ch. Odessa,2,3
23.04.2023 05:00,Lviv,Metalist 1925,0,2
22.04.2023 09:00,Dinamo Kiev,Shakhtar,1,1
22.04.2023 07:00,Veres-Rivne,Minaj,1,1
22.04.2023 05:00,Vorskla,Metalist Kharkiv,3,2
21.04.2023 07:00,Kolos Kovalivka,Zorya,0,1
19.04.2023 05:00,Inhulets,Rukh Lviv,1,0
